"uniqueid","accountid","charactercode","charactercodedescription","objectcode","object","projectcode","project","fullaccount","fundcode","fund","segment2code","segment2","segment3code","segment3","segment4code","segment4","segment5code","segment5","segment6code","segment6","accountdescription","accountstatus","fiscalyear","fiscalmonth","originalbudget","revisedbudget","actual"
"2022-9-5955","5955","61","PERSONAL SERVICES","611000","SALARIES OF REGULAR EMPLOYEES",,"UNKNOWN","1000-0100-10-0110-0000-0000-000000-611000-","1000","GENERAL FUND","0100","METROPOLITAN COUNCIL","10","GENERAL GOVERNMENT EXPEND","0110","COUNCIL DISTRICT 10","0000","OPERATING","0000","UNDEFINED","SALARIES OF REGULAR EMPLOYEES","Active","2022","2022-09-01T00:00:00.000","0","0","3325.54"
"2022-9-8672","8672","62","EMPLOYEE BENEFITS","622200","GROUP INSURANCE-DENTAL",,"UNKNOWN","1000-0500-10-0510-0000-0000-000000-622200-","1000","GENERAL FUND","0500","PARISH ATTORNEY","10","GENERAL GOVERNMENT EXPEND","0510","PA-ADMINISTRATION","0000","OPERATING","0000","UNDEFINED","GROUP INSURANCE-DENTAL","Active","2022","2022-09-01T00:00:00.000","0","0","367.99"
"2022-9-7717","7717","62","EMPLOYEE BENEFITS","621100","REG EMPLOYEE RETIREMENT-GF",,"UNKNOWN","1000-0100-70-0171-0101-0000-000000-621100-","1000","GENERAL FUND","0100","METROPOLITAN COUNCIL","70","CONSERVATION & DEVELOPMENT EXP","0171","CHANEYVILLE COMMUNITY CENTER","0101","COUNCIL DISTRICT 1","0000","UNDEFINED","REGULAR EMPLOYEE RETIREMENT FD","Active","2022","2022-09-01T00:00:00.000","0","0","1051.83"
"2022-9-8476","8476","62","EMPLOYEE BENEFITS","622100","GROUP INSURANCE-HEALTH",,"UNKNOWN","5520-4100-40-4170-0000-0000-000000-622100-","5520","SOLID WASTE COLLECTION FUND","4100","FINANCE DEPARTMENT","40","SANITATION EXPEND","4170","SERVICE FEE BUSINESS OFFICE","0000","OPERATING","0000","UNDEFINED","GROUP INSURANCE-HEALTH","Active","2022","2022-09-01T00:00:00.000","0","0","1356.21"
"2022-9-14909","14909","64","CONTRACTUAL SERVICES","642250","WASTE COLLECT/DISPOSAL/RECYCLE",,"UNKNOWN","1000-2800-10-2800-0000-0000-000000-642250-","1000","GENERAL FUND","2800","JUVENILE COURT","10","GENERAL GOVERNMENT EXPEND","2800","JUVENILE COURT OPERATIONS","0000","OPERATING","0000","UNDEFINED","WASTE COLLECT/DISPOSAL/RECYCLE","Active","2022","2022-09-01T00:00:00.000","0","0","229.7"
"2022-9-18927","18927","64","CONTRACTUAL SERVICES","647600","REPAIR/MAINTENANCE-PLANT EQP",,"UNKNOWN","5100-7700-40-7710-7750-7713-000000-647600-","5100","SEWERAGE-OPERATIONS & MAINT","7700","ENVIRONMENTAL SERVICES","40","SANITATION EXPEND","7710","ENV-SEWER DIVISION","7750","WASTEWATER TREATMENT","7713","WW TREATMENT-SOUTH PLANT","REPAIR/MAINTENANCE-PLANT EQP","Active","2022","2022-09-01T00:00:00.000","0","0","3650"
"2022-9-16563","16563","64","CONTRACTUAL SERVICES","643500","OTHER CONTRACTUAL SERVICES",,"UNKNOWN","1000-5300-20-5320-0000-0000-000000-643500-","1000","GENERAL FUND","5300","JUVENILE SERVICES","20","PUBLIC SAFETY EXPEND","5320","PROBATION & FAMILY SERVICES","0000","OPERATING","0000","UNDEFINED","OTHER CONTRACTUAL SERVICES","Active","2022","2022-09-01T00:00:00.000","0","0","583.58"
"2022-9-9890","9890","62","EMPLOYEE BENEFITS","623500","POSTEMPLOYMENT BENEFITS",,"UNKNOWN","1000-7600-30-7630-0000-0000-000000-623500-","1000","GENERAL FUND","7600","MAINTENANCE","30","TRANSPORTATION EXPEND","7630","STREET MAINTENANCE","0000","OPERATING","0000","UNDEFINED","POSTEMPLOYMENT BENEFITS","Active","2022","2022-09-01T00:00:00.000","0","0","6647.04"
"2022-9-8987","8987","62","EMPLOYEE BENEFITS","622300","GROUP INSURANCE-LIFE",,"UNKNOWN","1000-1600-10-1600-0000-0000-000000-622300-","1000","GENERAL FUND","1600","PLANNING COMMISSION","10","GENERAL GOVERNMENT EXPEND","1600","PLANNING COMMISSION","0000","OPERATING","0000","UNDEFINED","GROUP INSURANCE-LIFE","Active","2022","2022-09-01T00:00:00.000","0","0","74.8"
"2022-9-9395","9395","62","EMPLOYEE BENEFITS","623000","SOCIAL SECURITY/MEDICARE",,"UNKNOWN","2053-5200-20-5210-0000-0000-000000-623000-","2053","EMERGENCY MEDICAL SERVICES","5200","EMERGENCY MEDICAL SERVICES","20","PUBLIC SAFETY EXPEND","5210","EMS-OPERATIONS","0000","OPERATING","0000","UNDEFINED","SOCIAL SECURITY/MEDICARE","Active","2022","2022-09-01T00:00:00.000","0","0","7185.73"
"2022-9-15742","15742","64","CONTRACTUAL SERVICES","643350","TRAVEL & TRAINING",,"UNKNOWN","1000-7100-30-7140-0000-0000-000000-643350-","1000","GENERAL FUND","7100","TRANSPORTATION AND DRAINAGE","30","TRANSPORTATION EXPEND","7140","TRAFFIC ENGINEERING","0000","OPERATING","0000","UNDEFINED","TRAVEL & TRAINING","Active","2022","2022-09-01T00:00:00.000","0","0","537.99"
"2022-9-16592","16592","64","CONTRACTUAL SERVICES","643500","OTHER CONTRACTUAL SERVICES",,"UNKNOWN","1000-7800-10-7830-0000-0000-000000-643500-","1000","GENERAL FUND","7800","BUILDINGS AND GROUNDS","10","GENERAL GOVERNMENT EXPEND","7830","PUBLIC BUILDING MAINTENANCE","0000","OPERATING","0000","UNDEFINED","OTHER CONTRACTUAL SERVICES","Active","2022","2022-09-01T00:00:00.000","0","0","70946.4"
"2022-9-16081","16081","64","CONTRACTUAL SERVICES","643400","COMMUNICATIONS",,"UNKNOWN","5100-7700-40-7710-7741-0000-000000-643400-","5100","SEWERAGE-OPERATIONS & MAINT","7700","ENVIRONMENTAL SERVICES","40","SANITATION EXPEND","7710","ENV-SEWER DIVISION","7741","SEWER-SCADA OPERATIONS","0000","UNDEFINED","COMMUNICATIONS","Active","2022","2022-09-01T00:00:00.000","0","0","1711.6"
"2022-9-16098","16098","64","CONTRACTUAL SERVICES","643400","COMMUNICATIONS",,"UNKNOWN","5810-0900-30-0910-0000-0000-000000-643400-","5810","AIRPORT OPERATIONS FUND","0900","GREATER BR AIRPORT DISTRICT","30","TRANSPORTATION EXPEND","0910","AIRPORT-ADMINISTRATION","0000","OPERATING","0000","UNDEFINED","COMMUNICATIONS","Active","2022","2022-09-01T00:00:00.000","0","0","1707.18"
"2022-9-16259","16259","64","CONTRACTUAL SERVICES","643410","WIRELESS COMMUNICATIONS",,"UNKNOWN","1000-6000-70-6010-0000-0000-000000-643410-","1000","GENERAL FUND","6000","HUMAN DEVELOPMENT AND SERVICES","70","CONSERVATION & DEVELOPMENT EXP","6010","DHDS-ADMINISTRATION","0000","OPERATING","0000","UNDEFINED","WIRELESS COMMUNICATIONS","Active","2022","2022-09-01T00:00:00.000","0","0","20.31"
"2022-9-11383","11383","63","SUPPLIES","631100","SUBSCRIPTION SVCS MAPS/BKS/ETC",,"UNKNOWN","1000-0500-10-0510-0000-0000-000000-631100-","1000","GENERAL FUND","0500","PARISH ATTORNEY","10","GENERAL GOVERNMENT EXPEND","0510","PA-ADMINISTRATION","0000","OPERATING","0000","UNDEFINED","SUBSCRIPTION SVCS MAPS/BKS/ETC","Active","2022","2022-09-01T00:00:00.000","0","0","825.99"
"2022-9-8731","8731","62","EMPLOYEE BENEFITS","622200","GROUP INSURANCE-DENTAL",,"UNKNOWN","1000-7100-30-7130-0000-0000-000000-622200-","1000","GENERAL FUND","7100","TRANSPORTATION AND DRAINAGE","30","TRANSPORTATION EXPEND","7130","T&D-FIELD ENGINEERING","0000","OPERATING","0000","UNDEFINED","GROUP INSURANCE-DENTAL","Active","2022","2022-09-01T00:00:00.000","0","0","134.88"
"2022-9-15451","15451","64","CONTRACTUAL SERVICES","643200","DUES & MEMBERSHIPS",,"UNKNOWN","1000-5100-20-5150-0000-0000-000000-643200-","1000","GENERAL FUND","5100","FIRE DEPARTMENT","20","PUBLIC SAFETY EXPEND","5150","FIRE-TRAINING","0000","OPERATING","0000","UNDEFINED","DUES & MEMBERSHIPS","Active","2022","2022-09-01T00:00:00.000","0","0","534"
