"the_geom","id","church_name","full_address","city","state","zip","phone_number","website"
"POINT (-91.099239540116 30.475642565497)","190","UNITED SURPLUS","2940 BERLIN DR","BATON ROUGE","LOUISIANA","70814",,
"POINT (-91.182108576199 30.525912539792)","551","CAMPHOR MEMORIAL UNITED METHODIST CHURCH","8660 SCENIC HWY","BATON ROUGE","LOUISIANA","70807",,
"POINT (-91.161426362643 30.497427251135)","48","DOUGLAS AVENUE BAPTIST CHURCH","5265 DOUGLAS AVE","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.183740049747 30.438663659759)","432","ST PAUL'S FREE BAPTIST CHURCH","932 NAPOLEON ST","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.258004653855 30.668020244358)","537","MOUNT ZION BAPTIST CHURCH","21380 SAMUELS RD","ZACHARY","LOUISIANA","70791",,
"POINT (-91.145530629493 30.428358522297)","212","HOUSE OF GOD MINISTRY","2151 GLENMORE AVE","BATON ROUGE","LOUISIANA","70808",,
"POINT (-91.132172552278 30.466669188704)","246","TEMPLE OF FAITH","5695 GREENWELL SPRINGS RD","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.128295276134 30.578878217354)","430","NEW COVENANT CHRISTIAN CENTER","6515 E MYRTLE AVE","BAKER","LOUISIANA","70714",,
"POINT (-91.14456915107 30.467759012709)","350","BEREAN SEVENTH DAY ADVENTIST CHURCH","4555 FAIRFIELDS AVE","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.155851019615 30.416859988505)","427","TRINITY EPISCOPAL CHURCH","3552 MORNING GLORY AVE","BATON ROUGE","LOUISIANA","70808",,
"POINT (-91.149591340163 30.415507667068)","619","ST. ALOYSIUS CATHOLIC CHURCH","2025 STUART AVE","BATON ROUGE","LOUISIANA","70808",,
"POINT (-91.047223081306 30.462301304136)","368","WORLD MISSION CENTER","12183 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70815",,
"POINT (-91.127404840611 30.471871167715)","451","GLORYLAND BAPTIST CHURCH","2575 MICHELLI DR","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.184835900568 30.526621664601)","229","TRUEVINE BAPTIST CHURCH","905 GREBE ST","BATON ROUGE","LOUISIANA","70807",,
"POINT (-91.114901191072 30.46873254135)","648","STRAIGHT TO THE HEART MINISTRY","2138 WOODDALE BLVD, STE 1C","BATON ROUGE","LOUISIANA","70806",,
