"the_geom","id","business_name","full_address","city","state","zip","phone_number","website","resource_type","sub_resource_type"
"POINT (-91.110870118598 30.431455492498)","148020","AT&T AUTHORIZED RETAILER #2715","7539 CORPORATE BLVD","BATON ROUGE","LOUISIANA","70806",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.118959863733 30.459964471821)","33963","DONMOOR FOODMART","1079 N DONMOOR AVE","BATON ROUGE","LOUISIANA","70806",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.14019167545 30.421280603498)","21164","CIRCLE K STORES INC. 2709725","2959 COLLEGE DR","BATON ROUGE","LOUISIANA","70808","225-923-1075","http://circlek.com/","RETAIL","CONVENIENCE STORE"
"POINT (-91.179700690005 30.531715151417)","9220","SCOTLANDVILLE CONVENIENCE STORE","1375 ROSENWALD RD","BATON ROUGE","LOUISIANA","70807","225-774-1062",,"RETAIL","CONVENIENCE STORE"
"POINT (-91.027007923992 30.544396188975)","163901","SUBWAY #28827","14455 WAX RD, STE H","CENTRAL","LOUISIANA","70818",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.187860541706 30.421035417894)","17427","SAVE MORE MARKET 4","2956 NICHOLSON DR","BATON ROUGE","LOUISIANA","70802","225-769-0404",,"RETAIL","CONVENIENCE STORE"
"POINT (-91.139464446181 30.468022250423)","118384","TRIPLE S FOOD MART","2112 N FOSTER DR","BATON ROUGE","LOUISIANA","70806",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.150253395355 30.426309736662)","17345","HIT-N-RUN FOOD STORES #3","2313 S ACADIAN THWY","BATON ROUGE","LOUISIANA","70808",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.179253472908 30.388428208212)","51463","KWIK STOP","1910 BRIGHTSIDE DR","BATON ROUGE","LOUISIANA","70820",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.034520271009 30.44918681709)","26173","MINUTE MART","1087 S FLANNERY RD","BATON ROUGE","LOUISIANA","70815",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.092275838267 30.419026019715)","150297","JEFFS FOOD MART","8731 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70809",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.156100781299 30.490327248961)","17696","PLANK MARLET & DELI","4432 PLANK RD","BATON ROUGE","LOUISIANA","70805",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.111038150986 30.433832817477)","25713","KWIK STOP","7475 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70806",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.057620966654 30.467518623082)","26259","K & D GROCERY","2068 N SHERWOOD FOREST DR","BATON ROUGE","LOUISIANA","70815",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.141776550301 30.50920316168)","23836","FAST LYON CONVENIENCE STORE","4887 AIRLINE HWY","BATON ROUGE","LOUISIANA","70811",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.179664712798 30.527176408905)","10541","RAGUSA'S MEAT MARKET","8818 SCOTLAND AVE","BATON ROUGE","LOUISIANA","70807",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.06597448153 30.385406348696)","172561","LA MEXICANA JAL.","7034 SIEGEN LN","BATON ROUGE","LOUISIANA","70809","225-296-8286",,"RETAIL","CONVENIENCE STORE"
"POINT (-91.109681295183 30.356040129971)","41586","LUCYS HEALTH FOODS","9880 BLUEBONNET BLVD","BATON ROUGE","LOUISIANA","70810",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.119506966983 30.451987632329)","137082","TEXACO TIGER SHOP","6945 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70806",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.161627306772 30.450368073826)","177446","ONE STOP GROCERY & DISCOUNT LIQUOR","2601 FLORIDA ST","BATON ROUGE","LOUISIANA","70802","225-338-1380",,"RETAIL","CONVENIENCE STORE"
"POINT (-91.224600432651 30.666212184005)","10668","STEVENSON QUICK PACK","1213 FLONACHER RD","ZACHARY","LOUISIANA","70791",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.013442802963 30.44373752608)","130638","ONE STOP DELI AND GROCERIES LLC","15518 RHONDA AVE","BATON ROUGE","LOUISIANA","70816",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.088138117677 30.490892151512)","15718","KWIK STOP","4346 JOOR RD","BATON ROUGE","LOUISIANA","70814",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.144027925972 30.508778434654)","13205","ROAD RUNNER'S EXPRESS CONVENIENCE STORE","4650 AIRLINE HWY","BATON ROUGE","LOUISIANA","70805",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.106938278718 30.426377296304)","40852","BOCAGE LA ROUGE MART","7930 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70809",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.128010185884 30.498851838548)","120218","MEAT MARKET","6163 AIRLINE HWY","BATON ROUGE","LOUISIANA","70805",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.156632110656 30.468159594363)","32211","ACADIAN FOOD MART","2223 N ACADIAN THWY W","BATON ROUGE","LOUISIANA","70802",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.065091498549 30.457239426296)","32667","KWIK STOP","10770 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70815",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.009727394764 30.68510447583)","152474","LG SHOP LLC","14110 JACKSON RD","ZACHARY","LOUISIANA","70791",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.059995614966 30.435614155632)","173594","MI CUEVITA PLUS LLC","1853 W MURIEL DR","BATON ROUGE","LOUISIANA","70816",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.119286145885 30.461291665111)","20683","MARTIN GROCERY & MARKET INC","6951 RENOIR AVE","BATON ROUGE","LOUISIANA","70806",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.155274228142 30.450714740502)","30852","CIRCLE K STORE #2707653","3373 FLORIDA ST","BATON ROUGE","LOUISIANA","70806","225-383-0422","http://circlek.com/","RETAIL","CONVENIENCE STORE"
"POINT (-91.027283106912 30.704423348892)","100971","CAIN'S GROCERY","24110 REAMES RD","ZACHARY","LOUISIANA","70791",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.138549559302 30.487899726352)","147441","PRESCOTT GROCERY","5153 PRESCOTT RD","BATON ROUGE","LOUISIANA","70805",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.150253395355 30.426309736662)","17344","JET 24","2313 S ACADIAN THWY","BATON ROUGE","LOUISIANA","70808",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.163160208979 30.608588699455)","157576","CANAMRO","3102 MAIN ST","BAKER","LOUISIANA","70714",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.160703622333 30.479238777927)","113289","JOHNNY JUNIOR GROCERY","3401 PLANK RD","BATON ROUGE","LOUISIANA","70805",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.062852662705 30.40946851281)","181378","ALCO FOODMART & DELI","10605 AIRLINE HWY","BATON ROUGE","LOUISIANA","70816",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.105194982123 30.455488907303)","125520","THOMAS GROCERY","600 WOODDALE BLVD","BATON ROUGE","LOUISIANA","70806",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.178227536042 30.422302371201)","14206","UNIVERSITY CAR CARE","2801 HIGHLAND RD","BATON ROUGE","LOUISIANA","70802",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.171968582879 30.440846992165)","17790","TONY'S GROCERY","739 S 16TH ST","BATON ROUGE","LOUISIANA","70802","225-383-9032",,"RETAIL","CONVENIENCE STORE"
"POINT (-91.179417525003 30.434823266342)","56144","EAST BLVD. FOOD MART","1440 THOMAS H DELPIT DR","BATON ROUGE","LOUISIANA","70802",,,"RETAIL","CONVENIENCE STORE"
"POINT (-91.156911386146 30.48157775809)","17691","ACADIAN SUPERETTE","3609 N ACADIAN THWY","BATON ROUGE","LOUISIANA","70805","225-357-0276",,"RETAIL","CONVENIENCE STORE"
"POINT (-91.187892804534 30.421308722244)","51432","SAVE MORE MARKET 4","2956 NICHOLSON DR, STE B","BATON ROUGE","LOUISIANA","70802","225-769-0404",,"RETAIL","CONVENIENCE STORE"
"POINT (-91.161658067738 30.474912402231)","17465","CARLINS FOOD MART","2944 PLANK RD","BATON ROUGE","LOUISIANA","70805","225-355-9235",,"RETAIL","CONVENIENCE STORE"
"POINT (-91.024197253554 30.451487167258)","26406","TOBACCO EXPRESS","14590 OLD HAMMOND HWY","BATON ROUGE","LOUISIANA","70816",,,"RETAIL","CONVENIENCE STORE"
