"the_geom","id","address_id","business_name","full_address","city","address_jurisdiction","state","zip","country","phone_number","website","resource_type","sub_resource_type","shelter_location","address_authority","subdivision","business_naics_code","service_type","service_name","st_prefix_dir","st_name","st_suffix_type","st_suffix_dir","st_ext","private_street","ward_number","tax_section","longitude","condominium","frontage_road","street_jurisdiction","abc","street_name_complete","latitude","st_prefix_type","created_date","address_no_complete","modified_date"
"POINT (-91.000480137055 30.568216067368)","177433","199410",,"16939 RIVER BIRCH AVE","GREENWELL SPRINGS","EBRP","LOUISIANA","70739","UNITED STATES",,,,,"NO","CENTRAL","AMBER LAKES",,,,,"RIVER BIRCH","AVE",,,"NO","3","1","-91","NO","NO","CENTRAL",,"RIVER BIRCH AVE","31",,,"16939",
"POINT (-91.066914157234 30.420439476246)","64845","72447",,"3410 CEDARCREST AVE","BATON ROUGE","EBRP","LOUISIANA","70816","UNITED STATES",,,,,"NO","BATON ROUGE","SOUTHMOOR",,,,,"CEDARCREST","AVE",,,"NO","1","4","-91","NO","NO","BATON ROUGE",,"CEDARCREST AVE","30",,,"3410",
"POINT (-91.190299759728 30.65037704682)","186535","192723",,"1444 BUFFALO HOLLOW CT","ZACHARY","EBRP","LOUISIANA","70791","UNITED STATES",,,,,"NO","ZACHARY","RAVENWOOD",,,,,"BUFFALO HOLLOW","CT",,,"NO","2","3","-91","NO","NO","ZACHARY",,"BUFFALO HOLLOW CT","31",,,"1444",
"POINT (-91.117791033437 30.51645801034)","101210","109029",,"7162 CORONET DR","BATON ROUGE","EBRP","LOUISIANA","70812","UNITED STATES",,,,,"NO","PARISH","GLEN OAKS PLACE",,,,,"CORONET","DR",,,"NO","2","1","-91","NO","NO","EBRP",,"CORONET DR","31",,,"7162",
"POINT (-91.072228002459 30.383219973904)","197252","236534",,"7578 THRUSH DR","BATON ROUGE","EBRP","LOUISIANA","70809","UNITED STATES",,,,,"NO","PARISH","AUDUBON TERRACE",,"TELECOMMUNICATION - SCU",,,"THRUSH","DR",,,"NO","3","0","-91","NO","NO","EBRP",,"THRUSH DR","30",,,"7578",
"POINT (-91.068063951812 30.407911464965)","57089","3508","JEFFERSON ARMS APARTMENTS","10390 JEFFERSON HWY","BATON ROUGE","EBRP","LOUISIANA","70809","UNITED STATES",,,"MULTI FAMILY RESIDENCE","APARTMENT","NO","PARISH","NONE","531110",,,,"JEFFERSON","HWY",,,"NO","3","0","-91","NO","NO",,"NO","JEFFERSON HWY","30",,,"10390",
"POINT (-91.142677804705 30.51240817421)","90571","87349",,"4849 OAKLON DR","BATON ROUGE","EBRP","LOUISIANA","70811","UNITED STATES",,,,,"NO","BATON ROUGE","GLEN OAKS",,,,,"OAKLON","DR",,,"NO","1","2","-91","NO","NO","BATON ROUGE",,"OAKLON DR","31",,,"4849",
"POINT (-91.001787272789 30.45911664055)","72460","245281",,"16352 OLD HAMMOND HWY, UNIT 226","BATON ROUGE","EBRP","LOUISIANA","70816","UNITED STATES",,,,,"NO","PARISH","NONE",,,,,"OLD HAMMOND","HWY",,,"NO","3","0","-91","NO","NO",,,"OLD HAMMOND HWY","30",,,"16352 UNIT 226","2020-12-03T13:18:54.000Z"
"POINT (-91.002656228329 30.454484127243)","4052","166661",,"1063 MC LEMORE DR","BATON ROUGE","EBRP","LOUISIANA","70816","UNITED STATES",,,,,"NO","PARISH","CENTURION ESTATES",,,,,"MC LEMORE","DR",,,"NO","3","0","-91","NO","NO","EBRP",,"MC LEMORE DR","30",,,"1063",
"POINT (-91.11332819804 30.470306567242)","23774","55207","SOCIALLY YOURS CAFE","2195 DALLAS DR","BATON ROUGE","EBRP","LOUISIANA","70806","UNITED STATES",,,"RESTAURANT",,"NO","BATON ROUGE","WOODDALE CENTER","722000",,,,"DALLAS","DR",,,"NO","1","3","-91","NO","NO","BATON ROUGE","NO","DALLAS DR","30",,,"2195",
