"the_geom","id","business_name","full_address","city","state","zip","phone_number","website","resource_type","sub_resource_type"
"POINT (-91.074310907863 30.419529783722)","41237","COSTCO WHOLESALE","10000 DAWNADELE AVE","BATON ROUGE","LOUISIANA","70809",,,"RETAIL","GROCERY"
"POINT (-91.18817087838 30.450946487555)","191434","MATHERNES MARKET @ 440 ON 3RD","440 3RD ST, STE 100","BATON ROUGE","LOUISIANA","70802",,"http://mathernes.com/","RETAIL","GROCERY"
"POINT (-91.111458539361 30.432219053371)","150032","WHOLE FOODS MARKET","7529 CORPORATE BLVD","BATON ROUGE","LOUISIANA","70806","225-218-0452","http://wholefoodsmarket.com/","RETAIL","GROCERY"
"POINT (-91.133447995762 30.500505042408)","3507","SHOPPERS VALUE FOODS","5908 AIRLINE HWY","BATON ROUGE","LOUISIANA","70805","225-355-0025","http://shoppersvaluefoodla.com/","RETAIL","GROCERY"
"POINT (-91.11712355484 30.480279426842)","499","HI NABOR SUPER MARKET LLC","7201 WINBOURNE AVE","BATON ROUGE","LOUISIANA","70805",,"http://hinabor.com/","RETAIL","GROCERY"
"POINT (-91.159927187871 30.395250974844)","1785","WAL MART NEIGHBORHOOD MARKET #4659","5255 HIGHLAND RD","BATON ROUGE","LOUISIANA","70808","225-766-7776","http://walmart.com/","RETAIL","GROCERY"
"POINT (-91.093321554252 30.377741977445)","96412","FRESH MARKET THE, INC","10555 PERKINS RD","BATON ROUGE","LOUISIANA","70810","225-765-2915",,"RETAIL","GROCERY"
"POINT (-91.107558393139 30.429775865217)","151073","BOCAGE SUPERMARKET LLC","7675 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70809",,,"RETAIL","GROCERY"
"POINT (-91.103130232893 30.46400853872)","30030","SHOPPERS CHOICE","8151 AIRLINE HWY","BATON ROUGE","LOUISIANA","70815",,,"RETAIL","GROCERY"
"POINT (-91.141506695916 30.461896007005)","109827","GUS YOUNG MEAT MARKET","4896 GUS YOUNG AVE","BATON ROUGE","LOUISIANA","70802",,,"FOOD ACCESS","GROCERY"
"POINT (-91.141022297549 30.509149329572)","21237","PETE'S FARMER'S MARKET/PETE'S SNOWBALL STAND","4919 AIRLINE HWY","BATON ROUGE","LOUISIANA","70811",,,"FOOD ACCESS","GROCERY"
"POINT (-91.135348235381 30.446189306698)","74","SHOPPERS VALUE FOODS","5355 GOVERNMENT ST, STE B","BATON ROUGE","LOUISIANA","70806",,,"RETAIL","GROCERY"
"POINT (-91.133128774473 30.488008880511)","12933","TAK'S FOOD MART","5765 PRESCOTT RD","BATON ROUGE","LOUISIANA","70805",,,"FOOD ACCESS","GROCERY"
"POINT (-91.078813302991 30.453824544833)","143318","HI NABOR SUPERMARKET","9620 FLORIDA BLVD, STE 100","BATON ROUGE","LOUISIANA","70815",,"http://hinabor.com/","RETAIL","GROCERY"
"POINT (-91.135125818735 30.446204553375)","76","SHOPPERS VALUE","5355 GOVERNMENT ST, STE C","BATON ROUGE","LOUISIANA","70806","225-925-1522","http://shoppersvaluefoodla.com/","RETAIL","GROCERY"
"POINT (-91.044767747766 30.461931468117)","397","VINH PHAT ORIENTAL MARKET","12351 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70815","225-273-1175",,"RETAIL","GROCERY"
"POINT (-91.065685155599 30.432905096674)","175597","REEVES SUPERMARKET","10770 N HARRELL'S FERRY RD","BATON ROUGE","LOUISIANA","70816","225-925-5371","http://reevesgrocery.com/","RETAIL","GROCERY"
"POINT (-91.09852258525 30.381615621945)","1848","MATHERNES SUPERMARKET","7580 BLUEBONNET BLVD","BATON ROUGE","LOUISIANA","70810","225-767-0074","http://mathernes.com/","RETAIL","GROCERY"
"POINT (-91.133162312932 30.500899348988)","144123","SHOPPERS VALUE FOODS","5932 AIRLINE HWY","BATON ROUGE","LOUISIANA","70805","225-355-0025","http://shoppersvaluefoodla.com/","RETAIL","GROCERY"
"POINT (-91.160167859512 30.425854929375)","108091","BET-R-STORE 0","2812 KALURAH ST","BATON ROUGE","LOUISIANA","70808","225-343-2361",,"RETAIL","GROCERY"
"POINT (-91.10496276454 30.452709661309)","26889","BARKAT INTERNATIONAL GROCERY","191 WOODDALE BLVD","BATON ROUGE","LOUISIANA","70806",,,"FOOD ACCESS","GROCERY"
"POINT (-91.185802440397 30.44236415466)","105682","HENRY'S SEAFOOD LLC","638 PENALVER ST","BATON ROUGE","LOUISIANA","70802",,,"FOOD ACCESS","GROCERY"
"POINT (-91.105524202943 30.467344315337)","30194","GULFSIDE SEAFOOD MARKET","7965 AIRLINE HWY","BATON ROUGE","LOUISIANA","70815",,,"FOOD ACCESS","GROCERY"
"POINT (-91.146053436162 30.51894818953)","19651","KELLY'S MEAT MART","7744 PLANK RD","BATON ROUGE","LOUISIANA","70811",,,"FOOD ACCESS","GROCERY"
"POINT (-91.168062256458 30.577605377651)","184550","SHOPPERS VALUE FOODS","280 MAIN ST","BAKER","LOUISIANA","70714",,,"RETAIL","GROCERY"
"POINT (-91.124053828321 30.406291093003)","97020","MAXWELLS MARKET","6241 PERKINS RD","BATON ROUGE","LOUISIANA","70808","225-766-9150","http://maxwells-market.com/","RETAIL","GROCERY"
"POINT (-91.034785063226 30.392578624406)","38430","A-Z INTERNATIONAL FINE FOODS","13461 TIGER BEND RD","BATON ROUGE","LOUISIANA","70817","225-756-5003",,"RETAIL","GROCERY"
"POINT (-91.153323352093 30.504167254704)","19726","SHOPPERS VALUE","5963 PLANK RD","BATON ROUGE","LOUISIANA","70805","225-357-7400","http://shoppersvaluefoodla.com/","RETAIL","GROCERY"
"POINT (-91.041378646071 30.460987832533)","24247","MONTALBANO'S SEAFOOD MARKET","12740 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70815",,,"FOOD ACCESS","GROCERY"
"POINT (-91.132129681951 30.557750882902)","168283","SAVE-A-LOT","12250 PLANK RD","BATON ROUGE","LOUISIANA","70811","225-218-0772","http://save-a-lot.com/","RETAIL","GROCERY"
"POINT (-91.043545945315 30.462087166659)","23489","MIEN TAY GROCERY","1125 MARQUE ANN DR","BATON ROUGE","LOUISIANA","70815",,,"FOOD ACCESS","GROCERY"
"POINT (-91.044644431496 30.39508264016)","66163","TRAMONTES MEAT & SEAFOOD MARKET","12451 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70816",,,"FOOD ACCESS","GROCERY"
"POINT (-91.058692718257 30.460466109485)","23976","HONG KONG SEAFOOD MARKET","1295 N SHERWOOD FOREST DR","BATON ROUGE","LOUISIANA","70815",,,"FOOD ACCESS","GROCERY"
"POINT (-91.09852258525 30.381615621945)","1849","ROUSES MARKET #69","7580 BLUEBONNET BLVD","BATON ROUGE","LOUISIANA","70810",,,"FOOD ACCESS","GROCERY"
