"record_type","document_number","document_description","requisition_number","purchase_orders","input_date","department_number","department_name","cost_center","cost_center_name","document_status_code","document_status_description","vouched_amount","start_date","expiration_date","extension_date","total_items","item_number","item_description","item_quantity_ordered","item_unit_cost","item_unit_of_measure","commodity_code","commodity_description","vendor_name_1","vendor_name_2","vendor_city","vendor_state","vendor_zip","vendor_type","gender","ethnicity","status","class","geographic_area","independent_contractor","minority","disadvantaged","disabled_veteran","sb_disabled_vet","sb_minority","sb_minority_woman","sb_non_minority","sb_disadvantaged","sb_veteran","sb_woman"
"H","800002416","A19-0746 OEM SRP MAS for all Liftmoore Cranes","11617",,"2022-09-12T00:00:00.000","4500","PURCHASING","4500","PURCHASING","8","Posted","5300","2019-12-01T00:00:00.000","2020-11-30T00:00:00.000","2022-11-30T00:00:00.000","7","0",,,,,,,"SCOTT HOLLINGSWORTH EQUIPMENT CO INC",,"BATON ROUGE","LA","70810","CONVERSION",,,"A",,,"N","N","N","N","N","N","N","N","N","N","N"
"D","800002416","A19-0746 OEM SRP MAS for all Liftmoore Cranes","11617",,"2022-09-12T00:00:00.000","4500","PURCHASING","4500","PURCHASING","8","Posted",,,,,"1","1","Vendor/Dealer Labor Rate for work performed at contractor�s facility - CRANES AND BUCKETS RENTAL OR LEASE","30.00","110","HOUR","97526","CRANES AND BUCKETS RENTAL OR L","SCOTT HOLLINGSWORTH EQUIPMENT CO INC",,"BATON ROUGE","LA","70810","CONVERSION",,,"A",,,"N","N","N","N","N","N","N","N","N","N","N"
"D","800002416","A19-0746 OEM SRP MAS for all Liftmoore Cranes","11617",,"2022-09-12T00:00:00.000","4500","PURCHASING","4500","PURCHASING","8","Posted",,,,,"1","2","Call-out charge for Road Calls within normal business hours; 8:00am � 5:00pm (Response time shall be within two (2) hours) - CRANES AND BUCKETS RENTAL OR LEASE","30.00","30","CALL","97526","CRANES AND BUCKETS RENTAL OR L","SCOTT HOLLINGSWORTH EQUIPMENT CO INC",,"BATON ROUGE","LA","70810","CONVERSION",,,"A",,,"N","N","N","N","N","N","N","N","N","N","N"
"D","800002416","A19-0746 OEM SRP MAS for all Liftmoore Cranes","11617",,"2022-09-12T00:00:00.000","4500","PURCHASING","4500","PURCHASING","8","Posted",,,,,"1","3","Call-out charge for Road Calls before or after hours. (Response time shall be within two (2) hours) CRANES AND BUCKETS RENTAL OR LEASE","16.00","50","CALL","97526","CRANES AND BUCKETS RENTAL OR L","SCOTT HOLLINGSWORTH EQUIPMENT CO INC",,"BATON ROUGE","LA","70810","CONVERSION",,,"A",,,"N","N","N","N","N","N","N","N","N","N","N"
"D","800002416","A19-0746 OEM SRP MAS for all Liftmoore Cranes","11617",,"2022-09-12T00:00:00.000","4500","PURCHASING","4500","PURCHASING","8","Posted",,,,,"1","4","Vendor/Dealer labor rate for Field Service work (performed at City-Parish job site)  VENDOR TRAVEL TIME TO AND FROM CITY-PARISH SITE IS NOT INCLUDED - CRANES AND BUCKETS RENTAL OR LEASE","25.00","120","HOUR","97526","CRANES AND BUCKETS RENTAL OR L","SCOTT HOLLINGSWORTH EQUIPMENT CO INC",,"BATON ROUGE","LA","70810","CONVERSION",,,"A",,,"N","N","N","N","N","N","N","N","N","N","N"
"D","800002416","A19-0746 OEM SRP MAS for all Liftmoore Cranes","11617",,"2022-09-12T00:00:00.000","4500","PURCHASING","4500","PURCHASING","8","Posted",,,,,"1","5","Restocking Charge (20%); State the cost or percentage of cost to restock - CRANES AND BUCKETS RENTAL OR LEASE","300000.00","0.01","EACH","97526","CRANES AND BUCKETS RENTAL OR L","SCOTT HOLLINGSWORTH EQUIPMENT CO INC",,"BATON ROUGE","LA","70810","CONVERSION",,,"A",,,"N","N","N","N","N","N","N","N","N","N","N"
"D","800002416","A19-0746 OEM SRP MAS for all Liftmoore Cranes","11617",,"2022-09-12T00:00:00.000","4500","PURCHASING","4500","PURCHASING","8","Posted",,,,,"1","6","(0% Discount) Original Equipment Manufacturer�s Standard replacement parts for Liftmoore Cranes- CRANES AND BUCKETS RENTAL OR LEASE","300000.00","0.01","EACH","97526","CRANES AND BUCKETS RENTAL OR L","SCOTT HOLLINGSWORTH EQUIPMENT CO INC",,"BATON ROUGE","LA","70810","CONVERSION",,,"A",,,"N","N","N","N","N","N","N","N","N","N","N"
"D","800002416","A19-0746 OEM SRP MAS for all Liftmoore Cranes","11617",,"2022-09-12T00:00:00.000","4500","PURCHASING","4500","PURCHASING","8","Posted",,,,,"1","7","Miscellaneous - This line item is to be used for any freight charges for expedited delivery of parts: F.O.B. Destination  Prepaid and allowed on orders of any stock OEM Liftmoore Crane parts. Orders will be shipped prepaid and added to the invoice - CRANES AND BUCKETS RENTAL OR LEASE","100000.00","0.01","EACH","97526","CRANES AND BUCKETS RENTAL OR L","SCOTT HOLLINGSWORTH EQUIPMENT CO INC",,"BATON ROUGE","LA","70810","CONVERSION",,,"A",,,"N","N","N","N","N","N","N","N","N","N","N"
"H","800003973","A21-0752 OEM SRP & MAS - INTERNATIONAL TRUCKS","11607",,"2022-09-09T00:00:00.000","4500","PURCHASING","4500","PURCHASING","8","Posted","1182.48","2021-10-01T00:00:00.000","2022-09-30T00:00:00.000","2023-09-30T00:00:00.000","6","0",,,,,,,"ITA TRUCK SALES & SERVICE LLC",,"LAFAYETTE","LA","70507","PROFESSION",,,"A","PSHP","INS","N","N","N","N","N","N","N","N","N","N","N"
"D","800003973","A21-0752 OEM SRP & MAS - INTERNATIONAL TRUCKS","11607",,"2022-09-09T00:00:00.000","4500","PURCHASING","4500","PURCHASING","8","Posted",,,,,"1","1","Item 0001 Vendor/Dealer Labor Rate for work performed at contractor�s facility","24.00","140","HOUR","92965","REFUSE AND GARBAGE BURNING EQU","ITA TRUCK SALES & SERVICE LLC",,"LAFAYETTE","LA","70507","PROFESSION",,,"A","PSHP","INS","N","N","N","N","N","N","N","N","N","N","N"
