"record_type","source_document","source_doc_type","source_doc_desc","requisition_no","input_date","total_amount","dept_num","dept_name","cost_center","cost_center_name","source_doc_type_code","source_doc_type_description","source_doc_status_code","source_doc_status_description","vouched_amount","estimated_start_date","initial_expiration_date","extended_through_date","annual_contract","vendor_name_1","vendor_name_2","vendor_city","vendor_state","vendor_zip","vendor_type","vendor_gender","vendor_ethnicity","vendor_status","vendor_class","vendor_geographic_code","vendor_independent_contractor","isminority","dbe","dvbe","dvse","smb_min","smb_mn_wom","sb_non_mn","smb_dbe","vet_sm_bus","smb_woman","total_items","item_number","item_description","item_quantity_ordered","item_unit_of_mea","item_unit_cost","item_total_cost","commodity_code","commodity_desc","object","object_desc"
"H","800004662","C","EBR ARP PROGRAM- MEETING GUIDELINE IN THE CONTRACT","11541","2022-08-24T00:00:00.000","800000","4110","FINANCE","4110","ADMINISTRATION","4","Coop. Endeavor","8","Posted","0","2022-05-02T00:00:00.000","2026-12-31T00:00:00.000",,,"DISTRICT ATTORNEY'S OFFICE",,"BATON ROUGE","LA","70802","CONVERSION",,,"A",,,"N","N","N","N","N","N","N","N","N","N","N","2","0",,,,,,,,,
"D","800004662","C","EBR ARP PROGRAM- MEETING GUIDELINE IN THE CONTRACT","11541","2022-08-24T00:00:00.000","0","4110","FINANCE","4110","ADMINISTRATION","4","Coop. Endeavor","8","Posted",,,,,,"DISTRICT ATTORNEY'S OFFICE",,"BATON ROUGE","LA","70802","CONVERSION",,,"A",,,"N","N","N","N","N","N","N","N","N","N","N","1","1","EBR ARP PROGRAM  SCOPE OF WORK: IT IS FURTHER AGREED  THAT THE SUBRECIPIENT WILL UTILIZE FUNDS ISSUED UNDER THIS AGREEMENT TO PURSUE EXLUSIVELY THOSE ACTIVITIES DEFINED  AND DETERMINED TO BE ELIGIBLE UNDER THE U.S. TREASURY'S FINAL RULE  IN APPENDIX A. THESE ACTIVITIES SHALL BE CONSISTENT WITH ANY STANDARDS REQUIRED AS A CONDITION OF PROVIDING THESE FUNDS.  PERFORMANCE PERIOD: SERVICES/ACTIVITIES PERFORMED UNDER THIS AGREEMENT WILL COMMENCE ON UPON EXECUTION OF THIS AGREEMENT AND SHALL BE COMPLETED NO LATER THAN DECEMBER 31  2026","600000","JOB","1","600000","96196","NON-PROFESSIONAL SERVICES (NOT",,
"D","800004662","C","EBR ARP PROGRAM- MEETING GUIDELINE IN THE CONTRACT","11541","2022-08-24T00:00:00.000","0","4110","FINANCE","4110","ADMINISTRATION","4","Coop. Endeavor","8","Posted",,,,,,"DISTRICT ATTORNEY'S OFFICE",,"BATON ROUGE","LA","70802","CONVERSION",,,"A",,,"N","N","N","N","N","N","N","N","N","N","N","1","2","AMENDMENT NO. 1: ADD FUNDING FOR OUTSOURCING DNA TESTING SERVICES ON GUN RELATED CASES (PER RESOLUTION 56452)","200000","JOB","1","200000","96196","NON-PROFESSIONAL SERVICES (NOT",,
"H","800003319","C","CONSTANTIN/DIJON AVE PHASE II(MIDWAY TO BLUEBONNET","11544","2022-08-24T00:00:00.000","671809","7120","TRAN & DRAIN","7120","ENGINEERING","7","Professional Serv","8","Posted","385076.42",,,,,"STANTEC CONSULTING SERVICES INC",,"BATON ROUGE","LA","70801","CONVERSION",,,"A",,,"N","N","N","N","N","N","N","N","N","N","N","3","0",,,,,,,,,
"D","800003319","C","CONSTANTIN/DIJON AVE PHASE II(MIDWAY TO BLUEBONNET","11544","2022-08-24T00:00:00.000","0","7120","TRAN & DRAIN","7120","ENGINEERING","7","Professional Serv","8","Posted",,,,,,"STANTEC CONSULTING SERVICES INC",,"BATON ROUGE","LA","70801","CONVERSION",,,"A",,,"N","N","N","N","N","N","N","N","N","N","N","1","1","******RESOLUTION # 55234******* MOVEBR-CONTRACT FOR ENGINEERING SERVICES CONSTANTIN/DIJON AVENUE PHASE II (MIDWAY TO BLUEBONNET). CITY PARISH PROJECT NO. 20-CP-HC-0067","1","EACH","494793","494793","92537","FACILITIES DESIGN ENGINEERING",,
"D","800003319","C","CONSTANTIN/DIJON AVE PHASE II(MIDWAY TO BLUEBONNET","11544","2022-08-24T00:00:00.000","0","7120","TRAN & DRAIN","7120","ENGINEERING","7","Professional Serv","8","Posted",,,,,,"STANTEC CONSULTING SERVICES INC",,"BATON ROUGE","LA","70801","CONVERSION",,,"A",,,"N","N","N","N","N","N","N","N","N","N","N","1","2","****SUPPLEMENTAL AGREEMENT NO 1 ***** RESOLUTION #56032**    THE CITY PARISH SHALL PAY AND ENGINEER AGREES TO ACCEPT THE FOLLOWING AS FULL COMPENSATION FOR THE ENGINEERING SERVICES TO BE PERFORMED UNDER THIS SUPPLEMENTAL AGREEMENT A LUMP SUM OF $97 318.00.","1","EACH","97318","97318","92537","FACILITIES DESIGN ENGINEERING",,
"D","800003319","C","CONSTANTIN/DIJON AVE PHASE II(MIDWAY TO BLUEBONNET","11544","2022-08-24T00:00:00.000","0","7120","TRAN & DRAIN","7120","ENGINEERING","7","Professional Serv","8","Posted",,,,,,"STANTEC CONSULTING SERVICES INC",,"BATON ROUGE","LA","70801","CONVERSION",,,"A",,,"N","N","N","N","N","N","N","N","N","N","N","1","3","******SUPPLEMENTAL AGREEMENT NO 2 ******RESOLUTION # 56385 ***** THIS SCOPE OF WORK INCLUDES ADDITIONAL RIGHT-OF-WAY SERVICES  FINAL DESIGN PLAN CHANGE WORK  AND COORDINATION OF THE MOVEBR PROGRAM MANAGEMENT TEAM DURING THE CONSTRUCTION PHASE SERVICES. RESULTING IN AN ADDITIONAL AMOUNT OF $79 698.00  BEING ADDED TO THE CONTRACT.","1","EACH","79698","79698","92537","FACILITIES DESIGN ENGINEERING",,
"H","22006732","P","P 2028 38029-10 KIRBY/ TIM","10045","2022-08-24T00:00:00.000","1066.46","7910","FLEET","7910","CENTRAL GARAGE","N","Normal","8","Printed","0",,,,"800004223","ALL STAR AUTOMOTIVE",,"DENHAM SPRINGS","LA","70726-5551","CONVERSION",,,"A",,,"N","N","N","N","N","N","N","N","N","N","N","4","0",,,,,,"060","AUTOMOTIVE AND TRAILER EQUIPME",,
"D","22006732","P","P 2028 38029-10 KIRBY/ TIM","10045","2022-08-24T00:00:00.000","0","7910","FLEET","7910","CENTRAL GARAGE","N","Normal","8","Printed",,,,,"800004223","ALL STAR AUTOMOTIVE",,"DENHAM SPRINGS","LA","70726-5551","CONVERSION",,,"A",,,"N","N","N","N","N","N","N","N","N","N","N","1","1","P 2028 38029-10 KIRBY/ TIM800004223 LINE 384582015 (S) RO ITEM 0003 Original Equipment Manufacturer Standard Replacement Parts With Discount;  any parts item with a net 34%  discount price in excess of $5 000.00 is excluded","2","EACH","53.44","106.88","06066","PARTS AND ACCESSORIES, AUTOMOT","601220","COST OF GOODS-PARTS-NON INV"
"D","22006732","P","P 2028 38029-10 KIRBY/ TIM","10045","2022-08-24T00:00:00.000","0","7910","FLEET","7910","CENTRAL GARAGE","N","Normal","8","Printed",,,,,"800004223","ALL STAR AUTOMOTIVE",,"DENHAM SPRINGS","LA","70726-5551","CONVERSION",,,"A",,,"N","N","N","N","N","N","N","N","N","N","N","1","2","P 2028 38029-10 KIRBY/ TIM800004223 LINE 384805876 (S) PAITEM 0003 Original Equipment Manufacturer Standard Replacement Parts With Discount;  any parts item with a net 34%  discount price in excess of $5 000.00 is excluded","1","EACH","414.74","414.74","06066","PARTS AND ACCESSORIES, AUTOMOT","601220","COST OF GOODS-PARTS-NON INV"
