"the_geom","id","precinct","location","full_address","city","state","zip"
"POINT (-91.064506642575 30.637651576873)","55","2-7, 2-8, 2-33","GAS UTILITY DISTRICT #1","10633 GREENWELL SPRINGS-PORT HUDSON RD","ZACHARY","LOUISIANA","70791"
"POINT (-91.040757035962 30.563304642999)","114","3-6, 3-14","CENTRAL MIDDLE SCHOOL","12656 SULLIVAN RD","CENTRAL","LOUISIANA","70818"
"POINT (-91.168724621399 30.526109578497)","16","1-86","J.K. HAYNES ELEMENTARY SCHOOL","8600 ELM GROVE GARDEN DR","BATON ROUGE","LOUISIANA","70807"
"POINT (-91.17286417458 30.415026153992)","135","1-44, 1-46","LSU LABORATORY SCHOOL","45 LAB SCHOOL SERVICE LOT","BATON ROUGE","LOUISIANA","70803"
"POINT (-91.141418690414 30.36073079303)","143","3-5, 3-57","IDEA INNOVATION SCHOOL","7800 INNOVATION PARK DR","BATON ROUGE","LOUISIANA","70820"
"POINT (-91.160214195389 30.583195607349)","71","2-2","BAKER HEIGHTS ELEMENTARY SCHOOL","3750 HARDING ST","BAKER","LOUISIANA","70714"
"POINT (-91.137730788541 30.515232090259)","90","1-11, 1-84","GLEN OAKS MIDDLE SCHOOL","5300 MONARCH AVE","BATON ROUGE","LOUISIANA","70811"
"POINT (-91.170098910773 30.450139540709)","81","1-13","CITY-PARISH OFFICES","1755 FLORIDA ST","BATON ROUGE","LOUISIANA","70802"
"POINT (-91.057315015159 30.477819664374)","105","3-8, 3-24","N SHERWOOD FOREST PARK RECREATION CENTER","3140 N SHERWOOD FOREST DR","BATON ROUGE","LOUISIANA","70814"
"POINT (-91.161382027445 30.460698912837)","45","1-10","PARK ELEMENTARY MEDICAL ACADEMY","2680 BOGAN WALK","BATON ROUGE","LOUISIANA","70802"
"POINT (-91.011587146683 30.373226468813)","66","3-22, 3-45, 3-66","WOODLAWN HIGH SCHOOL","15755 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70817"
"POINT (-91.158310315431 30.492336068424)","76","1-22","BRFD STATION #3","3142 EVANGELINE ST","BATON ROUGE","LOUISIANA","70805"
"POINT (-91.120523186429 30.511634439365)","18","2-16","GLEN OAKS HIGH SCHOOL","6650 CEDAR GROVE DR","BATON ROUGE","LOUISIANA","70812"
"POINT (-91.14661090599 30.446908089173)","13","1-37","BERNARD TERRACE ELEMENTARY SCHOOL","241 EDISON ST","BATON ROUGE","LOUISIANA","70806"
"POINT (-91.035030981027 30.555934690958)","63","3-1","GRACE CHURCH OF CENTRAL","13845 HOOPER RD","CENTRAL","LOUISIANA","70818"
"POINT (-91.035006202772 30.444336128782)","107","3-28","EBRP LIBRARY FAIRWOOD BRANCH","12910 OLD HAMMOND HWY","BATON ROUGE","LOUISIANA","70816"
"POINT (-91.185596975453 30.521916950224)","70","1-100","FELTON G. CLARK ACTIVITY CENTER","803 HARDING BLVD","BATON ROUGE","LOUISIANA","70813"
"POINT (-91.000708187105 30.395739286024)","35","3-15, 3-43","SHENANDOAH ELEMENTARY SCHOOL","16555 APPOMATTOX AVE","BATON ROUGE","LOUISIANA","70817"
"POINT (-91.018854435158 30.541761212984)","3","3-25","CENTRAL HIGH SCHOOL","10200 E BROOKSIDE DR","CENTRAL","LOUISIANA","70818"
