"uniqueid","accountid","charactercode","charactercodedescription","objectcode","object","projectcode","project","fullaccount","fundcode","fund","segment2code","segment2","segment3code","segment3","segment4code","segment4","segment5code","segment5","segment6code","segment6","accountdescription","accountstatus","fiscalyear","fiscalmonth","originalbudget","revisedbudget","actual"
"2022-9-4731","4731","44","CHARGES FOR SERVICES","441601","EMERGENCY TRANSPORT CHARGES",,"UNKNOWN","2053-0000-21-0000-0000-0000-000000-441601-","2053","EMERGENCY MEDICAL SERVICES","0000","UNDEFINED","21","PUBL SAF REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","EMERGENCY TRANSPORT CHARGES","Active","2022","2022-09-01T00:00:00.000","0","0","192684.55"
"2022-9-4772","4772","44","CHARGES FOR SERVICES","442301","RENTALS-AIRLINES",,"UNKNOWN","5810-0000-31-0000-0000-0000-000000-442301-","5810","AIRPORT OPERATIONS FUND","0000","UNDEFINED","31","TRANS REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","RENTALS-AIRLINES","Active","2022","2022-09-01T00:00:00.000","0","0","252444.26"
"2022-9-4774","4774","44","CHARGES FOR SERVICES","442303","RENTALS-OFFICE TENANTS",,"UNKNOWN","5810-0000-31-0000-0000-0000-000000-442303-","5810","AIRPORT OPERATIONS FUND","0000","UNDEFINED","31","TRANS REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","RENTALS-OFFICE TENANTS","Active","2022","2022-09-01T00:00:00.000","0","0","27982.35"
"2022-9-4776","4776","44","CHARGES FOR SERVICES","442305","RENTALS-CHECKPOINT AREA RENOV",,"UNKNOWN","5810-0000-31-0000-0000-0000-000000-442305-","5810","AIRPORT OPERATIONS FUND","0000","UNDEFINED","31","TRANS REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","RENTALS-CHECKPOINT AREA RENOV","Active","2022","2022-09-01T00:00:00.000","0","0","9111.83"
"2022-9-5110","5110","47","MISCELLANEOUS REV","472230","LEASE OF PROPERTY",,"UNKNOWN","3201-0000-00-0000-0000-0000-000000-472230-","3201","2013A PARISH STRB PS COMPLEX","0000","UNDEFINED","00","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","LEASE OF PROPERTY","Active","2022","2022-09-01T00:00:00.000","0","0","1200"
"2022-9-5119","5119","47","MISCELLANEOUS REV","473120","VISIT BATON ROUGE NOTE",,"UNKNOWN","3000-0000-12-0000-0000-0000-000000-473120-","3000","LIMITED TAX BONDS","0000","UNDEFINED","12","GEN GOVT REV-OPER GRT/CONTRIB","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","VISIT BATON ROUGE NOTE","Active","2022","2022-09-01T00:00:00.000","0","0","4222.86"
"2022-9-4225","4225","42","LICENSES AND PERMITS","423230","BUILDING PERMITS",,"UNKNOWN","1000-7300-21-0000-0000-0000-000000-423230-","1000","GENERAL FUND","7300","DEVELOPMENT","21","PUBL SAF REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","BUILDING PERMITS","Active","2022","2022-09-01T00:00:00.000","0","0","20"
"2022-9-4690","4690","44","CHARGES FOR SERVICES","440500","NSF CHECK CHARGES",,"UNKNOWN","1000-0000-11-0000-0000-0000-000000-440500-","1000","GENERAL FUND","0000","UNDEFINED","11","GEN GOVT REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","NSF CHECK CHARGES","Active","2022","2022-09-01T00:00:00.000","0","0","30"
"2022-9-4139","4139","41","TAXES","415100","OCCUPATIONAL LICENSE TAX",,"UNKNOWN","1000-0000-00-0000-0000-9001-000000-415100-","1000","GENERAL FUND","0000","UNDEFINED","00","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","9001","CITY REVENUES","OCCUPATIONAL LICENSE TAX","Active","2022","2022-09-01T00:00:00.000","0","0","15"
"2022-9-4719","4719","44","CHARGES FOR SERVICES","441501","SALE OF REPORTS AND PHOTOS",,"UNKNOWN","1000-5000-21-0000-0000-0000-000000-441501-","1000","GENERAL FUND","5000","POLICE DEPARTMENT","21","PUBL SAF REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","SALE OF REPORTS AND PHOTOS","Active","2022","2022-09-01T00:00:00.000","0","0","7151"
