"the_geom","id","business_name","full_address","city","state","zip","phone_number","website"
"POINT (-91.016210455428 30.403737929393)","152768","JONES CREEK ANIMAL HOSPITAL","5521 JONES CREEK RD","BATON ROUGE","LOUISIANA","70817",,
"POINT (-91.139562722713 30.415231677149)","49503","ANIMAL HEALTH CLINIC","4803 PERKINS RD","BATON ROUGE","LOUISIANA","70808",,
"POINT (-91.03381244706 30.394613229286)","41942","CAPITAL AREA ANIMAL WELFARE SOCIETY","6357 QUIN DR","BATON ROUGE","LOUISIANA","70817","225-752-5801","http://caaws.org"
"POINT (-91.059297118068 30.432474722865)","154613","OLD HAMMOND VETERINARY HOSPITAL","11160 N HARRELL'S FERRY RD","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.008712299567 30.459185899664)","33421","O'NEAL LANE PET HOSPITAL","650 O'NEAL LN","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.192333122311 30.646222822729)","166566","THE ANIMAL CENTER INC","19680 OLD SCENIC HWY","ZACHARY","LOUISIANA","70791",,
"POINT (-91.072339719417 30.367883250047)","62248","ST. GEORGE ANIMAL HOSPITAL","13171 PERKINS RD","BATON ROUGE","LOUISIANA","70810",,
"POINT (-91.044810996218 30.411969670671)","50676","COURSEY BLVD ANIMAL HOSPITAL","12137 COURSEY BLVD","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.00696402029 30.389228796118)","81249","SHENANDOAH SOUTH VETERINARY","16044 TIGER BEND RD","BATON ROUGE","LOUISIANA","70817",,
"POINT (-91.167895904905 30.43641553691)","113905","GARDEN DISTRICT ANIMAL HOSPITAL","1302 PERKINS RD","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.01873270486 30.377607733547)","43057","AZALEA LAKE VETERINARY CLINIC","15225 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70817",,
"POINT (-91.040788178082 30.386643497663)","92311","CAMP BOW WOW","7195 PECUE LN","BATON ROUGE","LOUISIANA","70817",,
"POINT (-91.165074310312 30.537429195415)","201576","COMPANION ANIMAL ALLIANCE","2680 PROGRESS RD","BATON ROUGE","LOUISIANA","70807",,
"POINT (-91.055812909358 30.54292837911)","179162","JOOR ROAD VETERINARY HOSP LLC","10433 JOOR RD","CENTRAL","LOUISIANA","70818",,
"POINT (-91.04286647083 30.346265122235)","42018","ARMSTRONG VETERINARY HOSP INC","16645 HIGHLAND RD, STE G2","BATON ROUGE","LOUISIANA","70810",,
"POINT (-91.043105769573 30.432208728698)","158296","HARRELL'S FERRY ROAD ANIMAL HOSPITAL","12605 S HARRELL'S FERRY RD","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.091227863219 30.420226037251)","157231","ANIMAL ARK PET CLINIC INC #2","3468 DRUSILLA LN","BATON ROUGE","LOUISIANA","70809",,
"POINT (-91.095603917612 30.449100069572)","30639","BANFIELD PET HOSPITAL","8660 AIRLINE HWY","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.147238378105 30.586629129496)","163919","BAKER ANIMAL CLINIC","4936 GROOM RD","BAKER","LOUISIANA","70714",,
"POINT (-91.076077657963 30.366542492253)","45921","SIEGEN LANE ANIMAL CLINIC","9140 SIEGEN LN","BATON ROUGE","LOUISIANA","70810",,
"POINT (-91.14611565456 30.518421850522)","99304","PLANK ROAD ANIMAL CLINIC","7660 PLANK RD","BATON ROUGE","LOUISIANA","70811",,
"POINT (-91.107168955798 30.469657981051)","28375","HELOUIN ANIMAL CLINIC INC","7821 AIRLINE HWY","BATON ROUGE","LOUISIANA","70815",,
"POINT (-91.135066917112 30.413380077998)","55732","PERKINS ROAD VETERINARY HOSPITAL","5215 PERKINS RD","BATON ROUGE","LOUISIANA","70808",,
"POINT (-91.0161884971 30.403747823192)","41160","JONES CREEK ANIMAL HOSPITAL","5525 JONES CREEK RD","BATON ROUGE","LOUISIANA","70817",,
"POINT (-91.071254809983 30.492032470965)","156526","PARK FOREST ANIMAL HOSPITAL","10219 GREENWELL SPRINGS RD","BATON ROUGE","LOUISIANA","70814",,
"POINT (-91.007266720844 30.42928429849)","39670","WHITE OAK ANIMAL HOSPITAL INC","2721 O'NEAL LN","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.091941920893 30.417892189784)","48160","JEFFERSON ANIMAL HOSPITAL","8774 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70809",,
"POINT (-91.086255966392 30.371268308201)","49267","VILLAGE ANIMAL CLINIC","1818 OAKDALE DR","BATON ROUGE","LOUISIANA","70810",,
"POINT (-91.122833260743 30.558981534714)","26724","COMITE DRIVE ANIMAL HOSPITAL","6650 COMITE DR","BATON ROUGE","LOUISIANA","70811",,
"POINT (-91.049868828318 30.498581940967)","177846","CROSSROADS ANIMAL HOSPITAL","12181 GREENWELL SPRINGS RD","GREENWELL SPRINGS","LOUISIANA","70739",,
"POINT (-91.025056862185 30.451766390199)","36758","RIVER OAKS ANIMAL HOSPITAL","14471 OLD HAMMOND HWY","BATON ROUGE","LOUISIANA","70819",,
"POINT (-91.059297118068 30.432474722865)","154611","OLD HAMMOND VET HOSPITAL INC","11160 N HARRELL'S FERRY RD","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.056496070463 30.458400935601)","28081","SHERWOOD FOREST ANIMAL HOSPITAL","11472 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70815",,
"POINT (-91.112327813234 30.434613074837)","35479","BOCAGE ANIMAL HOSPITAL","7353 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70806",,
