"bid_date","bid_time","department_name","division_name","description","contact_name","phone","phone_ext","buyer_name","room_number","note","bid_results","unique_id"
"2022-09-22T00:00:00.000","2:00 PM","ENVIRONMENTAL SERVICES","ENV SERV-SEWER-ENGINEERING","20008-A22-10 � O&M Services for the Wastewater Treatment Facilities","Adam Smith","225-389-4865",,"Kris Goranson","806","A mandatory pre-bid conference will be held on Friday, July 29, 2022 at 9:30.

The deadline for written inquiries is Friday, September 9, 2022 at 5:00 pm.",,"18200"
"2022-09-22T00:00:00.000","2:00 PM","ENVIRONMENTAL SERVICES","ENV SERV-ENVIRONMENTAL","South Wastewater Treatment Plant
 Buffer Improvements Project
C.P. Proj. Num 22-TP-MS-0002","Suliman Hamed","225-389-4865",,"Kris Goranson","806","A mandatory pre-bid conference will be held at 9:00 A.M., Tuesday, September 13, 2022, at the South Wastewater Treatment Plant, 2850 Gardere Lane, Baton Rouge, LA 70820.",,"18238"
"2022-09-14T00:00:00.000","2:00 PM","ENVIRONMENTAL SERVICES","ENV SERV-ENVIRONMENTAL","I-12 Large Diameter
 Sewer Rehabilitation Project
 C.P. Proj. Num 20-AR-MS-089A","Mr. William Fishburn","225-389-4865",,"Kris Goranson","806","A non-mandatory pre-bid conference will be held at 10:00 A.M., Tuesday, August 30th, 2022, in the Department of Public Works and Planning Center, Engineering Division, 1100 Laurel Street, First Floor Conference Room, Room 133, Baton Rouge, LA 70802.",,"18217"
"2022-09-14T00:00:00.000","2:00 PM","ENVIRONMENTAL SERVICES","ENV SERV-ENVIRONMENTAL","Chaneyville Community Center
Wastewater Treatment Plant Replacement
C.P. Project No. 22-TP-MS-0032","Mr. William Fishburn","225-389-4865",,"Kris Goranson","806","A non-mandatory pre-bid conference will be held at 11:00 A.M., Tuesday, August 30, 2022, , in the
Department of Public Works and Planning Center, Engineering Division, 1100 Laurel Street, First Floor
Conference Room, Room 133, Baton Rouge, LA 70802",,"18216"
"2022-09-13T00:00:00.000","11:00 AM","FLEET MANAGEMENT","FLEET-CENTRAL GARAGE","A22-0220 OEM SRP & MAS FOR GASBOY PUMPS & VEEDEROOT TANK MONITORS","Dexter Stewart","225-389-3259","3264","Dexter Stewart","806","For bidding information: https://www.centralauctionhouse.com/rfpc10656-city-of-baton-rouge.html",,"18221"
"2022-09-13T00:00:00.000","2:00 PM","BUILDINGS AND GROUNDS","BLDGANDGROUND-ARCHITECTURAL SERV","EBRP EMERGENCY GENERATORS
CITY PARISH PROJECT NO. 21-ASC-CP-1338","Stephen Long","225-389-4694",,"Kris Goranson","806","A non-mandatory pre-bid conference will be held at 10:00 AM on Wednesday, August 17th",,"18199"
"2022-09-12T00:00:00.000","11:00 AM","EMERGENCY MEDICAL SERVICES","EMS-OPERATIONS","A22-0583 EMS Medical Supplies","Maggie Duvall","225-389-3259","3272","Marjorie Duvall","806","For bidding information: https://www.centralauctionhouse.com/rfpc10656-city-of-baton-rouge.html",,"18237"
"2022-09-12T00:00:00.000","11:00 AM","BUILDINGS AND GROUNDS","BLDGANDGROUND-BUILDING MAINT","A22-0415 - Pest Control Services","Tian Clark","225-389-3259","3271","Tian Clark","806","For bidding information: https://www.centralauctionhouse.com/rfpc10656-city-of-baton-rouge.html","http://city.brla.gov/dept/purchase/loadbidresults.asp?GetBid=18236","18236"
"2022-09-08T00:00:00.000","11:00 AM","DEVELOPMENT","DEVELOPMENT-ADMINISTRATION","A22-92658 Asbestos Surveying and Testing Services","Rachael Y Lambert","225-389-3198",,"Sheneka Sylvan","806",,,"18233"
"2022-09-08T00:00:00.000","11:00 AM","GREATER BR AIRPORT DISTRICT","AIRPORT-ADMINISTRATION","22-05876 NEW CLASS IV ARFF VEHICLE FOR THE BATON ROUGE METROPOLITAN AIRPORT (ITB)","CRAIG ALFORD","225-355-0333",,"DeSean Bethley","806","NON-MANDATORY PRE-BID CONFERENCE & JOB SITE VISIT 9/1/22 @ 9:00AM CST AT BR METRO AIRPORT, 9430 JACKIE COCHRAN DR., 1ST FLOOR CONFERENCE ROOM

INQUIRIES RECEIVED BY 5:00PM CST ON 9/2/22",,"18232"
"2022-09-08T00:00:00.000","2:00 PM","BUILDINGS AND GROUNDS","BLDGANDGROUND-ARCHITECTURAL SERV","EBR LIBRARY OUTREACH RENOVATIONS
3434 NORTH BLVD, BATON ROUGE, LOUISIANA 70806    

CITY PARISH PROJECT NO. 21-ASC-CP-1327","Rob Gray","225-389-4694",,"Kris Goranson","806","A non-mandatory pre-bid conference will be held at 10:00 AM on Tuesday, August 9th, at EBRPL Outreach, 
3434 North Blvd., Baton Rouge, LA 70806.",,"18184"
"2022-09-08T00:00:00.000","11:00 AM","POLICE DEPARTMENT","POLICE-ADMINISTRATION","M9366 PISTOLS (GLOCK 17s & GLOCK 34s WITH TRADE-INS)","Dexter Stewart","225-276-4274",,"Dexter Stewart","806","For bidding information: https://www.centralauctionhouse.com/rfpc10656-city-of-baton-rouge.html",,"18218"
"2022-09-07T00:00:00.000","11:00 AM","DEVELOPMENT","DEVELOPMENT-PERMITS AND INSPECT","A22-91027F JUNK, TRASH, & DEBRIS REMOVAL SERVICES GROUP F","Rachael Y Lambert","225-389-3198",,"Sheneka Sylvan","806",,,"18202"
"2022-09-07T00:00:00.000","11:00 AM","DEVELOPMENT","DEVELOPMENT-PERMITS AND INSPECT","A22-91027J JUNK, TRASH, & DEBRIS REMOVAL SERVICES GROUP J","Rachael Y Lambert","225-389-3198",,"Sheneka Sylvan","806",,,"18205"
"2022-09-07T00:00:00.000","11:00 AM","DEVELOPMENT","DEVELOPMENT-PERMITS AND INSPECT","A22-91027H JUNK, TRASH, & DEBRIS REMOVAL SERVICES GROUP H","Rachael Y Lambert","225-389-3198",,"Sheneka Sylvan","806",,,"18204"
"2022-09-07T00:00:00.000","11:00 AM","MOSQUITO and RODENT CONTROL","MOSQUITO AND RODENT CONTROL","A22-1124 MOSQUITO CONTROL INSECTICIDES","Randy Vaeth","225-356-3297","242","Mark White","806","Inquiries will be received up until 5:00pm on August 31, 2022",,"18214"
