"the_geom","id","business_name","full_address","city","state","zip","phone_number","website","resource_type","sub_resource_type"
"POINT (-91.110824337593 30.355634073913)","41922","ALBERTSON # 3747","9960 BLUEBONNET BLVD","BATON ROUGE","LOUISIANA","70810","225-768-7775","http://albertsons.com/","RETAIL","GROCERY/PHARMACY"
"POINT (-91.020027581296 30.409320519051)","171174","WALMART NEIGHBORHOOD MARKET","14241 COURSEY BLVD, STE A3","BATON ROUGE","LOUISIANA","70817",,"http://walmart.com/","RETAIL","GROCERY/PHARMACY"
"POINT (-91.142424531321 30.420577502744)","35523","WALMART SUPER CENTER","3132 COLLEGE DR","BATON ROUGE","LOUISIANA","70808",,"http://walmart.com/","RETAIL","GROCERY/PHARMACY"
"POINT (-91.109746157947 30.352314948783)","1284","WALMART SUPERCENTER #4683","10550 BURBANK DR","BATON ROUGE","LOUISIANA","70810",,"http://walmart.com/","RETAIL","GROCERY/PHARMACY"
"POINT (-91.005305200039 30.437612642794)","43049","WAL MART SUPERCENTER #1266","2171 O'NEAL LN","BATON ROUGE","LOUISIANA","70816","225-751-3505","http://walmart.com/","RETAIL","GROCERY/PHARMACY"
"POINT (-91.015027862389 30.406403117221)","171461","ALBERTSON # 3747","15232 GEORGE O'NEAL RD","BATON ROUGE","LOUISIANA","70817","225-768-7775","http://albertsons.com/","RETAIL","GROCERY/PHARMACY"
"POINT (-91.110492816167 30.35494881821)","45900","ALBERTSON #3792","9990 BLUEBONNET BLVD","BATON ROUGE","LOUISIANA","70810","225-768-7775","http://albertsons.com/","RETAIL","GROCERY/PHARMACY"
"POINT (-91.141056387676 30.421923902954)","36336","ALBERTSONS #2709","2950 COLLEGE DR","BATON ROUGE","LOUISIANA","70808","225-924-6084","http://albertsons.com/","RETAIL","GROCERY/PHARMACY"
"POINT (-91.008574468886 30.357553711394)","40479","ALBERTSON # 3747","15128 AIRLINE HWY","BATON ROUGE","LOUISIANA","70809","225-768-7775","http://albertsons.com/","RETAIL","GROCERY/PHARMACY"
"POINT (-91.021438436986 30.409038372)","168826","WAL MART NEIGHBORHOOD MKT 5328","14241 COURSEY BLVD, STE B4","BATON ROUGE","LOUISIANA","70817","225-752-5354","http://walmart.com/","RETAIL","GROCERY/PHARMACY"
"POINT (-91.071991284272 30.370497419843)","49815","WINN DIXIE #1461","8601 SIEGEN LN","BATON ROUGE","LOUISIANA","70810","225-766-8400","https://winndixie.com","RETAIL","GROCERY/PHARMACY"
"POINT (-91.159927187871 30.395250974844)","171636","WAL MART NEIGHBORHOOD MARKET #4659","5255 HIGHLAND RD","BATON ROUGE","LOUISIANA","70808","225-766-7776","http://walmart.com/","RETAIL","GROCERY/PHARMACY"
"POINT (-91.09068216009 30.462099373477)","28720","WAL MART SUPERCENTER #839","9350 CORTANA PL","BATON ROUGE","LOUISIANA","70815","225-923-3400","http://walmart.com/","RETAIL","GROCERY/PHARMACY"
"POINT (-91.140187378266 30.445040604638)","36694","ALBERTSONS #3750","4857 GOVERNMENT ST","BATON ROUGE","LOUISIANA","70806","225-216-7226","http://albertsons.com/","RETAIL","GROCERY/PHARMACY"
"POINT (-91.007174244985 30.357871531571)","40481","ALBERTSON #3792","15138 AIRLINE HWY","BATON ROUGE","LOUISIANA","70809","225-768-7775","http://albertsons.com/","RETAIL","GROCERY/PHARMACY"
"POINT (-91.151018734966 30.65047515252)","3131","WINN-DIXIE #1581","5005 CHURCH ST","ZACHARY","LOUISIANA","70791",,"https://winndixie.com","RETAIL","GROCERY/PHARMACY"
"POINT (-91.162277559143 30.393275075691)","48612","WINN DIXIE #1454","5555 BURBANK DR","BATON ROUGE","LOUISIANA","70808","225-757-0501","https://winndixie.com","RETAIL","GROCERY/PHARMACY"
"POINT (-91.08294020452 30.432298428295)","32483","ALBERTSON # 3747","9650 AIRLINE HWY","BATON ROUGE","LOUISIANA","70815","225-768-7775","http://albertsons.com/","RETAIL","GROCERY/PHARMACY"
"POINT (-91.063595971481 30.378377280055)","48425","SAMS CLUB #6527","10444 N MALL DR","BATON ROUGE","LOUISIANA","70809","225-295-1353","http://samsclub.com/","RETAIL","GROCERY/PHARMACY"
"POINT (-91.08294020452 30.432298428295)","32486","ALBERTSONS #2712","9650 AIRLINE HWY","BATON ROUGE","LOUISIANA","70815","225-926-9304","http://albertsons.com/","RETAIL","GROCERY/PHARMACY"
"POINT (-91.015027862389 30.406403117221)","171463","ALBERTSONS FOOD CENTER #2713","15232 GEORGE O'NEAL RD","BATON ROUGE","LOUISIANA","70817","225-753-0700","http://albertsons.com/","RETAIL","GROCERY/PHARMACY"
"POINT (-91.141056387676 30.421923902954)","36333","ALBERTSON # 3747","2950 COLLEGE DR","BATON ROUGE","LOUISIANA","70808","225-768-7775","http://albertsons.com/","RETAIL","GROCERY/PHARMACY"
"POINT (-91.034701296516 30.408518430472)","27765","WINN DIXIE #1577","13002 COURSEY BLVD","BATON ROUGE","LOUISIANA","70817","225-756-7102","https://winndixie.com","RETAIL","GROCERY/PHARMACY"
"POINT (-91.077884386866 30.431012596169)","149120","WAL MART NEIGHBORHOOD MARKET #5327","9830 OLD HAMMOND HWY","BATON ROUGE","LOUISIANA","70816","225-248-1616","http://walmart.com/","RETAIL","GROCERY/PHARMACY"
"POINT (-91.110030685903 30.396623124564)","50043","ALBERTSONS #1311","7515 PERKINS RD","BATON ROUGE","LOUISIANA","70808","225-769-6100","http://albertsons.com/","RETAIL","GROCERY/PHARMACY"
