"the_geom","id","business_name","full_address","city","state","zip","phone_number","website","resource_type","sub_resource_type"
"POINT (-91.108795402853 30.441574539502)","27550","WOMAN'S HOSPITAL HOME HEALTH SERVICE","7662 GOODWOOD BLVD","BATON ROUGE","LOUISIANA","70806","(225) 924-8174",,"RETAIL","PHARMACY"
"POINT (-91.015376392046 30.409744928019)","173210","CVS PHARMACY #5343","15255 GEORGE O'NEAL RD, STE A-B","BATON ROUGE","LOUISIANA","70817","225-752-3710","http://cvs.com/","RETAIL","PHARMACY"
"POINT (-91.109514522553 30.430356974942)","37845","WALGREENS #3399","7620 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70809","225-292-6566","http://walgreens.com/","RETAIL","PHARMACY"
"POINT (-91.074873847945 30.455300836657)","22708","LG PHARMACY LLC","9936 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70815","(225) 927-9972",,"RETAIL","PHARMACY"
"POINT (-91.05878154061 30.459245475185)","28550","WALGREENS #2996","11297 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70815","225-272-9769","http://walgreens.com/","RETAIL","PHARMACY"
"POINT (-91.141022297549 30.509149329572)","20482","CVS PHARMACY #5319","4919 AIRLINE HWY","BATON ROUGE","LOUISIANA","70811",,,"RETAIL","PHARMACY"
"POINT (-91.096912603667 30.379344669487)","96317","CVS PHARMACY","7777 BLUEBONNET BLVD","BATON ROUGE","LOUISIANA","70810",,"http://cvs.com/","RETAIL","PHARMACY"
"POINT (-91.188487375426 30.449658674841)","175166","PRESCRIPTIONS TO GEAUX","313 3RD ST","BATON ROUGE","LOUISIANA","70801",,,"RETAIL","PHARMACY"
"POINT (-91.006779386586 30.439282280509)","38236","WALGREENS #07440","2001 O'NEAL LN","BATON ROUGE","LOUISIANA","70816","225-756-8536","http://walgreens.com/","RETAIL","PHARMACY"
"POINT (-91.167519540013 30.588783500745)","194318","CVS PHARMACY #5321","1214 MAIN ST","BAKER","LOUISIANA","70714","225-778-1843","http://cvs.com/","RETAIL","PHARMACY"
"POINT (-91.113764041726 30.403281273792)","85786","PRESCRIPTION COMPOUNDS","5302 O'DONOVAN DR","BATON ROUGE","LOUISIANA","70808","(225) 766-9577",,"RETAIL","PHARMACY"
"POINT (-91.097200758927 30.392185202284)","45518","INTERLINK PHARMACY","8490 PICARDY AVE","BATON ROUGE","LOUISIANA","70809","(225) 767-1750","http://generalhealth.org","RETAIL","PHARMACY"
"POINT (-91.140365802624 30.4795940518)","123596","LOUISIANA DISCOUNT PHARMACY","3332 N FOSTER DR","BATON ROUGE","LOUISIANA","70805",,,"RETAIL","PHARMACY"
"POINT (-91.109533166309 30.354575928519)","40351","WALGREENS #07083","9983 BLUEBONNET BLVD","BATON ROUGE","LOUISIANA","70810","225-769-4208","http://walgreens.com/","RETAIL","PHARMACY"
"POINT (-91.126279382859 30.406229561262)","176388","PIONEER PHARMACY LLC","2223 QUAIL RUN DR","BATON ROUGE","LOUISIANA","70808","(225) 768-7454",,"RETAIL","PHARMACY"
"POINT (-91.160137475444 30.395414338057)","173372","MEDICAP PHARMACY","5241 HIGHLAND RD","BATON ROUGE","LOUISIANA","70808",,,"RETAIL","PHARMACY"
"POINT (-91.017931812857 30.406515557205)","93668","MESSINAS PHARMACY INC","15046 MARKET ST","BATON ROUGE","LOUISIANA","70817","(225) 753-2700","http://medicineshoppe.com","RETAIL","PHARMACY"
"POINT (-91.008235953269 30.435002833604)","148702","BATON ROUGE CENTRAL PHARMACY","2380 O'NEAL LN, STE D","BATON ROUGE","LOUISIANA","70816","(225) 753-2727","http://cardinal.com","RETAIL","PHARMACY"
"POINT (-91.104472655957 30.399912029965)","176208","PHARMACEUTICAL SPECIALTIES LLC","5211 ESSEN LN","BATON ROUGE","LOUISIANA","70809","(225) 767-1655",,"RETAIL","PHARMACY"
"POINT (-91.057700891838 30.458266035498)","25379","CVS PHARMACY #5317","11430 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70815",,"http://cvs.com/","RETAIL","PHARMACY"
"POINT (-91.162945530054 30.470406899389)","21876","CVS PHARMACY #5615","2520 PLANK RD","BATON ROUGE","LOUISIANA","70805","225-357-1484","http://cvs.com/","RETAIL","PHARMACY"
"POINT (-91.147802526714 30.5132694676)","24137","BORDELONS SUPER SAVE INC","6920 PLANK RD","BATON ROUGE","LOUISIANA","70811","(225) 356-0253","http://bordelonssupersave.com","RETAIL","PHARMACY"
"POINT (-91.016605576198 30.408247213088)","36477","WALGREENS #3085","14444 COURSEY BLVD","BATON ROUGE","LOUISIANA","70817","225-753-1499","http://walgreens.com/","RETAIL","PHARMACY"
"POINT (-91.114334164204 30.450676430101)","46992","BATON ROUGE SPECIALTY PHARMACY","141 OCEAN DR","BATON ROUGE","LOUISIANA","70806","(225) 929-9912",,"RETAIL","PHARMACY"
"POINT (-91.05095059188 30.411684402683)","97355","CVS PHARMACY #5510","11705 COURSEY BLVD","BATON ROUGE","LOUISIANA","70816","225-291-0596","http://cvs.com/","RETAIL","PHARMACY"
"POINT (-91.193944047549 30.654320067963)","189475","CVS PHARMACY #1924","20501 OLD SCENIC HWY","ZACHARY","LOUISIANA","70791",,,"RETAIL","PHARMACY"
"POINT (-91.030313533541 30.511566301989)","163570","WALGREENS #07795","6515 SULLIVAN RD","GREENWELL SPRINGS","LOUISIANA","70739",,,"RETAIL","PHARMACY"
"POINT (-91.110455763869 30.399470957124)","187323","SOILEAUS VITAL CARE INC","7612 PICARDY AVE, STE B","BATON ROUGE","LOUISIANA","70808","(225) 766-7453",,"RETAIL","PHARMACY"
"POINT (-91.179233018664 30.529203903886)","8971","COMMUNITY PHARMACY","9136 SCOTLAND AVE","BATON ROUGE","LOUISIANA","70807","(225) 775-6337",,"RETAIL","PHARMACY"
