"id","statusdesc","createdate","closeddate","lastaction","parenttype","typename","comments","streetnum","streetname","streetaddress","crossname","cityname","department","division","latitude","longitude","geolocation","typeid","parentid","deptdivid","deptdiv","status"
"867432","OPEN","2022-09-12T23:10:00.000",,"2022-09-12T23:10:00.000","GARBAGE","DAMAGED GARBAGE CART","LID OF TRASH CAN IS FALLING APART. COULD I GET A REPLACEMENT? THANKS.",,,,,"BATON ROUGE","ENVIRONMENTAL SERVICES","SANITATION","0","0","
,  
(0.0, 0.0)","173020","172975","57","DES - SANITATION","0"
"867431","IN PROGRESS","2022-09-12T22:19:00.000",,"2022-09-12T22:37:00.000","ROAD MAINTENANCE ISSUES","POTHOLE","POTHOLE ON MILFORD AT GOURRIER","4010","GOURRIER AVE","4010 GOURRIER AVE",,"BATON ROUGE","MAINTENANCE","STREET MAINTENANCE","30.403757","-91.178581","
,  
(30.403757, -91.178581)","173071","172980","64","DOM - STREET MAINTENANCE","3"
"867430","OPEN","2022-09-12T21:40:00.000",,"2022-09-12T21:40:00.000","BLIGHTED PROPERTIES","TALL GRASS","INSIDE CORNER HOUSE IN THE CURVE ON BARDWELL DRIVE. GRASS IS VERY HIGH AND GROWING INTO THE STREET. GRASS IN STREET IS A DRAINAGE ISSUE AND REDUCING THE STREET WIDTH. GRASS IS REAR YARD IS VERY HIGH AS WELL. OVER A FOOT TALL.","2135","BARDWELL DR","2135 BARDWELL DR",,"BATON ROUGE","DEVELOPMENT","BLIGHT ENFORCEMENT","30.428919","-91.13829","
,  
(30.428919, -91.13829)","172989","172971","59","DOD - BLIGHT ENFORCEMENT","0"
"867429","OPEN","2022-09-12T21:12:00.000",,"2022-09-12T21:12:00.000","GARBAGE","SAME DAY SERVICE STATUS","GARBAGE CARTS NOT SERVICED ON STREET MON 9/12","1312","STOKLEY PL","1312 STOKLEY PL",,"BATON ROUGE","ENVIRONMENTAL SERVICES","SANITATION","30.447245","-91.037193","
,  
(30.447245, -91.037193)","427105","172975","57","DES - SANITATION","0"
"867428","OPEN","2022-09-12T21:10:00.000",,"2022-09-12T21:55:00.000","GARBAGE","SAME DAY SERVICE STATUS","GARBAGE ON MY STREET WAS NOT PICKED UP","175111","CHANCELLORSVILLE AVE","175111 CHANCELLORSVILLE AVE",,"BATON ROUGE","ENVIRONMENTAL SERVICES","SANITATION","30.400793","-90.989952","
,  
(30.400793, -90.989952)","427105","172975","57","DES - SANITATION","0"
"867427","OPEN","2022-09-12T20:39:00.000",,"2022-09-12T20:39:00.000","DRAINAGE, EROSION, FLOODING OR HOLES","ROADSIDE EROSION ISSUE","ROAD CAVE IN. IT WAS REPORTED TO STREET MAINTENANCE AS A POTHOLE ON 7/30/21 WITH THE SERVICE REQUEST NUMBER 751314. 311 SHOWED THAT NO ONE HAS CHECKED IT YET IT IS MORE THAN A POTHOLE, ANOTHET NEIGH OR ALSO REPORTED. I AM ECHOING THIS REQUEST AND ASKING CAMERAS BE PUT DOWN IN THESE LOCSTIONS.","803","DREHR AVE","803 DREHR AVE",,"BATON ROUGE","MAINTENANCE","DRAINAGE MAINTENANCE","30.441187","-91.163605","
,  
(30.441187, -91.163605)","173006","172973","62","DOM - DRAINAGE MAINTENANCE","0"
"867426","OPEN","2022-09-12T20:37:00.000",,"2022-09-12T20:37:00.000","GARBAGE","SAME DAY SERVICE STATUS","GARBAGE CARTS NOT SERVICED ON STREET MON 9/12","12411","PARKLAKE AVE","12411 PARKLAKE AVE",,"BATON ROUGE","ENVIRONMENTAL SERVICES","SANITATION","30.400202","-91.043953","
,  
(30.400202, -91.043953)","427105","172975","57","DES - SANITATION","0"
"867425","OPEN","2022-09-12T20:17:00.000",,"2022-09-12T20:17:00.000","GARBAGE","SAME DAY SERVICE STATUS","GARBAGE CARTS NOT SERVICED ON STREET MON 9/12","11831","OLD HAMMOND HWY","11831 OLD HAMMOND HWY",,"BATON ROUGE","ENVIRONMENTAL SERVICES","SANITATION","30.438791","-91.052017","
,  
(30.438791, -91.052017)","427105","172975","57","DES - SANITATION","0"
"867424","OPEN","2022-09-12T20:12:00.000",,"2022-09-12T21:55:00.000","GARBAGE","SAME DAY SERVICE STATUS","OUR TRASH PICK UP WAS MISSED BUT IT LOOKS LIKE THE REST OF THE STREET WAS PICKED UP.","14131","JANE SEYMOUR DR","14131 JANE SEYMOUR DR",,"BATON ROUGE","ENVIRONMENTAL SERVICES","SANITATION","30.443239","-91.027702","
,  
(30.443239, -91.027702)","427105","172975","57","DES - SANITATION","0"
"867423","OPEN","2022-09-12T19:54:00.000",,"2022-09-12T19:54:00.000","ROAD MAINTENANCE ISSUES","SHOULDER REPAIR NEEDED","ON NORTH STEVENDALE AROUND THE IRON FENCE AND CAR REPAIR SHOP, THE EDGE OF THE STREET IS DAMAGE IN SEVERAL SPOTS.",,"N STEVENDALE RD","N STEVENDALE RD",,"BATON ROUGE","MAINTENANCE","STREET MAINTENANCE","30.469873","-91.002632","
,  
(30.469873, -91.002632)","173076","172980","64","DOM - STREET MAINTENANCE","0"
"867422","OPEN","2022-09-12T19:36:00.000",,"2022-09-12T19:36:00.000","STREET/TRAFFIC ISSUES","STREET LIGHT OUTAGE OR DAMAGE","LIGHT OUT","2232","SPRING POINTE DR","2232 SPRING POINTE DR",,"BATON ROUGE","TRANSPORTATION AND DEVELOPMENT","TRAFFIC ENGINEERING","30.340448","-91.115105","
,  
(30.340448, -91.115105)","412195","172982","66","TAD - TRAFFIC ENGINEERING","0"
"867421","OPEN","2022-09-12T19:27:00.000",,"2022-09-12T19:27:00.000","GARBAGE","SAME DAY SERVICE STATUS","GARBAGE CARTS NOT SERVICED ON CALLER SIDE OF THE STREET MON 9/12...CALLER REPORTING TRUCK DROVE UP AND DOWN STREET, BUT ONLY SERVICED ON SIDE","12472","E GLENHAVEN DR","12472 E GLENHAVEN DR",,"BATON ROUGE","ENVIRONMENTAL SERVICES","SANITATION","30.453239","-91.045044","
,  
(30.453239, -91.045044)","427105","172975","57","DES - SANITATION","0"
"867420","OPEN","2022-09-12T19:18:00.000",,"2022-09-12T19:18:00.000","GARBAGE","DAMAGED GARBAGE CART","96 GAL CART BUSTED IN THE BACK","5314","RIVER MEADOW DR","5314 RIVER MEADOW DR",,"BATON ROUGE","ENVIRONMENTAL SERVICES","SANITATION","30.389853","-91.200859","
,  
(30.389853, -91.200859)","173020","172975","57","DES - SANITATION","0"
"867419","OPEN","2022-09-12T19:14:00.000",,"2022-09-12T19:14:00.000","GARBAGE","SAME DAY SERVICE STATUS","GARBAGE NOT SERVICED THROUGHOUT SUBDIVISION MON 9/12","1434","KNOLLHAVEN DR","1434 KNOLLHAVEN DR",,"BATON ROUGE","ENVIRONMENTAL SERVICES","SANITATION","30.361418","-91.062065","
,  
(30.361418, -91.062065)","427105","172975","57","DES - SANITATION","0"
"867418","OPEN","2022-09-12T19:08:00.000",,"2022-09-12T19:08:00.000","GARBAGE","SAME DAY SERVICE STATUS","GARBAGE NOT SERVICED IN SUBDIVISION MON 9/12","5343","FORT GREGG DR","5343 FORT GREGG DR",,"BATON ROUGE","ENVIRONMENTAL SERVICES","SANITATION","30.406435","-90.988426","
,  
(30.406435, -90.988426)","427105","172975","57","DES - SANITATION","0"
"867417","OPEN","2022-09-12T19:03:00.000",,"2022-09-12T19:03:00.000","GARBAGE","SAME DAY SERVICE STATUS","GARBAGE CART NOT SERVICED MON 9/12","12050","E GLENHAVEN DR","12050 E GLENHAVEN DR",,"BATON ROUGE","ENVIRONMENTAL SERVICES","SANITATION","30.453901","-91.049965","
,  
(30.453901, -91.049965)","427105","172975","57","DES - SANITATION","0"
