"casenumber","occurredfromdate","occurredthroughdate","reporteddate","disposition","dispositiondate","index_crime_category","statute","statutedescription","crimecode","crimecodedescription","nciccode","nciccodedescription","domestic","streetaddress","city","zip","location_point","patrol_division"
"2022-00083410","2022-07-25T14:30:00.000","2022-07-25T14:35:00.000","2022-07-25T15:05:24.000","Open","2022-07-25T00:00:00.000","Crimes Against Society","9.6.102","TRESPASS ON PRIVATE PROPERTY","90J","Trespass of Real Property",,,,,"Colorado Springs",,,
"2022-00014365","2013-02-17T00:00:00.000","2022-04-14T14:45:00.000","2022-04-14T14:53:50.000","Open","2022-04-14T00:00:00.000","Crimes Against Persons","18-6-301 F4","Incest","36A","Incest","3607","Incest with Adult","No",,,,,"Falcon"
"2022-00001910","2022-01-07T17:30:00.000","2022-01-08T15:00:00.000","2022-01-08T15:16:32.000","Open","2022-01-08T00:00:00.000","Crimes Against Society","18-4-205(1) F5 1","Possession of Burglary Tools","90Z","All Other Offenses","2206","Burglary Tools-Possession","No",,"COLORADO SPRINGS",,,
"2020-00082858","2020-07-25T20:30:00.000","2020-07-27T07:00:00.000","2020-07-28T10:40:33.000","Open","2020-07-28T00:00:00.000","Crimes Against Property","18-4-401(2)(f) F6 (01)","Theft - $2000 to $4999, Not Otherwise Classified","23H","All Other Larceny",,,,,"Colorado Springs","80915","POINT (-104.716756 38.854194)",
"2020-00026655","2020-08-02T16:09:00.000","2020-08-02T16:09:00.000","2020-08-02T16:10:48.000","Cleared by Arrest","2020-08-02T00:00:00.000","Crimes Against Society","18-6-803.5(2)(a) M1","Violation of a Protection Order - MPO","90Z","All Other Offenses","5005","Contempt of Court","Yes",,"COLORADO SPRINGS",,,
"2020-00017764","2020-05-15T16:30:00.000","2020-05-18T07:10:00.000","2020-05-18T09:10:18.000","Open","2020-05-18T09:10:18.000","Crimes Against Property","18-4-501(1) M3(2)","Criminal Mischief under $300-Private","290","Destruction/Damage/Vandalism of Property","2902","Damage Property-Private","No",,,,,
"2020-00016175","2020-05-02T13:00:00.000","2020-05-04T08:00:00.000","2020-05-04T14:59:55.000","Open","2020-05-04T14:59:55.000","Crimes Against Society","18-4-505 M1 (1)","1st Degree Criminal Tampering","90Z","All Other Offenses","7199","Property Crimes","No",,"COLORADO SPRINGS",,,
"2020-00014830","2020-04-19T08:00:00.000","2020-04-22T08:00:00.000","2020-04-23T00:17:08.000","Open","2020-05-20T00:00:00.000","Crimes Against Persons","18-3-405.3(2)(a) F3 (3)","Sexual Assault on a Child-Position of Trust Victim under 15","11A","Forcible Rape","1103","Rape-Strong Arm","No",,,,,
"2020-00012831","2020-04-04T23:10:00.000","2020-04-04T23:16:00.000","2020-04-04T23:16:20.000","Cleared by Arrest","2020-04-05T00:00:00.000","Crimes Against Society","42-4-1103(1) TIA","Impeded normal flow of traffic","99","Not Reportable",,,"No",,,,,"Falcon"
"2020-00010460","2020-03-13T15:00:00.000","2020-03-13T15:00:00.000","2020-03-13T15:03:56.000","Cleared by Arrest","2020-03-13T15:03:56.000","Crimes Against Society","18-6-803.5(2)(a) M1","Violation of a Protection Order - MPO","90Z","All Other Offenses","5005","Contempt of Court","Yes",,,,,
"2019-00042667","2014-12-09T00:00:00.000","2015-12-28T00:00:00.000","2019-11-14T19:49:37.000","Open","2019-11-14T19:49:37.000","Crimes Against Society","18-6-403(3)(b.5)  F5","Sexual Exploitation of Children - Possess Material","370","Pornography/Obscene Materials","3704","Obscene Material-Possession","No",,,,,
"2019-00047921","2019-12-10T00:01:00.000","2019-12-24T00:01:00.000","2019-12-25T02:54:04.000","Open","2019-12-25T02:54:04.000","Crimes Against Property","18-4-401(2)(c) M3 (09)","Theft - $50 to $299, From Mails","23H","All Other Larceny","2310","Larceny-From Mails","No",,"COLORADO SPRINGS",,,
"2019-00084706","2019-12-02T15:58:00.000","2019-12-02T16:00:00.000","2019-12-03T20:18:30.000","Open","2019-12-03T00:00:00.000","Crimes Against Society","9.6.102","TRESPASS ON PRIVATE PROPERTY","90J","Trespass of Real Property",,,,,"Colorado Springs",,,
"2019-00038803","2019-10-16T13:30:00.000","2019-10-16T13:30:00.000","2019-10-16T22:20:38.000","Person Returned","2021-05-31T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No",,"COLORADO SPRINGS",,,
"2019-00037271","2019-10-05T12:56:00.000","2019-10-05T13:16:00.000","2019-10-05T12:56:20.000","Cleared by Arrest","2019-10-05T00:00:00.000","Crimes Against Society","18-6-803.5(1)(a) M2","Violation of a Protection Order","90Z","All Other Offenses","5005","Contempt of Court","No",,"COLORADO SPRINGS",,,
