"ticketnumber","tickettype","ticketdatetime","accidentnumber","casenumber","statute","description","age_incident","age_grouping","race","gender","ethnicity","streetaddress","city","zip","point_location","patrol_division"
"E1022070","Traffic","2021-10-28T21:28:00.000",,,"10.6.102","CARELESS DRIVING","19","18-19","White","Male","Hispanic",,,,,
"E1217516","Traffic","2021-05-31T12:08:00.000",,,"10.22.204","EXHAUST SYSTEMS","22","20-24","White","Male","Unknown",,,,,
"E390902","Traffic","2019-09-12T12:02:00.000",,,"10.23.116","SAFETY BELT SYSTEMS","26","25-34","White","Male","Hispanic",,,,,
"E1060093","Traffic","2021-07-26T22:15:00.000",,,"10.18.106","PEDESTRIANS ON HIGHWAYS","23","20-24","White","Male","Hispanic",,,,,
"E1000460","Traffic","2021-07-12T08:38:00.000",,,"10.8.106","FOLLOWING TOO CLOSELY","29","25-34","White","Female","Hispanic",,,,,
"E1031513","Traffic","2021-04-07T10:44:00.000",,,"10.8.106","FOLLOWING TOO CLOSELY","26","25-34","White","Female","Hispanic",,,,,
"E266182","Traffic","2017-09-13T23:20:00.000",,,"10.17.110","BARRICADES","25","25-34","White","Male","Non Hispanic Origin",,,,,
"E331102","Traffic","2019-01-21T05:38:00.000",,,"10.6.101","RECKLESS DRIVING","23","20-24","White","Male","Hispanic",,,,,
"E1388516","Traffic","2022-08-13T02:04:00.000",,,"10.5.107B1","SPEED CONTESTS","30","25-34","Black","Male","Non Hispanic Origin",,,,,
"E077831","Traffic","2018-01-29T06:12:00.000",,,"10.6.102","CARELESS DRIVING","32","25-34","Black","Male","Unknown",,,,,
"E445599","Traffic","2018-08-23T08:25:00.000",,,"10.23.116","SAFETY BELT SYSTEMS","22","20-24","White","Female","Unknown",,,,,
"E117784","Traffic","2016-02-25T13:21:00.000",,,"10.5.104C","EXCEED SPEED LIMIT 10-19 OVER","68","65-74","White","Female","Hispanic",,,,,
"E1014020","Traffic","2021-05-14T05:55:00.000",,,"10.5.104C","EXCEED SPEED LIMIT 10-19 OVER","19","18-19","White","Female","Hispanic",,,,,
"E537625","Traffic","2019-09-02T15:16:00.000",,,"10.13.102","OBEDIENCE TO PARKING REGULATIO","54","45-54","White","Female","Unknown",,,,,
"E1170851","Criminal","2022-05-18T08:00:00.000",,"2022-00018785","9.9.404","CAMPING RESTRICTIONS IN PARKS","39","35-44","White","Male","Hispanic",,,,,
"E175887","Traffic","2016-03-17T12:14:00.000",,,"10.23.101","OBSTRUCTION OF VIEW","45","45-54","White","Male","Unknown",,,,,
"E275468","Traffic","2017-08-14T13:06:00.000",,,"10.5.104C","EXCEED SPEED LIMIT 10-19 OVER","43","35-44","White","Female","Hispanic",,,,,
"E1045909","Traffic","2022-06-28T08:04:00.000",,,"10.18.104","CROSSING OTHER THAN CROSSWALK","58","55-64","Black","Male","Non Hispanic Origin",,,,,
"E065314","Traffic","2016-04-04T05:49:00.000",,"2016-16147305","42-4-1101 TIA","Speed Limits Exceeded","48","45-54","Unknown","Male","Unknown",,,,,
"E1172514","Traffic","2021-05-23T15:33:00.000",,,"10.5.104D","EXCEED SPEED LIMIT 20-39 OVER","51","45-54","White","Male","Hispanic",,,,,
"E374622","Traffic","2018-03-14T17:15:00.000","2018-0010084",,"10.6.102","CARELESS DRIVING","47","45-54","White","Male","Non Hispanic Origin",,,,,
"E858529","Traffic","2020-04-17T11:38:00.000",,,"10.3.101B","FAILURE TO STOP AT STOP SIGN","22","20-24","Unknown","Female","Non Hispanic Origin",,,,,
"E120618","Traffic","2016-09-02T23:24:00.000",,,"10.5.104D","EXCEED SPEED LIMIT 20-39 OVER","25","25-34","Unknown","Male","Unknown",,,,,
"E381673","Traffic","2019-07-07T19:45:00.000","2019-9024499",,"10.6.102","CARELESS DRIVING","41","35-44","White","Male","Non Hispanic Origin",,,,,
"E616525","Traffic","2020-02-02T23:31:00.000",,,"10.7.102","SIGNAL REQUIRED ON MOVEMENT","56","55-64","White","Male","Non Hispanic Origin",,,,,
"E171449","Traffic","2018-05-14T05:51:00.000",,,"42-3-114 TIB","Expiration - displayed expired license plates","36","35-44","White","Male","Non Hispanic Origin",,,,,
"E590559","Criminal","2021-01-15T15:39:00.000",,"2021-00003018","9.2.109","Assault","22","20-24","White","Male","Hispanic",,,,,
"E217755","Traffic","2018-11-22T00:53:00.000",,,"10.9.101","ONE WAY STREETS & ALLEYS","21","20-24","White","Female","Non Hispanic Origin",,,,,
"E073622","Traffic","2016-05-20T23:27:00.000",,,"10.19.108","EQUIPMENT ON BICYCLES","30","25-34","White","Male","Non Hispanic Origin",,"COLORADO SPRINGS","80903",,
