"facility_operator","location","year","quarter","gamma_radiation","reported_unit","comment"
"Nine Mile Point Site","Site Meteorological Tower","2017","4th",,"mrem/quarter",
"Nine Mile Point Site","County Route 29 and 1A (Lake Rd)","2017","4th","15","mrem/quarter",
"Nine Mile Point Site","County Route 29 & Miner Road","2017","3rd","15","mrem/quarter",
"Nine Mile Point Site","Lakeview Road","2017","4th",,"mrem/quarter",
"Background","Captial District","2017","3rd","19","mrem/quarter",
"Background","Captial District","2017","1st","10","mrem/quarter",
"Nine Mile Point Site","County Route 29 & Miner Road","2017","4th","14","mrem/quarter",
"Nine Mile Point Site","Site Meteorological Tower","2017","1st","10","mrem/quarter",
"Nine Mile Point Site","County Route 29 & Miner Road","2017","2nd","13","mrem/quarter",
"Nine Mile Point Site","County Route 29 and 1A (Lake Rd)","2017","2nd","14","mrem/quarter",
"Nine Mile Point Site","County Route 29 & Miner Road","2017","1st","10","mrem/quarter",
"Nine Mile Point Site","Lakeview Road","2017","3rd","18","mrem/quarter",
"Nine Mile Point Site","Lakeview Road","2017","2nd","15","mrem/quarter",
"Nine Mile Point Site","Site Meteorological Tower","2017","3rd","16","mrem/quarter",
"Nine Mile Point Site","County Route 29 and 1A (Lake Rd)","2017","3rd","21","mrem/quarter",
"Background","Captial District","2017","4th","20","mrem/quarter",
"Background","Captial District","2017","2nd","16","mrem/quarter",
"Nine Mile Point Site","Lakeview Road","2017","1st","10","mrem/quarter",
"Nine Mile Point Site","Site Meteorological Tower","2017","2nd","12","mrem/quarter",
"Nine Mile Point Site","County Route 29 and 1A (Lake Rd)","2017","1st","10","mrem/quarter",
