"contract_name","county","status","primary_funding_agreement","award_date","total_project_cost","capital_investment","direct_assistance_awarded","tax_benefits_awarded","projected_jobs_created","projected_jobs_retained","projected_jobs_other","projected_jobs_total","projected_qualifying_wage","contracted_jobs_created","contracted_jobs_retained","contracted_jobs_other","contracted_jobs_total","contracted_qualifying_wage","project_completion_jobs_created","project_completion_jobs_retained","project_completion_jobs_other_created","project_completion_jobs_total","total_project_cost_project_completion","project_completion_date","reported_jobs_created","reported_jobs_retained","reported_jobs_other_created","reported_jobs_total","date_reported","project_maintenance_date","city_location"
"Cottingham & Butler, Inc.","Dubuque","Under contract - In Maintenance","07-EZ-021","2006-10-19T00:00:00.000","7667000","5030000","300000","623000","56","0","34","90","12.41","83","0","2","85","12.41","83","0","2","85","7667000","2012-12-31T00:00:00.000","83","0","2","85","2012-12-31T00:00:00.000","2022-12-31T00:00:00.000","POINT (-90.667314 42.505512)"
"Morrison Bros. Co.","Dubuque","Under contract - In Maintenance","08-EZ-036","2008-06-19T00:00:00.000","3375000","2855000","0","593750","10","0","0","10","12.79","10","0","0","10","12.79","6","0","4","10","3375000","2014-12-31T00:00:00.000","10","0","0","10","2014-12-31T00:00:00.000","2024-12-31T00:00:00.000","POINT (-90.667314 42.505512)"
"Hy-Vee, Inc.","Cherokee","Under contract - In Maintenance","09-EZ-006","2008-10-16T00:00:00.000","17924000","17774000","0","1976660","12","0","0","12","13.87","12","0","0","12","11.80","12","0","0","12","17924000","2011-10-31T00:00:00.000","12","0","0","12","2011-10-31T00:00:00.000","2021-10-31T00:00:00.000","POINT (-95.551271 42.749674)"
"Harvest International","Cherokee","Under contract - In Maintenance","07-EZ-044","2007-06-13T00:00:00.000","1093000","708000","0","82425","26","0","0","26","11.33","26","0","0","26","11.33","26","0","0","26","1093000","2010-06-30T00:00:00.000","26","0","0","26","2010-06-30T00:00:00.000","2020-01-30T00:00:00.000","POINT (-95.551271 42.749674)"
"Genencor - A Danisco Company","Linn","Under contract - In Maintenance","08-EZ-022","2008-01-17T00:00:00.000","3846225","2850000","100000","337500","19","0","1","20","14.24","20","0","0","20","14.24","20","0","0","20","3846225","2011-01-31T00:00:00.000","20","0","0","20","2011-01-31T00:00:00.000","2021-01-31T00:00:00.000","POINT (-91.669808 41.978122)"
"Ashley Industrial Molding, Inc.","Fayette","Under contract - In Maintenance","09-EZ-009","2008-12-18T00:00:00.000","14825000","14600000","0","1858000","70","0","0","70","12.54","70","0","0","70","11.12","70","0","0","70","14825000","2011-12-31T00:00:00.000","70","0","0","70","2011-12-31T00:00:00.000","2021-12-31T00:00:00.000","POINT (-91.911989 42.678527)"
"Weiler, Inc.","Marion","Under contract - In Maintenance","08-EZ-039","2008-06-19T00:00:00.000","875770","867770","90000","138616","29","0","1","30","14.81","30","0","0","30","14.81","30","0","0","30","875770","2012-06-30T00:00:00.000","30","0","0","30","2012-06-30T00:00:00.000","2021-06-30T00:00:00.000","POINT (-93.109494 41.320727)"
"Naturally Recycled Proteins, LLC","Hardin","Under contract - In Maintenance","08-EZ-030","2008-03-20T00:00:00.000","5213094","4941000","0","529913","15","0","0","15","12.72","15","0","0","15","12.72","15","0","0","15","5213094","2011-03-31T00:00:00.000","15","0","0","15","2011-03-31T00:00:00.000","2021-03-31T00:00:00.000","POINT (-93.062158 42.407355)"
"Cambridge Investment Group, Inc.","Jefferson","Under contract - In Maintenance","08-EZ-020","2008-01-17T00:00:00.000","7315808","6611000","0","814850","46","0","51","97","12.21","46","0","51","97","12.21","46","0","51","97","7315808","2011-01-31T00:00:00.000","46","0","51","97","2011-01-31T00:00:00.000","2021-01-31T00:00:00.000","POINT (-91.965049 41.006634)"
"American Natural Processors (fka Maple River)","Ida","Under contract - In Maintenance","07-EZ-031","2006-12-21T00:00:00.000","14860000","11160000","400000","1223919","12","0","1","13","11.85","13","0","0","13","11.85","13","0","0","13","14860000","2013-12-31T00:00:00.000","13","0","0","13","2013-12-31T00:00:00.000","2023-12-31T00:00:00.000","POINT (-95.417231 42.503831)"
"Google, LLC","Pottawattamie","Under contract - In Maintenance","12-HQJP-051","2012-04-20T00:00:00.000","1700000000","1700000000","0","36600000","35","0","0","35","18.81","35","0","0","35","18.81","35","0","0","35","1700000000","2019-04-30T00:00:00.000","35","0","0","35","2019-04-30T00:00:00.000","2021-04-30T00:00:00.000","POINT (-95.85436 41.258963)"
