"company_name","address","address2","city","state","zip","state_of_domicile","location","naic_number","iowacompanynumber"
"Overdrive Risk Retention Group, LLC.","463 Mountain View Drive, Suite 301",,"COLCHESTER","VT","05446","TN","POINT (-73.184875 44.509931)","16822","8088"
"Velocity Insurance Company, A Risk Retention Group","1904 Savannah Hwy, Unit 202",,"CHARLESTON","SC","29407","SC","POINT (-80.022837 32.788511)","15956","8068"
"Academic Medical Professionals Insurance Risk Retention Group, LLC","C/O Risk Services,","1605 Main Street, Suite 800","SARASOTA","FL","34236","VT",,"12934","8060"
"STAR Mutual Risk Retention Group","123 Center Park Drive, Suite 234",,"KNOXVILLE","TN","37922","TN","POINT (-84.121862 35.905693)","17024","8102"
"American Builders Insurance Company Risk Retention Group Inc","5151 HAMPSTEAD HIGH STREET, SUITE 200",,"MONTGOMERY","AL","36116","AL","POINT (-86.186763 32.31208)","12631","8041"
"ARCOA Risk Retention Group Inc","2721 N Central Ave",,"PHOENIX","AZ","85004","NV","POINT (-112.073711 33.478425)","13177","8045"
"MMIC Risk Retention Group, Inc.","7701 France Avenue South, Suite 500",,"MINNEAPOLIS","MN","55435","DC","POINT (-93.328685 44.862775)","14062","8087"
"Graph Insurance Group a Risk Retention Group LLC","135 ALLEN BROOK LN, SUITE 101",,"WILLISTON","VT","05495","VT","POINT (-73.1033 44.451534)","16415","8083"
"Continuing Care Risk Retention Group, Inc.","PO BOX 2100",,"MONTPELIER","VT","05601-2100","VT",,"11798","8033"
"Franklin Casualty Insurance Company (A Risk Retention Group)","463 Mountain View Drive, Suite 301, 3rd",,"COLCHESTER","VT","05446","VT","POINT (-73.184875 44.509931)","10842","8079"
"Securent Risk Retention Group, Inc.","c/o Risk Services","1605 Main St, Suite 800","Sarasota","FL","34238","AL",,"17185","8107"
"COPIC. a Risk Retention Group","7351 E. LOWRY BLVD, SUITE 400",,"DENVER","CO","80230","DC","POINT (-104.902054 39.717134)","14906","8075"
"Mental Health Risk Retention Group, Inc.","159 Bank Street, Fourth Floor",,"BURLINGTON","VT","05401","VT","POINT (-73.213142 44.478198)","44237","8003"
"Bonded Builders Insurance Company, a Risk Retention Group","1050 30th St NW",,"WASHINGTON","DC","20007","NV","POINT (-77.059149 38.903933)","13010","8051"
"College Risk Retention Group Inc","463 MOUNTAIN VIEW DRIVE, SUITE 301",,"COLCHESTER","VT","05446","VT","POINT (-73.184875 44.509931)","13613","8048"
"Housing Authority Risk Retention Group, Inc.","PO BOX 189",,"CHESHIRE","CT","06410","VT",,"26797","8015"
"Technology Transportation Mutual Risk Retention Group, Inc.","1605 Main Street, Suite 800",,"SARASOTA","FL","34236","AL","POINT (-82.537894 27.336485)","17046","8100"
"Motor Transport Mutual Risk Retention Group Inc","1605 MAIN STREET, SUITE 800",,"SARASOTA","FL","34236","AL","POINT (-82.537894 27.336485)","16700","8085"
"Restoration Risk Retention Group, Inc.","126 COLLEGE STREET, SUITE 300",,"BURLINGTON","VT","05401","VT","POINT (-73.215138 44.477015)","12209","8037"
"CUSA RRG, Inc.","76 St. Paul Street, Suite 500",,"BURLINGTON","VT","05401-4477","VT","POINT (-73.21414 44.477661)","16222","8080"
"Skyraider Risk Retention Group, Inc.","151 Meeting Street, Suite 301",,"CHARLESTON","SC","29401","SC","POINT (-79.931348 32.779194)","16863","8094"
"National Guardian Risk Retention Goup, INC.","146 Fairchild Street, Suite 135",,"CHARLESTON","SC","29492","HI","POINT (-79.9121 32.864682)","36072","8010"
"States Self-Insurers Risk Retention Group","222 SOUTH NINTH STREET, SUITE 2700",,"MINNEAPOLIS","MN","55402-3332","VT","POINT (-93.270217 44.973404)","44075","8004"
"Affiliates Insurance Reciprocal, a RRG","30 MAIN STREET, PO BOX 1687",,"BURLINGTON","VT","05402-1687","VT","POINT (-73.218332 44.475726)","13677","8049"
"Peace Church Risk Retentin Group (A Reciprocal)","463 Mountain View Drive, Suite 301",,"COLCHESTER","VT","05466","VT","POINT (-73.184875 44.509931)","11846","8070"
"American Contractors Insurance Company Risk Retention Group","2600 N. Central Expressway, Suite 800",,"RICHARDSON","TX","75080","TX","POINT (-96.709248 32.992667)","12300","8001"
"National Catholic Risk Retention Group, Inc. (The)","27 Main St  1st Floor","C/O Advantage Insurance Management","BURLINGTON","VT","05401","VT","POINT (-73.218354 44.475725)","10083","8009"
"Small Fleet Advantage Risk Retention Group, Inc.","Aon Insurance Managers","146 Fairchild Street, Suite 135","CHARLESTON","SC","29492","SC",,"16600","8090"
"Western Pacific Mutual insurance  Company, a RRG","9265 MADRAS COURT",,"LITTLETON","CO","80130","CO","POINT (-104.92268 39.548102)","40940","8014"
"CrossFit Risk Retention Group Inc","2897 KALAWAO STREET",,"HONOLULU","HI","96822","MT","POINT (-157.808228 21.305819)","13720","8050"
"Future Care Risk Retention Group, Inc.","1605 Main Street, Suite 800",,"SARASOTA","FL","34236","VT","POINT (-82.537894 27.336485)","16661","8092"
"P&S Insurance Risk Retention Group Inc","146 Fairchild St, Suite 135",,"CHARLESTON","SC","29492","SC","POINT (-79.9121 32.864682)","15583","8063"
"Community Blood Centers' Exchange, Risk Retention Group","702 North Shore Drive Suite #500",,"JEFFERSONVILLE","IN","47130","IN","POINT (-85.748459 38.270776)","13893","8016"
"Emergency Capital management, A Risk Retention Group, LLC","76 St. Paul Street, Suite 500",,"BURLINGTON","VT","05401-4477","VT","POINT (-73.21414 44.477661)","14163","8097"
"Sunland Risk Retention Group Inc","12 Gillon Street",,"CHARLESTON","SC","29401","TN","POINT (-79.926633 32.777116)","14026","8084"
"Omnia Risk Retention Group, Inc.","146 Fairchild Street, Suite 135",,"Charleston","SC","29492","SC","POINT (-79.9121 32.864682)","16989","8103"
"Titan Insurance Company, Inc. a Risk Retention Group","370 LAS COLINAS BOULEVARD W., SUITE 108",,"IRVING","TX","75039","SC","POINT (-96.943724 32.874582)","11153","8027"
"Applied Medico-Legal Solutions Risk Retention Group, Inc.","Aon, MSC# 17154","PO Box 19640","IRVING","CA","92623","AZ",,"11598","8043"
"MICA Risk Retention Group Inc","2602 E Thomas Rd",,"PHOENIX","AZ","85016","DC","POINT (-112.025566 33.480346)","15527","8082"
"Preferred Physicians Medical Risk Retention Group, a Mutual Insurance Company","11880 College Boulevard Suite 300",,"OVERLAND PARK","KS","66210-2141","MO","POINT (-94.722784 38.927516)","44083","8002"
"The Mutual Risk Retention Group, Inc.","3000 Oak Road, Suite 600",,"WALNUT CREEK","CA","94597","HI","POINT (-122.058074 37.929603)","26257","8067"
"Attorneys Liability Assurance Society Ltd A Risk Retention Group","311 South Wacker Drive  Suite 5700",,"CHICAGO","IL","60606-6629","VT","POINT (-87.636691 41.87746)","15445","8021"
"Government Technology Risk Retention Group, Inc.","1605 Main Street, Suite 880","c/o Risk Services","Sarasota","FL","34236","NV","POINT (-82.537894 27.336485)","13973","8105"
"PCH MUTUAL INSURANCE COMPANY INC., A RISK RETENTION GROUP","1605 MAIN STREET, SUITE 800",,"SARASOTA","FL","34236","VT","POINT (-82.537894 27.336485)","11973","8036"
"Alliance of Nonprofits for Insurance, Risk Retention Group, Inc.","135 ALLEN BROOK LANE, SUITE 101",,"WILLISTON","VT","05495","VT","POINT (-73.1033 44.451534)","10023","8023"
"Eagle Builders Insurance Company Risk Retention Group Inc","1605 MAIN STREET, SUITE 800",,"SARASOTA","FL","34236","NC","POINT (-82.537894 27.336485)","16104","8074"
"Emergency Medicine Professional Assurance Company, RRG","1605 MAIN STREET, SUITE 800",,"SARASOTA","FL","34236","NV","POINT (-82.537894 27.336485)","12003","8040"
"Healthcare Professional Long Term Care Risk Retention Group, Inc.","c/o Risk Services","1605 Main St Suite 800","Sarasota","FL","34236","NC",,"16957","8108"
"New Home Warranty Insurance Company a Risk Retention Group","13900 E HARVARD AVE",,"AURORA","CO","80014","DC","POINT (-104.827122 39.671757)","13792","8052"
"Cherokee Guarantee Company Inc a Risk Retention Group","18835 N. Thompson Peak Parkway, Suite 21",,"SCOTTSDALE","AZ","85255","AZ","POINT (-111.866933 33.657198)","14388","8055"
"COMPASS SPECIALTY INSURANCE RISK RETENTION GROUP, INC.","424 CHURCH STREET, SUITE 800",,"NASHVILLE","TN","37219-2395","TN","POINT (-86.780009 36.163238)","15867","8078"
