"budget_line_code","fiscal_year","function","dept_name","fund","appropriation","budget_unit_code","budget_unit","object_class","gov_recommendation","dept_request","adopted_budget"
"2010-0017-030H-54330HA-05A","2010","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","030H - State Parks Infrastructure Renovations","54330HA","State Parks Infrastructure Renovations","05A - Appropriation","0","2500000","0"
"2010-0017-039H-54339HA-05A","2010","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","039H - DNR Lakes Restoration & Water Quality","54339HA","DNR Lakes Restoration & Water Quality","05A - Appropriation","0","8600000","0"
"2010-0017-044G-54344GA-05A","2010","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","044G - Lewis & Clark","54344GA","Lewis & Clark Visitor Center","05A - Appropriation","0","600000","0"
"2010-0017-08H2-54308H2-05A","2010","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","08H2 - Lake Delhi Improvements","54308H2","Lake Delhi Improvements","05A - Appropriation","0","100000","0"
"2010-0017-09H4-54309H4-05A","2010","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","09H4 - Floodplain Management/Dam Safety","54309H4","Floodplain Management/Dam Sfety","05A - Appropriation","3000000","3000000","0"
"2010-0017-09H5-54309H5-05A","2010","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","09H5 - Information Technology","54309H5","Information Technology","05A - Appropriation","0","550000","0"
"2010-0017-09H6-54309H6-05A","2010","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","09H6 - State Forest Health/Emerald Ash Borer","54309H6","State Forest Health/Emerald Ash Borer","05A - Appropriation","0","300000","0"
"2010-0017-09H7-54309H7-05A","2010","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","09H7 - Manchester Fish Hatchery","54309H7","Manchester Fish atchery","05A - Appropriation","0","2000000","0"
"2010-0017-09H8-54309H8-05A","2010","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","09H8 - Private Lands Flood Damage","54309H8","Private Lands Floodplain Mitigation","05A - Appropriation","0","450000","0"
"2010-0103-09H2-54309H2-05A","2010","Capital","Natural Resources Capital","0103 - Federal Economic Stimulus and Jobs Holding Fund","09H2 - Ambient Air Quality","54309H2","Ambient Air Quality","05A - Appropriation","0","195000","0"
"2010-0103-09H9-54309H9-05A","2010","Capital","Natural Resources Capital","0103 - Federal Economic Stimulus and Jobs Holding Fund","09H9 - Deer Depredation Program","54309H9","Deer Depredation Program","05A - Appropriation","0","250000","0"
"2010-0295-003H-54303HA-05A","2010","Capital","Natural Resources Capital","0295 - Environment First Fund","003H - GIS Information for Watershed","54303HA","Gis Information For Watershed","05A - Appropriation","195000","195000","195000"
"2010-0295-004H-54304HA-05A","2010","Capital","Natural Resources Capital","0295 - Environment First Fund","004H - Water Quality Monitoring","54304HA","Water Quality Monitoring","05A - Appropriation","2955000","2955000","2955000"
"2010-0295-005H-54305HA-05A","2010","Capital","Natural Resources Capital","0295 - Environment First Fund","005H - Volunteers and Keepers of Land","54305HA","Volunteers  & Keepeers Of Land","05A - Appropriation","100000","100000","100000"
"2010-0295-016H-54316HA-05A","2010","Capital","Natural Resources Capital","0295 - Environment First Fund","016H - Animal Feeding Operations","54316HA","Animal Feeding Operations","05A - Appropriation","360000","360000","360000"
"2010-0295-017H-54317HA-05A","2010","Capital","Natural Resources Capital","0295 - Environment First Fund","017H - Air Quality Monitoring - ambient","54317HA","Air Quality Monitoring -Livestock","05A - Appropriation","625000","325000","425000"
"2010-0295-032H-54332HA-05A","2010","Capital","Natural Resources Capital","0295 - Environment First Fund","032H - Water Quality Protection","54332HA","Water Quality Protection","05A - Appropriation","500000","500000","500000"
"2010-0295-041H-54341HA-05A","2010","Capital","Natural Resources Capital","0295 - Environment First Fund","041H - REAP","54341HA","Reap","05A - Appropriation","18000000","18000000","18000000"
