"monthenddate","majorgroup","majoroccupationalgrouptitle","claimants"
"2022-07-31T00:00:00.000","11-0000","Management","741"
"2022-07-31T00:00:00.000","13-0000","Business and Financial Operations","389"
"2022-07-31T00:00:00.000","15-0000","Computer and Mathematical","131"
"2022-07-31T00:00:00.000","17-0000","Architecture and Engineering","67"
"2022-07-31T00:00:00.000","19-0000","Life, Physical, and Social Science","48"
"2022-07-31T00:00:00.000","21-0000","Community and Social Service","112"
"2022-07-31T00:00:00.000","23-0000","Legal","25"
"2022-07-31T00:00:00.000","25-0000","Educational Instruction and Library","473"
"2022-07-31T00:00:00.000","27-0000","Arts, Design, Entertainment, Sports, and Media","79"
"2022-07-31T00:00:00.000","29-0000","Healthcare Practitioners and Technical","129"
"2022-07-31T00:00:00.000","31-0000","Healthcare Support","136"
"2022-07-31T00:00:00.000","33-0000","Protective Service","80"
"2022-07-31T00:00:00.000","35-0000","Food Preparation and Serving Related","645"
"2022-07-31T00:00:00.000","37-0000","Building and Grounds Cleaning and Maintenance","129"
"2022-07-31T00:00:00.000","39-0000","Personal Care and Service","74"
"2022-07-31T00:00:00.000","41-0000","Sales and Related","320"
"2022-07-31T00:00:00.000","43-0000","Office and Administrative Support","862"
"2022-07-31T00:00:00.000","45-0000","Farming, Fishing, and Forestry","46"
"2022-07-31T00:00:00.000","47-0000","Construction and Extraction","581"
"2022-07-31T00:00:00.000","49-0000","Installation, Maintenance, and Repair","252"
"2022-07-31T00:00:00.000","51-0000","Production","1032"
"2022-07-31T00:00:00.000","53-0000","Transportation and Material Moving","994"
"2022-07-31T00:00:00.000","55-0000","Military Specific","1"
"2022-07-31T00:00:00.000","INA","Information Not Available","85"
"2022-06-30T00:00:00.000","11-0000","Management","654"
"2022-06-30T00:00:00.000","13-0000","Business and Financial Operations","348"
"2022-06-30T00:00:00.000","15-0000","Computer and Mathematical","117"
"2022-06-30T00:00:00.000","17-0000","Architecture and Engineering","67"
"2022-06-30T00:00:00.000","19-0000","Life, Physical, and Social Science","51"
"2022-06-30T00:00:00.000","21-0000","Community and Social Service","78"
"2022-06-30T00:00:00.000","23-0000","Legal","19"
"2022-06-30T00:00:00.000","25-0000","Educational Instruction and Library","412"
"2022-06-30T00:00:00.000","27-0000","Arts, Design, Entertainment, Sports, and Media","79"
"2022-06-30T00:00:00.000","29-0000","Healthcare Practitioners and Technical","129"
"2022-06-30T00:00:00.000","31-0000","Healthcare Support","129"
"2022-06-30T00:00:00.000","33-0000","Protective Service","72"
"2022-06-30T00:00:00.000","35-0000","Food Preparation and Serving Related","632"
"2022-06-30T00:00:00.000","37-0000","Building and Grounds Cleaning and Maintenance","104"
"2022-06-30T00:00:00.000","39-0000","Personal Care and Service","54"
"2022-06-30T00:00:00.000","41-0000","Sales and Related","288"
"2022-06-30T00:00:00.000","43-0000","Office and Administrative Support","742"
"2022-06-30T00:00:00.000","45-0000","Farming, Fishing, and Forestry","38"
"2022-06-30T00:00:00.000","47-0000","Construction and Extraction","709"
"2022-06-30T00:00:00.000","49-0000","Installation, Maintenance, and Repair","209"
"2022-06-30T00:00:00.000","51-0000","Production","917"
"2022-06-30T00:00:00.000","53-0000","Transportation and Material Moving","918"
"2022-06-30T00:00:00.000","55-0000","Military Specific","1"
"2022-06-30T00:00:00.000","INA","Information Not Available","76"
"2022-05-31T00:00:00.000","11-0000","Management","573"
"2022-05-31T00:00:00.000","13-0000","Business and Financial Operations","268"
"2022-05-31T00:00:00.000","15-0000","Computer and Mathematical","108"
"2022-05-31T00:00:00.000","17-0000","Architecture and Engineering","74"
"2022-05-31T00:00:00.000","19-0000","Life, Physical, and Social Science","50"
"2022-05-31T00:00:00.000","21-0000","Community and Social Service","45"
"2022-05-31T00:00:00.000","23-0000","Legal","17"
"2022-05-31T00:00:00.000","25-0000","Educational Instruction and Library","33"
"2022-05-31T00:00:00.000","27-0000","Arts, Design, Entertainment, Sports, and Media","80"
"2022-05-31T00:00:00.000","29-0000","Healthcare Practitioners and Technical","132"
"2022-05-31T00:00:00.000","31-0000","Healthcare Support","116"
"2022-05-31T00:00:00.000","33-0000","Protective Service","42"
"2022-05-31T00:00:00.000","35-0000","Food Preparation and Serving Related","241"
"2022-05-31T00:00:00.000","37-0000","Building and Grounds Cleaning and Maintenance","141"
"2022-05-31T00:00:00.000","39-0000","Personal Care and Service","58"
"2022-05-31T00:00:00.000","41-0000","Sales and Related","271"
"2022-05-31T00:00:00.000","43-0000","Office and Administrative Support","758"
"2022-05-31T00:00:00.000","45-0000","Farming, Fishing, and Forestry","38"
"2022-05-31T00:00:00.000","47-0000","Construction and Extraction","1304"
"2022-05-31T00:00:00.000","49-0000","Installation, Maintenance, and Repair","245"
"2022-05-31T00:00:00.000","51-0000","Production","905"
"2022-05-31T00:00:00.000","53-0000","Transportation and Material Moving","643"
"2022-05-31T00:00:00.000","55-0000","Military Specific","1"
"2022-05-31T00:00:00.000","INA","Information Not Available","88"
"2022-04-30T00:00:00.000","11-0000","Management","729"
"2022-04-30T00:00:00.000","13-0000","Business and Financial Operations","201"
"2022-04-30T00:00:00.000","15-0000","Computer and Mathematical","113"
"2022-04-30T00:00:00.000","17-0000","Architecture and Engineering","84"
"2022-04-30T00:00:00.000","19-0000","Life, Physical, and Social Science","56"
"2022-04-30T00:00:00.000","21-0000","Community and Social Service","46"
"2022-04-30T00:00:00.000","23-0000","Legal","17"
"2022-04-30T00:00:00.000","25-0000","Educational Instruction and Library","43"
"2022-04-30T00:00:00.000","27-0000","Arts, Design, Entertainment, Sports, and Media","77"
"2022-04-30T00:00:00.000","29-0000","Healthcare Practitioners and Technical","135"
"2022-04-30T00:00:00.000","31-0000","Healthcare Support","118"
"2022-04-30T00:00:00.000","33-0000","Protective Service","62"
"2022-04-30T00:00:00.000","35-0000","Food Preparation and Serving Related","172"
"2022-04-30T00:00:00.000","37-0000","Building and Grounds Cleaning and Maintenance","473"
"2022-04-30T00:00:00.000","39-0000","Personal Care and Service","50"
"2022-04-30T00:00:00.000","41-0000","Sales and Related","280"
"2022-04-30T00:00:00.000","43-0000","Office and Administrative Support","804"
"2022-04-30T00:00:00.000","45-0000","Farming, Fishing, and Forestry","97"
"2022-04-30T00:00:00.000","47-0000","Construction and Extraction","3400"
"2022-04-30T00:00:00.000","49-0000","Installation, Maintenance, and Repair","341"
"2022-04-30T00:00:00.000","51-0000","Production","1126"
"2022-04-30T00:00:00.000","53-0000","Transportation and Material Moving","1630"
"2022-04-30T00:00:00.000","55-0000","Military Specific","0"
"2022-04-30T00:00:00.000","INA","Information Not Available","108"
"2022-03-31T00:00:00.000","11-0000","Management","1124"
"2022-03-31T00:00:00.000","13-0000","Business and Financial Operations","239"
"2022-03-31T00:00:00.000","15-0000","Computer and Mathematical","125"
"2022-03-31T00:00:00.000","17-0000","Architecture and Engineering","160"
"2022-03-31T00:00:00.000","19-0000","Life, Physical, and Social Science","89"
"2022-03-31T00:00:00.000","21-0000","Community and Social Service","48"
"2022-03-31T00:00:00.000","23-0000","Legal","16"
"2022-03-31T00:00:00.000","25-0000","Educational Instruction and Library","54"
"2022-03-31T00:00:00.000","27-0000","Arts, Design, Entertainment, Sports, and Media","79"
"2022-03-31T00:00:00.000","29-0000","Healthcare Practitioners and Technical","126"
"2022-03-31T00:00:00.000","31-0000","Healthcare Support","143"
"2022-03-31T00:00:00.000","33-0000","Protective Service","70"
"2022-03-31T00:00:00.000","35-0000","Food Preparation and Serving Related","278"
"2022-03-31T00:00:00.000","37-0000","Building and Grounds Cleaning and Maintenance","1594"
"2022-03-31T00:00:00.000","39-0000","Personal Care and Service","69"
"2022-03-31T00:00:00.000","41-0000","Sales and Related","321"
"2022-03-31T00:00:00.000","43-0000","Office and Administrative Support","903"
"2022-03-31T00:00:00.000","45-0000","Farming, Fishing, and Forestry","221"
"2022-03-31T00:00:00.000","47-0000","Construction and Extraction","7910"
"2022-03-31T00:00:00.000","49-0000","Installation, Maintenance, and Repair","549"
"2022-03-31T00:00:00.000","51-0000","Production","1410"
"2022-03-31T00:00:00.000","53-0000","Transportation and Material Moving","3418"
"2022-03-31T00:00:00.000","55-0000","Military Specific","2"
"2022-03-31T00:00:00.000","INA","Information Not Available","220"
"2022-02-28T00:00:00.000","11-0000","Management","1336"
"2022-02-28T00:00:00.000","13-0000","Business and Financial Operations","259"
"2022-02-28T00:00:00.000","15-0000","Computer and Mathematical","131"
"2022-02-28T00:00:00.000","17-0000","Architecture and Engineering","173"
"2022-02-28T00:00:00.000","19-0000","Life, Physical, and Social Science","124"
"2022-02-28T00:00:00.000","21-0000","Community and Social Service","54"
"2022-02-28T00:00:00.000","23-0000","Legal","15"
"2022-02-28T00:00:00.000","25-0000","Educational Instruction and Library","53"
"2022-02-28T00:00:00.000","27-0000","Arts, Design, Entertainment, Sports, and Media","101"
"2022-02-28T00:00:00.000","29-0000","Healthcare Practitioners and Technical","125"
"2022-02-28T00:00:00.000","31-0000","Healthcare Support","136"
"2022-02-28T00:00:00.000","33-0000","Protective Service","75"
"2022-02-28T00:00:00.000","35-0000","Food Preparation and Serving Related","362"
"2022-02-28T00:00:00.000","37-0000","Building and Grounds Cleaning and Maintenance","1963"
"2022-02-28T00:00:00.000","39-0000","Personal Care and Service","89"
"2022-02-28T00:00:00.000","41-0000","Sales and Related","384"
"2022-02-28T00:00:00.000","43-0000","Office and Administrative Support","1044"
"2022-02-28T00:00:00.000","45-0000","Farming, Fishing, and Forestry","306"
"2022-02-28T00:00:00.000","47-0000","Construction and Extraction","9050"
"2022-02-28T00:00:00.000","49-0000","Installation, Maintenance, and Repair","663"
"2022-02-28T00:00:00.000","51-0000","Production","1646"
"2022-02-28T00:00:00.000","53-0000","Transportation and Material Moving","3790"
"2022-02-28T00:00:00.000","55-0000","Military Specific","4"
"2022-02-28T00:00:00.000","INA","Information Not Available","253"
"2022-01-31T00:00:00.000","11-0000","Management","1314"
"2022-01-31T00:00:00.000","13-0000","Business and Financial Operations","293"
"2022-01-31T00:00:00.000","15-0000","Computer and Mathematical","127"
"2022-01-31T00:00:00.000","17-0000","Architecture and Engineering","183"
"2022-01-31T00:00:00.000","19-0000","Life, Physical, and Social Science","127"
"2022-01-31T00:00:00.000","21-0000","Community and Social Service","58"
"2022-01-31T00:00:00.000","23-0000","Legal","20"
"2022-01-31T00:00:00.000","25-0000","Educational Instruction and Library","79"
"2022-01-31T00:00:00.000","27-0000","Arts, Design, Entertainment, Sports, and Media","113"
"2022-01-31T00:00:00.000","29-0000","Healthcare Practitioners and Technical","119"
"2022-01-31T00:00:00.000","31-0000","Healthcare Support","145"
"2022-01-31T00:00:00.000","33-0000","Protective Service","74"
"2022-01-31T00:00:00.000","35-0000","Food Preparation and Serving Related","482"
"2022-01-31T00:00:00.000","37-0000","Building and Grounds Cleaning and Maintenance","1890"
"2022-01-31T00:00:00.000","39-0000","Personal Care and Service","110"
"2022-01-31T00:00:00.000","41-0000","Sales and Related","407"
"2022-01-31T00:00:00.000","43-0000","Office and Administrative Support","1091"
