"datayear","chapter","cstate","cname","description","premiums_written","losses_paid","taxes_paid","cocode","active_code"
"2019","515.48","WI","1st Auto & Casualty Insurance Company","Fire","0","0","0","44725","2894"
"2019","515.48","WI","1st Auto & Casualty Insurance Company","Allied Lines","0","0","0","44725","2894"
"2019","515.48","WI","1st Auto & Casualty Insurance Company","Multiple Peril Crop","0","0","0","44725","2894"
"2019","515.48","WI","1st Auto & Casualty Insurance Company","Federal Flood","0","0","0","44725","2894"
"2019","515.48","WI","1st Auto & Casualty Insurance Company","Farmowners Multiple Peril","68977","38777","985","44725","2894"
"2019","515.48","WI","1st Auto & Casualty Insurance Company","Homeowners Multiple Peril","30721","0","439","44725","2894"
"2019","515.48","WI","1st Auto & Casualty Insurance Company","Commerical Multiple Peril (Non-liability portion)","0","0","0","44725","2894"
"2019","515.48","WI","1st Auto & Casualty Insurance Company","Commerical Multiple Peril (Liability portion)","0","0","0","44725","2894"
"2019","515.48","WI","1st Auto & Casualty Insurance Company","Mortgage Guaranty","0","0","0","44725","2894"
"2019","515.48","WI","1st Auto & Casualty Insurance Company","Ocean Marine","0","0","0","44725","2894"
"2019","515.48","WI","1st Auto & Casualty Insurance Company","Inland Marine","0","0","0","44725","2894"
"2019","515.48","WI","1st Auto & Casualty Insurance Company","Financial Guaranty","0","0","0","44725","2894"
"2019","515.48","WI","1st Auto & Casualty Insurance Company","Medical Professional Liability","0","0","0","44725","2894"
"2019","515.48","WI","1st Auto & Casualty Insurance Company","Earthquake","0","0","0","44725","2894"
"2019","515.48","WI","1st Auto & Casualty Insurance Company","Group Accident and Health (b)","0","0","0","44725","2894"
"2019","515.48","WI","1st Auto & Casualty Insurance Company","Credit Accident and Health (Group and Individual)","0","0","0","44725","2894"
"2019","515.48","WI","1st Auto & Casualty Insurance Company","Collectively Renewable Accident and Health (b)","0","0","0","44725","2894"
"2019","515.48","WI","1st Auto & Casualty Insurance Company","Non-Cancelable Accident and Health (b)","0","0","0","44725","2894"
"2019","515.48","WI","1st Auto & Casualty Insurance Company","Guaranteed Renewable Accident and Health (b)","0","0","0","44725","2894"
"2019","515.48","WI","1st Auto & Casualty Insurance Company","Non-Renewable for Stated Reasons only (b)","0","0","0","44725","2894"
"2019","515.48","WI","1st Auto & Casualty Insurance Company","Other Accident only","0","0","0","44725","2894"
"2019","515.48","WI","1st Auto & Casualty Insurance Company","Medicare Title XVIII","0","0","0","44725","2894"
"2019","515.48","WI","1st Auto & Casualty Insurance Company","All other Accident and Health (b)","0","0","0","44725","2894"
"2019","515.48","WI","1st Auto & Casualty Insurance Company","Federal Employees Health Benefits Program Premium (b)","0","0","0","44725","2894"
"2019","515.48","WI","1st Auto & Casualty Insurance Company","Workers Compensation","0","0","0","44725","2894"
"2019","515.48","WI","1st Auto & Casualty Insurance Company","Other Liability - Occcurence","53356","0","762","44725","2894"
"2019","515.48","WI","1st Auto & Casualty Insurance Company","Other Liability - Claims Made","0","0","0","44725","2894"
"2019","515.48","WI","1st Auto & Casualty Insurance Company","Excess Workers Compensation","0","0","0","44725","2894"
