"admission_age","charge_class_code","charge_type","charge_subtype","sex","race_desc","county","month_of_release","year_of_release","facility_name","days_held"
"16","FELD","PROPERTY","BURGLARY","MALE","AFRICAN AMERICAN","Dallas","September","2006","Polk County Juvenile Detention Center","7"
"14","FELC","PROPERTY","THEFT","FEMALE","AFRICAN AMERICAN","Bremer","September","2017","North Iowa Juvenile Detention Services","39"
"13","FELD","PROPERTY","BURGLARY","FEMALE","CAUCASIAN","Clay","September","2009","Northwest Iowa Youth Service Center","8"
"16","FELD","PROPERTY","BURGLARY","MALE","AFRICAN AMERICAN","Black Hawk","September","2018","North Iowa Juvenile Detention Services","22"
"17","FELD","PROPERTY","BURGLARY","MALE","CAUCASIAN","Webster","September","2003","Central Iowa Juvenile Detention Center","19"
"13","FELC","PROPERTY","THEFT","MALE","NATIVE AMERICAN","Federal Hold","September","2017","Woodbury County Juvenile Detention Center","27"
"17","FELC","PROPERTY","BURGLARY","MALE","AFRICAN AMERICAN","Polk","September","2014","South Iowa Area Detention Service Agency","25"
"13","FELD","PROPERTY","BURGLARY","FEMALE","AFRICAN AMERICAN","Black Hawk","September","2005","North Iowa Juvenile Detention Services","6"
"14","FELD","PROPERTY","BURGLARY","MALE","CAUCASIAN","Marion","September","2005","South Iowa Area Detention Service Agency - Lucas County","7"
"16","FELD","PROPERTY","BURGLARY","FEMALE","CAUCASIAN","Linn","September","2005","Linn County Juvenile Detention Center","3"
"16","FELD","PROPERTY","BURGLARY","MALE","CAUCASIAN","Wright","September","2006","North Iowa Juvenile Detention Services","63"
"17","FELD","PROPERTY","BURGLARY","MALE","CAUCASIAN","Shelby","September","2017","Southwest Iowa Juvenile Detention Center","12"
"17","AGMS","PROPERTY","FORGERY/FRAUD","FEMALE","CAUCASIAN","Pottawattamie","September","2013","Southwest Iowa Juvenile Detention Center","9"
"13","FELC","PROPERTY","THEFT","MALE","MULTI-RACIAL","Linn","September","2020","Linn County Juvenile Detention Center","38"
"16","FELC","PROPERTY","BURGLARY","MALE","AFRICAN AMERICAN","Out of State","September","2005","Woodbury County Juvenile Detention Center","4"
"17","FELC","PROPERTY","BURGLARY","MALE","AFRICAN AMERICAN","Polk","September","2010","Polk County Juvenile Detention Center","2"
"15","FELD","PROPERTY","BURGLARY","MALE","HISPANIC","Pottawattamie","September","2011","Southwest Iowa Juvenile Detention Center","5"
"12","FELD","PROPERTY","BURGLARY","MALE","NATIVE AMERICAN","Out of State","September","2017","Northwest Iowa Youth Service Center","11"
"14","FELD","PROPERTY","BURGLARY","FEMALE","AFRICAN AMERICAN","Black Hawk","September","2005","North Iowa Juvenile Detention Services","3"
"14","FELD","PROPERTY","BURGLARY","MALE","CAUCASIAN","Mahaska","September","2006","South Iowa Area Detention Service Agency - Lucas County","86"
"15","FELD","PROPERTY","BURGLARY","MALE","CAUCASIAN","Linn","September","2010","Linn County Juvenile Detention Center","3"
"16","FELD","PROPERTY","BURGLARY","FEMALE","CAUCASIAN","Linn","September","2005","Linn County Juvenile Detention Center","2"
"16","FELD","PROPERTY","BURGLARY","MALE","CAUCASIAN","Linn","September","2006","Linn County Juvenile Detention Center","3"
"16","FELD","PROPERTY","BURGLARY","MALE","CAUCASIAN","Woodbury","September","2010","Woodbury County Juvenile Detention Center","2"
"17","FELD","PROPERTY","BURGLARY","MALE","CAUCASIAN","Des Moines","September","2017","Central Iowa Juvenile Detention Center","39"
"17","FELD","PROPERTY","BURGLARY","MALE","CAUCASIAN","Shelby","September","2017","Southwest Iowa Juvenile Detention Center","8"
"17","AGMS","PROPERTY","BURGLARY","MALE","CAUCASIAN","Bremer","September","2006","North Iowa Juvenile Detention Services","5"
"17","FELD","PROPERTY","FORGERY/FRAUD","FEMALE","HISPANIC","Pottawattamie","September","2009","Southwest Iowa Juvenile Detention Center","3"
"13","SMMS","PROPERTY","OTHER PROPERTY","MALE","CAUCASIAN","Boone","September","2013","Central Iowa Juvenile Detention Center","4"
"13","FELC","PROPERTY","THEFT","MALE","CAUCASIAN","Polk","September","2020","Polk County Juvenile Detention Center","10"
"13","FELC","PROPERTY","BURGLARY","MALE","NATIVE AMERICAN","Federal Hold","September","2015","Woodbury County Juvenile Detention Center","6"
"16","FELC","PROPERTY","BURGLARY","MALE","AFRICAN AMERICAN","Muscatine","September","2019","South Iowa Area Detention Service Agency","1"
"16","FELC","PROPERTY","BURGLARY","MALE","CAUCASIAN","Linn","September","2020","Linn County Juvenile Detention Center","2"
"17","FELC","PROPERTY","BURGLARY","MALE","AFRICAN AMERICAN","Polk","September","2003","South Iowa Area Detention Service Agency - Lucas County","9"
"17","FELC","PROPERTY","BURGLARY","MALE","CAUCASIAN","Polk","September","2009","Polk County Juvenile Detention Center","9"
"15","FELD","PROPERTY","BURGLARY","FEMALE","CAUCASIAN","Carroll","September","2005","Northwest Iowa Youth Service Center","73"
"10","FELD","PROPERTY","BURGLARY","MALE","CAUCASIAN","Black Hawk","September","2004","North Iowa Juvenile Detention Services","3"
"12","FELD","PROPERTY","BURGLARY","MALE","NATIVE AMERICAN","Federal Hold","September","2017","Woodbury County Juvenile Detention Center","21"
"13","FELD","PROPERTY","BURGLARY","MALE","CAUCASIAN","Buena Vista","September","2003","Northwest Iowa Youth Service Center","29"
"13","FELD","PROPERTY","BURGLARY","MALE","NATIVE AMERICAN","Out of State","September","2017","Northwest Iowa Youth Service Center","19"
"14","FELD","PROPERTY","BURGLARY","MALE","CAUCASIAN","Benton","September","2004","North Iowa Juvenile Detention Services","21"
"14","FELD","PROPERTY","BURGLARY","MALE","CAUCASIAN","Linn","September","2019","Linn County Juvenile Detention Center","15"
"15","FELD","PROPERTY","BURGLARY","MALE","ASIAN/PACIFIC ISLANDER","Warren","September","2004","Polk County Juvenile Detention Center","18"
"15","FELD","PROPERTY","BURGLARY","MALE","CAUCASIAN","Linn","September","2010","Linn County Juvenile Detention Center","2"
"15","FELD","PROPERTY","BURGLARY","MALE","CAUCASIAN","Scott","September","2008","Scott County Juvenile Detention Center","38"
"16","FELD","PROPERTY","BURGLARY","FEMALE","CAUCASIAN","Emmet","September","2007","Northwest Iowa Youth Service Center","5"
"16","FELD","PROPERTY","BURGLARY","MALE","CAUCASIAN","Clinton","September","2013","Scott County Juvenile Detention Center","2"
"16","FELD","PROPERTY","BURGLARY","MALE","CAUCASIAN","Linn","September","2004","Linn County Juvenile Detention Center","46"
"16","FELD","PROPERTY","BURGLARY","MALE","CAUCASIAN","Polk","September","2004","Polk County Juvenile Detention Center","9"
"16","FELD","PROPERTY","BURGLARY","MALE","CAUCASIAN","Woodbury","September","2005","Woodbury County Juvenile Detention Center","37"
"17","FELD","PROPERTY","BURGLARY","MALE","AFRICAN AMERICAN","Clay","September","2007","Northwest Iowa Youth Service Center","8"
"17","FELD","PROPERTY","BURGLARY","MALE","CAUCASIAN","Des Moines","September","2015","Central Iowa Juvenile Detention Center","22"
"17","FELD","PROPERTY","BURGLARY","MALE","CAUCASIAN","Mills","September","2017","Southwest Iowa Juvenile Detention Center","18"
"17","FELD","PROPERTY","BURGLARY","MALE","CAUCASIAN","Scott","September","2015","Scott County Juvenile Detention Center","9"
