"company_name","form_numbers","effective_date","approved","type_of_product","proposed","increase"
"American Republic Ins. Co. -- formerly World Ins. Co.","A3601-A3606","2005-11-01T00:00:00.000","Yes","Major Medical","0.15","0.035"
"Philadelphia American Life Insurance Company","Hospital Indemnity - Form H-0214 -- the carrier requested that the filing be withdrawn during the course of the review.","2021-10-12T00:00:00.000","*withdrawn*","Hospital Indemnity","0.066","0.0"
"Wellmark Health Plan of Iowa","All ACA individual products","2022-01-01T00:00:00.000","Yes","ACA Individual","0.111","0.111"
"National Foundation Life Insurance Company","HC-Shell, NN100","2005-12-01T00:00:00.000","Yes","Hospital Surgical","0.12","0.09"
"Medica Insurance Company","All ACA individual products -- the actual increase is 0.09% (just under 1/10 of 1%), however, we're recording this as 0% to avoid confusion with 9%.  It is CLOSE to a 0% increase.","2022-01-01T00:00:00.000","Yes","ACA Individual","0.0","0.0"
"Golden Rule Insurance Company","Association Group | 
NGF_Transitional | Pre-ACA |
FACT Generation 1-27 -- IID negotiated the increase from 25.00% down to 9.5% based on several concerns","2022-01-01T00:00:00.000","Yes","Major Medical","0.25","0.095"
"Wellmark Health Plan of Iowa","pre-ACA individual products","2022-01-01T00:00:00.000","Yes","Major Medical","0.1","0.1"
"Wellmark Blue Cross Blue Shield of Iowa","Wellmark pre-ACA Pools III, IV, V, Blue Transitions, Farm Bureau Pools I, II, III, IV, V, and other misc pools.  (5.9% on Direct Pay,  3.6% on Farm Bureau Pools and 3.6% for the 513C basic and standard plans","2022-01-01T00:00:00.000","Yes","Major Medical","0.047","0.047"
"Oscar Insurance Company","All ACA individual products","2022-01-01T00:00:00.000","Yes","ACA Individual","-0.091","-0.091"
"American National Life Insurance Company of Texas","ANL-2003-CN -- Revised rates for association certificate ANL-2003-CN (Approved October 23, 2003) No approval authority on association products",,"Yes","Hospital Surgical",,
"Philadelphia American Life Insurance Company","Hospital Indemnity - Form H-0224.IA et al","2021-06-01T00:00:00.000","Yes","Hospital Indemnity","0.101","0.101"
"Freedom Life Insurance Company of America","Grandfathered + NGF Transitional_Association | HDHP-06 | GF AG Ind Maj Med","2022-01-01T00:00:00.000","Yes","Major Medical","0.054","0.054"
"Guardian Life Insurance Company of America (The)","Group Hospital Indenmity -- policy form GP-1-HI-15 -- CERT GC-HI-15","2021-05-01T00:00:00.000","Yes","Group Hospital Indemnity","-0.046","-0.046"
"American National Insurance Company","KMMT, KMM92, KM95, et al -- IID negotiated the increase from 6.00% down to 0.00% based on several concerns","2021-02-23T00:00:00.000","Yes","Hospital Surgical","0.06","0.0"
