"company_name","form_numbers","effective_date","approved","type_of_product","proposed","increase"
"Wellmark Blue Cross Blue Shield of Iowa","Rate filing proposal applies to all pre-ACA compliant SG grandfathered and transitional business with effective renewal dates of 10/01/2022, 11/01/2022 and 12/01/2022","2022-10-01T00:00:00.000","Yes","Small Group","0.08","0.08"
"Wellmark Health Plan of Iowa","Rate filing proposal applies to all pre-ACA compliant SG grandfathered and transitional business with effective renewal dates of 10/01/2022, 11/01/2022 and 12/01/2022","2022-10-01T00:00:00.000","Yes","Small Group","0.05","0.05"
"Wellmark Blue Cross Blue Shield of Iowa","Rate filing proposal applies to all pre-ACA compliant SG grandfathered and transitional business with effective renewal dates of 7/01/2022, 8/01/2022 and 9/01/2022","2022-07-01T00:00:00.000","Yes","Small Group","0.08","0.08"
"Wellmark Health Plan of Iowa","Rate filing proposal applies to all pre-ACA compliant SG grandfathered and transitional business with effective renewal dates of 7/01/2022, 8/01/2022 and 9/01/2022","2022-07-01T00:00:00.000","Yes","Small Group","0.05","0.05"
"Wellmark Blue Cross Blue Shield of Iowa","Rate filing proposal applies to all pre-ACA compliant SG grandfathered and transitional business with effective renewal dates of 4/01/2022, 5/01/2022 and 6/01/2022","2022-04-01T00:00:00.000","Yes","Small Group","0.08","0.08"
"Wellmark Health Plan of Iowa","Rate filing proposal applies to all pre-ACA compliant SG grandfathered and transitional business with effective renewal dates of 4/01/2022, 5/01/2022 and 6/01/2022","2022-04-01T00:00:00.000","Yes","Small Group","0.06","0.06"
"UnitedHealthcare Insurance Company","Small Group -- Grandfathered + Transitional business only","2022-01-01T00:00:00.000","Yes","Small Group","0.062","0.062"
"UnitedHealthcare Plan of the River Valley, Inc.","Small Group -- Grandfathered + Transitional business only -- IID negotiated the increase from 3.7% down to 2.5% based on several concerns","2022-01-01T00:00:00.000","Yes","Small Group","0.037","0.025"
"Medical Associates Health Plans","Small Group | non-GF and transitional rate filing effective 1-1-2022","2022-01-01T00:00:00.000","Yes","Small Group","-0.027","-0.027"
"Avera Health Plans","Small Group Block of Business (Grandfathered business only)","2022-01-01T00:00:00.000","Yes","Small Group","0.05","0.05"
"Avera Health Plans","All ACA small group products","2022-01-01T00:00:00.000","Yes","ACA Small Group","-0.011","-0.011"
"Medica Insurance Company","All ACA individual products -- the rate change is approximately -2/3 of 1%.","2022-01-01T00:00:00.000","Yes","ACA Small Group","-0.007","-0.007"
"UnitedHealthcare Insurance Company","All ACA small group products","2022-01-01T00:00:00.000","Yes","ACA Small Group","0.119","0.119"
"Quartz Health Plan Corporation","All ACA small group products","2022-01-01T00:00:00.000","Yes","ACA Small Group","-0.014","-0.014"
"UnitedHealthcare Plan of the River Valley","All ACA small group products -- IID negotiated the increase from 12.50% down to 8.20% based on several concerns","2022-01-01T00:00:00.000","Yes","ACA Small Group","0.125","0.082"
"Aetna Health of Iowa","All ACA small group products","2022-01-01T00:00:00.000","Yes","ACA Small Group","-0.037","-0.037"
"Wellmark Blue Cross Blue Shield of Iowa","All ACA small group products","2022-01-01T00:00:00.000","Yes","ACA Small Group","0.017","0.017"
"Aetna Life Insurance Company","All ACA small group products","2022-01-01T00:00:00.000","Yes","ACA Small Group","-0.024","-0.024"
"Wellmark Health Plan of Iowa","All ACA small group products","2022-01-01T00:00:00.000","Yes","ACA Small Group","0.014","0.014"
"Health Alliance Midwest","All ACA small group products","2022-01-01T00:00:00.000","Yes","ACA Small Group","0.081","0.081"
"Sanford Health Plan","All ACA small group products","2022-01-01T00:00:00.000","Yes","ACA Small Group","0.038","0.038"
"Medical Associates Health Plans","All ACA small group products -- Note -- the actual increase is 0.27%, i.e., 1/4 of 1%.  However, we are recording this as 0% to avoid confusion with 27%.","2022-01-01T00:00:00.000","Yes","ACA Small Group","0.0","0.0"
"HealthPartners UnityPoint Health, Inc.","All ACA small group products -- these are new products from a new insurance company into the market for the 1st time in 2022","2022-01-01T00:00:00.000","Yes","ACA Small Group","0.0","0.0"
"Wellmark Health Plan of Iowa","Rate filing proposal applies to all pre-ACA compliant SG grandfathered and transitional business with effective renewal dates of 1/01/2022, 2/01/2022 and 3/01/2022","2022-01-01T00:00:00.000","Yes","Small Group","0.08","0.08"
