"geography_id","type","name","variable","variable_description","data_collection_period","date","sex","age","employment_status","value","location","row_id"
"0400000US19","state","Iowa","B23001_018E","Male - 22 to 24 years - In labor force","2009-2013","2013-12-31T00:00:00.000","Male","22 to 24 years","Labor Force","54093.0","POINT (-93.4933473 42.0700243)","0400000US19-2013-B23001_018E"
"0400000US19","state","Iowa","B23001_024E","Male - 25 to 29 years","2013-2017","2017-12-31T00:00:00.000","Male","25 to 29 years","All Employment Statuses","98591.0","POINT (-93.4933473 42.0700243)","0400000US19-2017-B23001_024E"
"0400000US19","state","Iowa","B23001_074E","Male - 65 to 69 years - In labor force","2010-2014","2014-12-31T00:00:00.000","Male","65 to 69 years","Civilian Labor Force","24889.0","POINT (-93.4933473 42.0700243)","0400000US19-2014-B23001_074E"
"0400000US19","state","Iowa","B23001_078E","Male - 70 to 74 years","2015-2019","2019-12-31T00:00:00.000","Male","70 to 74 years","All Employment Statuses","58035.0","POINT (-93.4933473 42.0700243)","0400000US19-2019-B23001_078E"
"0400000US19","state","Iowa","B23001_046E","Male - 45 to 54 years - In labor force","2016-2020","2020-12-31T00:00:00.000","Male","45 to 54 years","Labor Force","166957.0","POINT (-93.4933473 42.0700243)","0400000US19-2020-B23001_046E"
"0400000US19","state","Iowa","B23001_102E","Female - 20 and 21 years - Not in labor force","2008-2012","2012-12-31T00:00:00.000","Female","20 and 21 years","Not in Labor Force","9203.0","POINT (-93.4933473 42.0700243)","0400000US19-2012-B23001_102E"
"0400000US19","state","Iowa","B23001_111E","Female - 25 to 29 years - In labor force","2010-2014","2014-12-31T00:00:00.000","Female","25 to 29 years","Labor Force","79569.0","POINT (-93.4933473 42.0700243)","0400000US19-2014-B23001_111E"
"0400000US19","state","Iowa","B23001_088E","Female","2012-2016","2016-12-31T00:00:00.000","Female","All Age Groups","All Employment Statuses","1247432.0","POINT (-93.4933473 42.0700243)","0400000US19-2016-B23001_088E"
"0400000US19","state","Iowa","B23001_145E","Female - 60 and 61 years","2011-2015","2015-12-31T00:00:00.000","Female","60 and 61 years","All Employment Statuses","41312.0","POINT (-93.4933473 42.0700243)","0400000US19-2015-B23001_145E"
"0500000US19149","county","Plymouth County, Iowa","B23001_002E","Male","2008-2012","2012-12-31T00:00:00.000","Male","All Age Groups","All Employment Statuses","9479.0","POINT (-96.215864 42.737585)","0500000US19149-2012-B23001_002E"
