"event_event_name","division","event_record_type","dca_event_date","zip_code","event_county","number_of_adults","number_of_students","final_attendance","event_type","activity","fiscal_year","fips_county_code","primary_lat_dec","primary_long_dec","county_primary_point"
"History on the Move: Spring Break 2017","Museum","History Activity","2017-03-11T00:00:00.000","50319","Polk","60","25","85","Exhibit Activity","History on the Move (Public)","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"First In the Nation Traveling Display","Museum","History Activity","2016-06-07T00:00:00.000","50122","Poweshiek","200","0","200","Exhibit Activity","Mobile Exhibit","2016","19157","41.6864422","-92.5314684","POINT (-92.53146840000001 41.6864422)"
"First In the Nation Traveling Display","Museum","History Activity","2016-07-13T00:00:00.000","50309","Polk","1200","0","1200","Exhibit Activity","Mobile Exhibit","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"History on the Move: Ames","Museum","History Activity","2017-03-27T00:00:00.000","50011","Story","281","0","281","Exhibit Activity","History on the Move (Public)","2017","19169","42.0362415","-93.4650448","POINT (-93.4650448 42.0362415)"
"History on the Move: Davenport","Museum","History Activity","2017-06-07T00:00:00.000","52801","Scott","140","107","247","Exhibit Activity","History on the Move (Public)","2017","19163","41.6370978","-90.6232428","POINT (-90.6232428 41.6370978)"
"First In the Nation Traveling Display","Museum","History Activity","2015-11-05T00:00:00.000","52242","Johnson","204","0","204","Exhibit Activity","Mobile Exhibit","2016","19103","41.6715511","-91.5880849","POINT (-91.5880849 41.6715511)"
"First In the Nation Traveling Display","Museum","History Activity","2015-11-18T00:00:00.000","52240","Johnson","81","0","81","Exhibit Activity","Mobile Exhibit","2016","19103","41.6715511","-91.5880849","POINT (-91.5880849 41.6715511)"
"First In the Nation Traveling Display","Museum","History Activity","2015-10-24T00:00:00.000","50311","Polk","60","0","60","Exhibit Activity","Mobile Exhibit","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"History on the Move: Fairfield","Museum","History Activity","2017-05-15T00:00:00.000","52556","Jefferson","10","517","527","Exhibit Activity","History on the Move (School)","2017","19101","41.0317596","-91.9488774","POINT (-91.9488774 41.0317596)"
"History on the Move: Johnston","Museum","History Activity","2017-05-06T00:00:00.000","50131","Polk","252","253","505","Exhibit Activity","History on the Move (Public)","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"History on the Move: Windsor Heights","Museum","History Activity","2017-05-01T00:00:00.000","50324","Polk","31","273","304","Exhibit Activity","History on the Move (School)","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Hands-on History Exhibition Preview","Museum","History Activity","2016-12-07T00:00:00.000","50319","Polk","20","40","60","Exhibit Activity",,"2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"History on the Move: Ames","Museum","History Activity","2017-03-28T00:00:00.000","50011","Story","220","14","234","Exhibit Activity","History on the Move (Public)","2017","19169","42.0362415","-93.4650448","POINT (-93.4650448 42.0362415)"
"History on the Move: Des Moines","Museum","History Activity","2017-05-08T00:00:00.000","50309","Polk","26","37","63","Exhibit Activity","History on the Move (Public)","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"First In the Nation Traveling Display","Museum","History Activity","2016-10-20T00:00:00.000","50011","Story","20629","0","20629","Exhibit Activity","Mobile Exhibit","2017","19169","42.0362415","-93.4650448","POINT (-93.4650448 42.0362415)"
"History on the Move: Davenport","Museum","History Activity","2017-05-31T00:00:00.000","52804","Scott","333","111","444","Exhibit Activity","History on the Move (Public)","2017","19163","41.6370978","-90.6232428","POINT (-90.6232428 41.6370978)"
"History on the Move: Slater","Museum","History Activity","2017-05-04T00:00:00.000","50244","Story","12","142","154","Exhibit Activity","History on the Move (School)","2017","19169","42.0362415","-93.4650448","POINT (-93.4650448 42.0362415)"
"History on the Move: Urbandale","Museum","History Activity","2017-04-27T00:00:00.000","50323","Polk","12","147","159","Exhibit Activity","History on the Move (School)","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
