"budget_line_code","fiscal_year","function","dept_name","fund","appropriation","budget_unit_code","budget_unit","object_class","gov_recommendation","dept_request","adopted_budget"
"2010-0001-0819-6250819-05A","2010","Administration and Regulation","Revenue, Department of","0001 - General Fund","0819 - Livestock Producers Credit","6250819","Livestock Producers Credit","05A - Appropriation","0","2000000","0"
"2010-0001-0872-6252003-05A","2010","Administration and Regulation","Revenue, Department of","0001 - General Fund","0872 - Printing Cigarette Stamps","6252003","Printing Cigarette Stamps","05A - Appropriation","138502","152500","138502"
"2010-0001-0T01-625AC00-05A","2010","Administration and Regulation","Revenue, Department of","0001 - General Fund","0T01 - Revenue, Department of","625AC00","Compliance","05A - Appropriation","9125546","9125546","8846162"
"2010-0001-0T01-625CE00-05A","2010","Administration and Regulation","Revenue, Department of","0001 - General Fund","0T01 - Revenue, Department of","625CE00","Collection Enterprise","05A - Appropriation","-968959","0","0"
"2010-0001-0T01-625FM00-05A","2010","Administration and Regulation","Revenue, Department of","0001 - General Fund","0T01 - Revenue, Department of","625FM00","Revenue Operations Division","05A - Appropriation","6039282","6039282","5333680"
"2010-0001-0T01-625IR00-05A","2010","Administration and Regulation","Revenue, Department of","0001 - General Fund","0T01 - Revenue, Department of","625IR00","Internal Services Division","05A - Appropriation","2432972","2432972","2453201"
"2010-0001-0T01-625PP00-05A","2010","Administration and Regulation","Revenue, Department of","0001 - General Fund","0T01 - Revenue, Department of","625PP00","Property Tax Division","05A - Appropriation","2919690","2919690","2904463"
"2010-0001-0T01-625TM00-05A","2010","Administration and Regulation","Revenue, Department of","0001 - General Fund","0T01 - Revenue, Department of","625TM00","Tech & Info Mgmt Division","05A - Appropriation","3460161","3460161","2569595"
"2010-0001-0T01-625TP00-05A","2010","Administration and Regulation","Revenue, Department of","0001 - General Fund","0T01 - Revenue, Department of","625TP00","TaxPayer Services & Policy","05A - Appropriation","3323604","3323604","3147587"
"2010-0001-0T04-625T040-05A","2010","Administration and Regulation","Revenue, Department of","0001 - General Fund","0T04 - Tobacco Reporting Requirements","625T040","Tobacco Reporting Requirements","05A - Appropriation","22705","25000","21768"
"2010-0017-0T10-6250T10-05A","2010","Administration and Regulation","Revenue, Department of","0017 - Rebuild Iowa Infrastructure Fund","0T10 - SAVE Appropriation","6250T10","SAVE Appropriation","05A - Appropriation","10000000","10000000","10000000"
"2010-0469-0T11-6250T11-05A","2010","Administration and Regulation","Revenue, Department of","0469 - Property Tax Credit Fund","0T11 - Homestead Property Tax Credit - PTCF","6250T11","Property Tax Credit - PTCF","05A - Appropriation","49348103","99254781","100658781"
"2010-0469-0T12-6250T12-05A","2010","Administration and Regulation","Revenue, Department of","0469 - Property Tax Credit Fund","0T12 - Agricultural Land and Family Farm Tax Credits - PTCF","6250T12","Ag Land and Family Farm - PTCF","05A - Appropriation","34610183","34610183","34610183"
"2010-0469-0T13-6250T13-05A","2010","Administration and Regulation","Revenue, Department of","0469 - Property Tax Credit Fund","0T13 - Military Service Tax Credit - PTCF","6250T13","Military Tax Credit - PTCF","05A - Appropriation","2800000","2800000","2400000"
"2010-0469-0T14-6250T14-05A","2010","Administration and Regulation","Revenue, Department of","0469 - Property Tax Credit Fund","0T14 - Elderly and Disabled Tax Credit and Reimbursement - PTCF","6250T14","Elderly & Disabled Tax Credit - PTCF","05A - Appropriation","23204000","23204000","22200000"
"2010-0867-0593-6252024-05A","2010","Administration and Regulation","Revenue, Department of","0867 - MVFT-Unapportioned","0593 - Motor Veh Fuel Tx-Admin Approp","6252024","Motor Veh Fuel Tx-Admin Approp","05A - Appropriation","1305775","1305775","1305775"
"2011-0001-0872-6252003-05A","2011","Administration and Regulation","Revenue, Department of","0001 - General Fund","0872 - Printing Cigarette Stamps","6252003","Printing Cigarette Stamps","05A - Appropriation","124652","138502","124652"
"2011-0001-0T01-625AC00-05A","2011","Administration and Regulation","Revenue, Department of","0001 - General Fund","0T01 - Revenue, Department of","625AC00","Compliance","05A - Appropriation","6367141","8892610","5910368"
"2011-0001-0T01-625FM00-05A","2011","Administration and Regulation","Revenue, Department of","0001 - General Fund","0T01 - Revenue, Department of","625FM00","Revenue Operations Division","05A - Appropriation","5354171","5354171","4737213"
"2011-0001-0T01-625IR00-05A","2011","Administration and Regulation","Revenue, Department of","0001 - General Fund","0T01 - Revenue, Department of","625IR00","Internal Services Division","05A - Appropriation","2445267","2445267","2270869"
"2011-0001-0T01-625PP00-05A","2011","Administration and Regulation","Revenue, Department of","0001 - General Fund","0T01 - Revenue, Department of","625PP00","Property Tax Division","05A - Appropriation","2873411","2873411","2660919"
"2011-0001-0T01-625TM00-05A","2011","Administration and Regulation","Revenue, Department of","0001 - General Fund","0T01 - Revenue, Department of","625TM00","Tech & Info Mgmt Division","05A - Appropriation","2535783","2535783","4800998"
"2011-0001-0T01-625TP00-05A","2011","Administration and Regulation","Revenue, Department of","0001 - General Fund","0T01 - Revenue, Department of","625TP00","TaxPayer Services & Policy","05A - Appropriation","3153446","3153446","2348852"
"2011-0001-0T04-625T040-05A","2011","Administration and Regulation","Revenue, Department of","0001 - General Fund","0T04 - Tobacco Reporting Requirements","625T040","Tobacco Reporting Requirements","05A - Appropriation","19591","21768","19591"
"2011-0001-0T16-625EX16-05A","2011","Administration and Regulation","Revenue, Department of","0001 - General Fund","0T16 - Revenue Examiners","625EX16","Revenue Examiners","05A - Appropriation","0","0","325000"
"2011-0017-0T10-6250T10-05A","2011","Administration and Regulation","Revenue, Department of","0017 - Rebuild Iowa Infrastructure Fund","0T10 - SAVE Appropriation","6250T10","SAVE Appropriation","05A - Appropriation","0","10000000","0"
"2011-0469-0T11-6250T11-05A","2011","Administration and Regulation","Revenue, Department of","0469 - Property Tax Credit Fund","0T11 - Homestead Property Tax Credit - PTCF","6250T11","Property Tax Credit - PTCF","05A - Appropriation","90407718","100658781","87757913"
"2011-0469-0T12-6250T12-05A","2011","Administration and Regulation","Revenue, Department of","0469 - Property Tax Credit Fund","0T12 - Agricultural Land and Family Farm Tax Credits - PTCF","6250T12","Ag Land and Family Farm - PTCF","05A - Appropriation","32395131","34610183","32395131"
"2011-0469-0T13-6250T13-05A","2011","Administration and Regulation","Revenue, Department of","0469 - Property Tax Credit Fund","0T13 - Military Service Tax Credit - PTCF","6250T13","Military Tax Credit - PTCF","05A - Appropriation","2370995","2400000","2400000"
"2011-0469-0T14-6250T14-05A","2011","Administration and Regulation","Revenue, Department of","0469 - Property Tax Credit Fund","0T14 - Elderly and Disabled Tax Credit and Reimbursement - PTCF","6250T14","Elderly & Disabled Tax Credit - PTCF","05A - Appropriation","20779200","22200000","23400000"
"2011-0867-0593-6252024-05A","2011","Administration and Regulation","Revenue, Department of","0867 - MVFT-Unapportioned","0593 - Motor Veh Fuel Tx-Admin Approp","6252024","Motor Veh Fuel Tx-Admin Approp","05A - Appropriation","1305775","1305775","1305775"
"2012-0001-0818-6250011-05A","2012","Administration and Regulation","Revenue, Department of","0001 - General Fund","0818 - Ag Land Tax Credit Compt","6250011","Ag Land Tax Credit","05A - Appropriation","32395131","0","32395131"
"2012-0001-0872-6252003-05A","2012","Administration and Regulation","Revenue, Department of","0001 - General Fund","0872 - Printing Cigarette Stamps","6252003","Printing Cigarette Stamps","05A - Appropriation","124652","124652","124652"
"2012-0001-0877-6252008-05A","2012","Administration and Regulation","Revenue, Department of","0001 - General Fund","0877 - Homestead Tax Credit Aid","6252008","Homestead Tax Credit Aid","05A - Appropriation","87745387","0","86188387"
"2012-0001-0880-6252011-05A","2012","Administration and Regulation","Revenue, Department of","0001 - General Fund","0880 - Elderly & Disabled Property Tax Credit","6252011","Elderly & Disabled Prop Tax Cr","05A - Appropriation","23400000","0","24957000"
"2012-0001-0929-6258802-05A","2012","Administration and Regulation","Revenue, Department of","0001 - General Fund","0929 - Military Service Tax Refunds","6258802","Military Serv Tax Refunds","05A - Appropriation","2400000","0","2400000"
"2012-0001-0T01-625AC00-05A","2012","Administration and Regulation","Revenue, Department of","0001 - General Fund","0T01 - Revenue, Department of","625AC00","Compliance","05A - Appropriation","6175177","6175177","0"
"2012-0001-0T01-625FM00-05A","2012","Administration and Regulation","Revenue, Department of","0001 - General Fund","0T01 - Revenue, Department of","625FM00","Revenue Operations Division","05A - Appropriation","746210","4850171","17659484"
"2012-0001-0T01-625IR00-05A","2012","Administration and Regulation","Revenue, Department of","0001 - General Fund","0T01 - Revenue, Department of","625IR00","Internal Services Division","05A - Appropriation","2291908","2291908","0"
