"plan_id","insurance_company","plan_name","age","rating_area","metal_level","market_place","non_tobacco_premium","tobacco_premium","counties","rating_area_centroid"
"93078IA0010011","Medica Insurance Company","Medica Insure Bronze HSA","34","Rating Area 2","Bronze","On","561.74","612.30","Dallas, Jasper, Madison, Marion, Polk, Warren","POINT (-93.54 41.52)"
"93078IA0010005","Medica Insurance Company","Medica Insure Bronze Copay","25","Rating Area 2","Bronze","On","484.63","528.24","Dallas, Jasper, Madison, Marion, Polk, Warren","POINT (-93.54 41.52)"
"93078IA0010023","Medica Insurance Company","Medica Insure Bronze HSA Plus","46","Rating Area 2","Bronze","On","734.68","800.81","Dallas, Jasper, Madison, Marion, Polk, Warren","POINT (-93.54 41.52)"
"93078IA0030019","Medica Insurance Company","Inspire by Medica Gold Copay Plus","28","Rating Area 7","Gold","On","644.48","702.48","Allamakee, Bremer, Butler, Cerro Gordo, Chickasaw, Emmet, Fayette, Floyd, Franklin, Hancock, Howard, Humboldt, Kossuth, Mitchell, Winnebago, Winneshiek, Worth, Wright","POINT (-92.99 43.08)"
"93078IA0030013","Medica Insurance Company","Inspire by Medica Catastrophic","41","Rating Area 1","Catastrophic","On","411.92","448.99","Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","POINT (-93.6 42.16)"
"93078IA0010005","Medica Insurance Company","Medica Insure Bronze Copay","25","Rating Area 5","Bronze","On","505.83","551.35","Appanoose, Davis, Des Moines, Henry, Jefferson, Keokuk, Lee, Louisa, Lucas, Mahaska, Monroe, Muscatine, Van Buren, Wapello, Washington, Wayne","POINT (-92.16 41.03000000000001)"
"93078IA0030013","Medica Insurance Company","Inspire by Medica Catastrophic","41","Rating Area 7","Catastrophic","On","416.94","454.46","Allamakee, Bremer, Butler, Cerro Gordo, Chickasaw, Emmet, Fayette, Floyd, Franklin, Hancock, Howard, Humboldt, Kossuth, Mitchell, Winnebago, Winneshiek, Worth, Wright","POINT (-92.99 43.08)"
"93078IA0030003","Medica Insurance Company","Inspire by Medica Silver Copay","60","Rating Area 6","Silver","On","1491.81","1626.07","Benton, Black Hawk, Buchanan, Cedar, Clayton, Clinton, Delaware, Dubuque, Iowa, Jackson, Johnson, Jones, Linn, Scott","POINT (-91.37 42.15)"
"93078IA0010003","Medica Insurance Company","Medica Insure Silver Copay","62","Rating Area 3","Silver","On","1631.86","1778.73","Buena Vista, Cherokee, Clay, Crawford, Dickinson, Ida, Lyon, Monona, OBrien, Osceola, Palo Alto, Plymouth, Pocahontas, Sac, Sioux, Woodbury","POINT (-95.58 42.47)"
"93078IA0010005","Medica Insurance Company","Medica Insure Bronze Copay","22","Rating Area 3","Bronze","On","480.68","523.95","Buena Vista, Cherokee, Clay, Crawford, Dickinson, Ida, Lyon, Monona, OBrien, Osceola, Palo Alto, Plymouth, Pocahontas, Sac, Sioux, Woodbury","POINT (-95.58 42.47)"
