"federal_fiscal_year","case_id","gender","minority","hispanic","age_group","age_at_application","referral_source","veteran","closure_reason_description","employment_status_description","soc_code","occupational_title","closure_hours_worked_per_week","closure_weekly_earnings","hourly_wage","monthly_earnings","annual_earnings"
"2012","708","Male","Minority","Hispanic-No","Transition","17","Other sources","No","Achieved employment outcome","Employment without Supports","25-2043.00","Customer service Representative","20","165","8.25","660.00","8580.00"
"2012","708","Male","Minority","Hispanic-No","Transition","17","Other sources","No","Achieved employment outcome","Employment without Supports","27-1014.00","Customer service Representative","20","165","8.25","660.00","8580.00"
"2012","2819","Male","Non-Minority","Hispanic-No","Non-Transition","36","Self-referral","NO","Achieved employment outcome","Homemaker","599999","Homemaker","0","0","0.00","0.00","0.00"
"2012","708","Male","Minority","Hispanic-No","Transition","17","Other sources","No","Achieved employment outcome","Employment without Supports","43-4051.00","Customer service Representative","20","165","8.25","660.00","8580.00"
"2012","882","Female","Non-Minority","Hispanic","Transition","18","Education Elementary/Secondary","No","Achieved employment outcome","Employment without Supports","0","Administrative Assistant","40","600","15.00","2400.00","31200.00"
"2012","882","Female","Non-Minority","Hispanic","Transition","18","Education Elementary/Secondary","No","Achieved employment outcome","Employment without Supports","21-2010.00","Administrative Assistant","40","600","15.00","2400.00","31200.00"
"2012","882","Female","Non-Minority","Hispanic","Transition","18","Education Elementary/Secondary","No","Achieved employment outcome","Employment without Supports","27-3091.00","Administrative Assistant","40","600","15.00","2400.00","31200.00"
"2012","882","Female","Non-Minority","Hispanic","Transition","18","Education Elementary/Secondary","No","Achieved employment outcome","Employment without Supports","43-6011.00","Administrative Assistant","40","600","15.00","2400.00","31200.00"
"2012","882","Female","Non-Minority","Hispanic","Transition","18","Education Elementary/Secondary","No","Achieved employment outcome","Employment without Supports","43-9061.00","Administrative Assistant","40","600","15.00","2400.00","31200.00"
"2012","1371","Male","Non-Minority","Hispanic-No","Transition","16","Self-referral","No","Achieved employment outcome","Homemaker","0","Homemaker","0","0","0.00","0.00","0.00"
"2012","1371","Male","Non-Minority","Hispanic-No","Transition","16","Self-referral","No","Achieved employment outcome","Homemaker","27-3011.00","Homemaker","0","0","0.00","0.00","0.00"
"2012","1371","Male","Non-Minority","Hispanic-No","Transition","16","Self-referral","No","Achieved employment outcome","Homemaker","599999","Homemaker","0","0","0.00","0.00","0.00"
"2012","1406","Female","Non-Minority","Hispanic-No","Transition","17","Education Elementary/Secondary","No","Achieved employment outcome","Employment without Supports","29-2056.00","Veterinary Technician","36","432","12.00","1728.00","22464.00"
"2012","1689","Male","Non-Minority","Hispanic-No","Transition","23","Self-referral","No","Achieved employment outcome","Employment without Supports","0","Computer Programmer","40","1240","31.00","4960.00","64480.00"
"2012","1689","Male","Non-Minority","Hispanic-No","Transition","23","Self-referral","No","Achieved employment outcome","Employment without Supports","15-1021.00","Computer Programmer","40","1240","31.00","4960.00","64480.00"
"2012","1689","Male","Non-Minority","Hispanic-No","Transition","23","Self-referral","No","Achieved employment outcome","Employment without Supports","15-2011.00","Computer Programmer","40","1240","31.00","4960.00","64480.00"
