"budget_line_code","fiscal_year","function","dept_name","fund","appropriation","budget_unit_code","budget_unit","object_class","gov_recommendation","dept_request","adopted_budget"
"2010-0001-0830-5880830-05A","2010","Human Services","Public Health, Department of","0001 - General Fund","0830 - Iowa Registry for Congenital & Inherited Disorders","5880830","Birth Defects Instit Registry","05A - Appropriation","196666","200000","182044"
"2010-0001-0K01-5880100-05A","2010","Human Services","Public Health, Department of","0001 - General Fund","0K01 - Addictive Disorders","5880100","Addictive Disorders Treatment","05A - Appropriation","18266169","14836629","16119194"
"2010-0001-0K01-5880150-05A","2010","Human Services","Public Health, Department of","0001 - General Fund","0K01 - Addictive Disorders","5880150","Addictive Disorders Prevention","05A - Appropriation","1512991","1515210","1858903"
"2010-0001-0K01-5880200-05A","2010","Human Services","Public Health, Department of","0001 - General Fund","0K01 - Addictive Disorders","5880200","Other Add. Disorders Services","05A - Appropriation","14465064","8508575","10674403"
"2010-0001-0K05-5880500-05A","2010","Human Services","Public Health, Department of","0001 - General Fund","0K05 - Healthy Children and Families","5880500","Child Health Services","05A - Appropriation","864881","936036","840799"
"2010-0001-0K05-5880550-05A","2010","Human Services","Public Health, Department of","0001 - General Fund","0K05 - Healthy Children and Families","5880550","Child Enabling Services","05A - Appropriation","1210021","1210021","1069780"
"2010-0001-0K05-5880600-05A","2010","Human Services","Public Health, Department of","0001 - General Fund","0K05 - Healthy Children and Families","5880600","Child Population Based","05A - Appropriation","380500","0","0"
"2010-0001-0K05-5880650-05A","2010","Human Services","Public Health, Department of","0001 - General Fund","0K05 - Healthy Children and Families","5880650","Child Infrastructure Bldg","05A - Appropriation","471960","342264","338588"
"2010-0001-0K07-5880700-05A","2010","Human Services","Public Health, Department of","0001 - General Fund","0K07 - Chronic Conditions","5880700","Client Services","05A - Appropriation","3085101","2060857","1938837"
"2010-0001-0K07-5880850-05A","2010","Human Services","Public Health, Department of","0001 - General Fund","0K07 - Chronic Conditions","5880850","Chronic Conditions Infrastructure Building","05A - Appropriation","817481","927517","817399"
"2010-0001-0K09-5880900-05A","2010","Human Services","Public Health, Department of","0001 - General Fund","0K09 - Community Capacity","5880900","Primary Health Systems","05A - Appropriation","762164","540598","622506"
"2010-0001-0K09-5880950-05A","2010","Human Services","Public Health, Department of","0001 - General Fund","0K09 - Community Capacity","5880950","Community Capacity Building","05A - Appropriation","5405610","4659822","3494341"
"2010-0001-0K09-588CC09-05A","2010","Human Services","Public Health, Department of","0001 - General Fund","0K09 - Community Capacity","588CC09","Community Capacity","05A - Appropriation","1154719","0","0"
"2010-0001-0K11-5881100-05A","2010","Human Services","Public Health, Department of","0001 - General Fund","0K11 - Elderly Wellness","5881100","Elderly Wellness","05A - Appropriation","9095475","9233985","8345779"
"2010-0001-0K13-5881300-05A","2010","Human Services","Public Health, Department of","0001 - General Fund","0K13 - Environmental Hazards","5881300","Health Assessment","05A - Appropriation","349699","363986","344413"
"2010-0001-0K13-5881350-05A","2010","Human Services","Public Health, Department of","0001 - General Fund","0K13 - Environmental Hazards","5881350","Lead","05A - Appropriation","749196","749196","655978"
"2010-0001-0K15-5881500-05A","2010","Human Services","Public Health, Department of","0001 - General Fund","0K15 - Infectious Diseases","5881500","Epidemiology","05A - Appropriation","530167","565850","493880"
"2010-0001-0K15-5881520-05A","2010","Human Services","Public Health, Department of","0001 - General Fund","0K15 - Infectious Diseases","5881520","Immunizations","05A - Appropriation","1023683","1023683","893482"
"2010-0001-0K15-5881540-05A","2010","Human Services","Public Health, Department of","0001 - General Fund","0K15 - Infectious Diseases","5881540","Prescription Drugs","05A - Appropriation","145515","145515","127008"
"2010-0001-0K15-5881560-05A","2010","Human Services","Public Health, Department of","0001 - General Fund","0K15 - Infectious Diseases","5881560","STDs/AIDS","05A - Appropriation","68282","68282","59597"
"2010-0001-0K15-5881600-05A","2010","Human Services","Public Health, Department of","0001 - General Fund","0K15 - Infectious Diseases","5881600","Tuberculosis","05A - Appropriation","64956","64956","56694"
"2010-0001-0K19-5881900-05A","2010","Human Services","Public Health, Department of","0001 - General Fund","0K19 - Public Protection","5881900","Environmental Activities","05A - Appropriation","797966","873535","781717"
"2010-0001-0K19-5881930-05A","2010","Human Services","Public Health, Department of","0001 - General Fund","0K19 - Public Protection","5881930","Disaster Preparedness","05A - Appropriation","114061","114061","101015"
"2010-0001-0K19-5881940-05A","2010","Human Services","Public Health, Department of","0001 - General Fund","0K19 - Public Protection","5881940","Emergency Medical Services","05A - Appropriation","1466533","1466533","1304023"
"2010-0001-0K19-5881950-05A","2010","Human Services","Public Health, Department of","0001 - General Fund","0K19 - Public Protection","5881950","State Medical Examiner","05A - Appropriation","1189917","1189917","1053821"
"2010-0001-0K19-5881960-05A","2010","Human Services","Public Health, Department of","0001 - General Fund","0K19 - Public Protection","5881960","Health Care Oversight","05A - Appropriation","371951","371951","329410"
"2010-0001-0K21-5882100-05A","2010","Human Services","Public Health, Department of","0001 - General Fund","0K21 - Resource Management","5882100","Department Director Office","05A - Appropriation","261073","286000","245542"
