"contract_name","county","city","status","program","primary_funding_agreement","award_date","total_project_cost","capital_investment","direct_assistance_awarded","tax_benefits_awarded","projected_jobs_created","projected_jobs_retained","projected_jobs_other","projected_jobs_total","projected_qualifying_wage","contracted_jobs_created","contracted_jobs_retained","contracted_jobs_other_created","contracted_jobs_total","contracted_qualifying_wage","city_location"
"Baker's Pride, Inc.","Des Moines","Burlington","Declined or Rescinded","Targeted Jobs","14-TJ-008","2014-05-16T00:00:00.000","9623000","8538000","0","396500","27","0","35","62","17.09","27","0","35","62","17.09","POINT (-91.101278 40.81059)"
"Pillar Technology Group LLC","Pottawattamie","Council Bluffs","Declined or Rescinded","Targeted Jobs","18-TJ-006","2018-06-22T00:00:00.000","1840000","1840000","0","500248","30","0","0","0","18.18","30","0","0","30","18.18","POINT (-95.85436 41.258963)"
"Thesis Chemistry, LLC","Story","Nevada","Declined or Rescinded","130% Component","12-130-015","2011-11-18T00:00:00.000","62350000","55550000","500000","4771500","61","0","69","130","21.25","61","0","69","130","21.25","POINT (-93.452278 42.019648)"
"100INSIGHTS, Inc. dba FunnelWise","Polk","West Des Moines","Contract Terminated","High Quality Jobs Program","15-HQJDF-053","2015-04-17T00:00:00.000","3385000","140000","150000","0","14","6","0","20","25.52","14","6","0","20","25.52","POINT (-93.713031 41.575505)"
"Scientific Games","Black Hawk","Cedar Falls","Declined or Rescinded","High Quality Jobs Program","16-HQJTC-044","2016-05-20T00:00:00.000","48950625","400000","0","730359","27","0","4","31","16.79","27","0","4","31","16.79","POINT (-92.4534 42.537809)"
"Wright Service Corporation","Polk","West Des Moines","Declined or Rescinded","High Quality Jobs Program","20-HQJTC-012","2019-11-22T00:00:00.000","25413369","23050772","0","661523","3","0","10","13","31.13","13","0","10","13","31.13","POINT (-93.713031 41.575505)"
"Agile Manufacturing, Ltd","Marion","Pella","Contract Terminated","High Quality Jobs Program","17-HQJDF-030","2016-12-16T00:00:00.000","1987000","1790000","90000","57300","9","0","6","15","20.17","9","0","6","15","20.17","POINT (-92.916445 41.408107)"
"Industry People Group, Inc. dba BirdDog HR","Polk","Urbandale","Contract Terminated","High Quality Jobs Program","15-HQJDF-057","2015-05-22T00:00:00.000","3313669","1050000","325000","105000","71","0","0","71","25.52","71","0","0","71","25.52","POINT (-93.736522 41.630343)"
"Global Fiberglass Solutions, Inc.","Jasper","Newton","Contract Terminated","High Quality Jobs Program","18-HQJTC-014","2017-09-22T00:00:00.000","7500000","6150000","0","207500","30","0","27","57","18.12","30","0","27","57","18.12","POINT (-93.043472 41.69558)"
"Davenport, City of (Phoenix Closures)","Scott","Davenport","Declined or Rescinded","Grow Iowa Value Fund Infrastructure Component","11-IFC-003","2011-03-17T00:00:00.000","1650000","1650000","250000","0","0","0","0","0","0.00","0","0","0","0","0","POINT (-90.577036 41.523527)"
