"company_name","company_type","naic_number","iowa_license_number","iowa_domiciled","address1","address2","company_city","company_state","company_zip","telephone","alternate_address1","alternate_address2","alternate_city","alternate_state","alternate_zip","alternate_telephone","business_license_type","ownership_type","fdba","location","alternate_location","stld","stateofdomicile"
"Adair County Mutual Insurance Association","County Mutual","15382","0001","true","168 PUBLIC SQUARE","PO BOX 210","GREENFIELD","IA","50849","641-743-2632",,,,,,,"County Mutual","Mutual",,"POINT (-94.460559 41.30467)",,,"IA"
"GFMutual Insurance Association","State Mutual","15373","0004","true","20 SPRING AVE",,"WAUKON","IA","52172","563-568-3461",,,,,,,"Iowa State Mutual Insurance Association","Mutual","German Farmers Mutual Insurance Association of Allamakee County, German Farmers Mutual Insurance Association","POINT (-91.475841 43.268583)",,,"IA"
"Eden Mutual Insurance Association","State Mutual","15394","0007","true","301 N K AVE",,"VINTON","IA","52349","319-472-2381",,,,,,,"Iowa State Mutual Insurance Association","Mutual",,"POINT (-92.037412 42.172057)",,,"IA"
"Benton Mutual Insurance Association","State Mutual","14910","0009","true","101 MAIN ST",,"KEYSTONE","IA","52249","319-442-3413",,,,,,,"Iowa State Mutual Insurance Association","Mutual","Iowa Township Mutual Fire Insurance Association of Benton County","POINT (-92.198017 41.999279)",,,"IA"
"Black Hawk Mutual Insurance Association","State Mutual","15322","0012","true","353 E ELDORA RD",,"HUDSON","IA","50643","319-988-4101",,,,,,,"Iowa State Mutual Insurance Association","Mutual","Farmers Mutual Insurance Association","POINT (-92.44992 42.409269)",,,"IA"
"Boone Farmers Mutual Insurance Association","County Mutual","15384","0013","true","1500 S STORY ST",,"BOONE","IA","50036","515-432-5167",,,,,,,"County Mutual","Mutual","Farmers Mutual Insurance Association of Boone County","POINT (-93.879615 42.040107)",,,"IA"
"United Mutual Insurance Association","County Mutual","15432","0014","true","200 E 2ND ST","PO BOX 8","MADRID","IA","50156","515-795-3654",,,,,,,"County Mutual","Mutual","Swedish Mutual Insurance Association","POINT (-93.818757 41.875914)",,,"IA"
"Bremer Mutual Insurance Association","State Mutual","15285","0015","true","111 1ST AVE SE","PO BOX 856","WAVERLY","IA","50677","319-352-1863",,,,,,,"Iowa State Mutual Insurance Association","Mutual","Bremer County Mutual Insurance Association, Bremer County Mutual Fire & Lightning  Insurance Association","POINT (-92.468765 42.724795)",,,"IA"
"First Maxfield Mutual Insurance Association","State Mutual","16760","0016","true","801 S STATE ST","PO BOX 385","DENVER","IA","50622","319-984-5255",,,,,,,"Iowa State Mutual Insurance Association","Mutual","First German Mutual Fire Lightning & Storm Association of Maxfield","POINT (-92.337307 42.665543)",,,"IA"
"Members Mutual Insurance Association","State Mutual","15387","0019","true","1711 N LAKE AVE",,"STORM LAKE","IA","50588","712-732-6595",,,,,,,"Iowa State Mutual Insurance Association","Mutual","Buena Vista Mutual Insurance Association, Farmers Fire & Lightning Insurance Association of Buena Vista County","POINT (-95.200723 42.660698)",,,"IA"
"Security Mutual Insurance Association","State Mutual","15371","0020","true","101 CHERRY ST","PO BOX 458","ALLISON","IA","50602","319-267-2035",,,,,,,"Iowa State Mutual Insurance Association","Mutual","Butler County Mutual Insurance Association, Butler County Farmers Mutual F & L Insurance Association","POINT (-92.790457 42.745204)",,,"IA"
