"fdid","fire_dept_name","hq_addr1","hq_addr2","hq_state","hq_city","hq_zip","hq_location","mail_addr1","mail_addr2","mail_po_box","mail_city","mail_state","mail_zip","hq_phone","hq_fax","county","dept_type","organization_type","website","number_stations","active_firefighters_career","active_firefighters_volunteer","active_firefighters_paid_per_call","non_firefighting_civilian","non_firefighting_volunteer","primary_agency_for_em"
"94001","Badger Fire Department","PO Box 136",,"IA","Badger","50516-0136",,,,"PO Box 136","Badger","IA","50516-0136","515-545-3125","515-545-1240","WEBSTER","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","0","25","0","0","0","Yes"
"55006","Ledyard Fire Department","301 Edmunds ST",,"IA","Ledyard","50556","POINT (-94.160926 43.421771)",,,"PO Box 127","Ledyard","IA","50556","000-000-0000",,"KOSSUTH","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","0","14","0","0","0",
"14011","Ralston Fire Department","PO Box 125",,"IA","Ralston","51459-0125",,,,"PO Box 125","Ralston","IA","51459-0125","712-667-3284",,"CARROLL","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","0","17","0","0","0",
"06010","Shellsburg Fire Department","101 Pearl ST SE",,"IA","Shellsburg","52332","POINT (-91.869313 42.094398)",,,"PO Box 242","Shellsburg","IA","52332-0242","319-436-2099","319-436-2993","BENTON","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","0","23","0","0","0",
"55009","Swea City Fire Department","Highway 9",,"IA","Swea City","50590",,,,"PO Box 367","Swea City","IA","50590-0367","515-272-4375",,"KOSSUTH","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","0","24","0","0","0","Yes"
"82002","Blue Grass Fire Department","606 W Mayne ST",,"IA","Blue Grass","52726-9706","POINT (-90.776473 41.509224)","606 W Mayne ST",,,"Blue Grass","IA","52726-9706","563-381-1234","563-381-4652","SCOTT","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","0","24","0","0","0","Yes"
"57017","Springville Fire & Rescue","PO Box 401",,"IA","Springville","52336-0401",,,,"PO Box 401","Springville","IA","52336-0401","319-854-7500",,"LINN","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","0","27","0","0","0","Yes"
"48003","Ladora Volunteer Fire Department","806 Pacific ST",,"IA","Ladora","52251","POINT (-92.183462 41.754883)",,,"PO Box 249","Ladora","IA","52251-0249","319-623-3506","319-623-3505","IOWA","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","0","20","4","0","0","Yes"
"77006","Clive Fire Department","8505 Harbach BLVD",,"IA","Clive","50325-1076","POINT (-93.734472 41.607659)","8505 Harbach BLVD",,,"Clive","IA","50325-1076","515-223-1595","515-223-6457","POLK","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.cityofclive.com/services/public_safety/fire_and_ems/index.php","1","19","0","30","3","3","Yes"
"78002","Carson Volunteer Fire Department","127 Broadway","PO Box 446","IA","Carson","51525-0446",,,,"PO Box 446","Carson","IA","51525-0446","712-484-3698","712-484-3678","POTTAWATTAMIE","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","0","18","0","0","0","No"
