"company_name","company_type","naic_number","iowa_license_number","iowa_domiciled","address1","address2","company_city","company_state","company_zip","telephone","alternate_address1","alternate_city","alternate_state","alternate_zip","alternate_telephone","business_license_type","ownership_type","location","alternate_location"
"Acadia Insurance Company","Property Casualty","31325","3096","true","PO BOX 9010",,"WESTBROOK","ME","04092","800-773-4300","ONE ACADIA COMMONS","WESTBROOK","ME","04092","207-772-4300","Iowa Stock Fire And Casualty Company","Stock",,
"Accordia Life and Annuity Company","Life","62200","3091","true","215 10TH STREET, SUITE 1100",,"DES MOINES","IA","50309","8558874487","4 WORLD TRADE CENTER, 51ST FLOOR","NEW YORK","NY","10007","646-495-7837","Iowa Stock Life - with A & H","Stock","POINT (-93.629336 41.584413)",
"Adair County Mutual Insurance Association","County Mutual","15382","0001","true","168 PUBLIC SQUARE","PO BOX 210","GREENFIELD","IA","50849","641-743-2632",,,,,,"County Mutual","Mutual","POINT (-94.460559 41.30467)",
"Addison Insurance Company","Property Casualty","10324","2581","true","118 2ND AVENUE SE","PO BOX 73909","CEDAR RAPIDS","IA","52407-3909","319-286-2533","118 2ND AVENUE SE","CEDAR RAPIDS","IA","52401","319-286-2537","Iowa Stock Fire And Casualty Company","Stock","POINT (-91.668096 41.977646)","POINT (-91.668096 41.977646)"
"Aetna Health of Iowa Inc.","Health","95241","2324","true","151 FARMINGTON AVENUE, RT21",,"HARTFORD","CT","06156","8008723862","6165 NW 86TH STREET, SUITE 114","JOHNSTON","IA","50131","800-470-6352","Iowa HMO","Stock","POINT (-72.688425 41.768046)","POINT (-93.736439 41.671865)"
"Agri General Insurance Company","Property Casualty","42757","2233","true","9200 NORTHPARK DRIVE, #350",,"JOHNSTON","IA","50131-3007","515-559-1172","9200 NORTHPARK DRIVE, SUITE 350","JOHNSTON","IA","50131","215-640-4555","Iowa Stock Fire And Casualty Company","Stock","POINT (-93.74791 41.655109)","POINT (-93.736876 41.655565)"
"Alliance Mutual Insurance Association","State Mutual","15401","0039","true","830 12TH AVE SW",,"DYERSVILLE","IA","52040","5638750878",,,,,,"Iowa State Mutual Insurance Association","Mutual","POINT (-91.135797 42.474882)",
"Allied Property and Casualty Insurance Company","Property Casualty","42579","2223","true","ONE NATIONWIDE BLVD, FSSC-RR",,"COLUMBUS","OH","43215","800-882-2822","1000 YARD STREET, GH-2D-OCA1, BUILDING H","GRANDVIEW HEIGHTS","OH","43212","1-614-435-0122","Iowa Stock Fire And Casualty Company","Stock",,"POINT (-83.0271 39.980974)"
"AMCO Insurance Company","Property Casualty","19100","1167","true","ONE NATIONWIDE BLVD, FSSC-RR",,"COLUMBUS","OH","43215","800-882-2822","1000 YARD STREET, GH-2D-OCA1, BUILDING H","GRANDVIEW HEIGHTS","OH","43212","1-614-435-0122","Iowa Stock Fire And Casualty Company","Stock",,"POINT (-83.0271 39.980974)"
"American Equity Investment Life Insurance Company","Life","92738","2050","true","PO BOX 71216",,"DES MOINES","IA","50325","515-457-1765","6000 WESTOWN PARKWAY","WEST DES MOINES","IA","50266-5921","515-273-3728","Iowa Stock Life - with A & H","Stock",,"POINT (-93.792094 41.594902)"
"American Health Plan of Iowa, Inc.","Health","17281","3344","true","201 Jordan Road, Suite 200",,"Franklin","TN","37067","6156148404",,,,,,"Iowa HMO","Stock","POINT (-86.842168 35.925449)",
"American Mutual Insurance Association","State Mutual","12616","0126","true","151 N 4TH AVENUE",,"ELDRIDGE","IA","52748","563-285-2074",,,,,,"Iowa State Mutual Insurance Association","Mutual","POINT (-90.578107 41.655673)",
"American Mutual Insurance Association","State Mutual","15319","0042","true","903 DEWITT ST","PO BOX 256","GRAND MOUND","IA","52751","563-847-2000",,,,,,"Iowa State Mutual Insurance Association","Mutual","POINT (-90.643506 41.825496)",
"American Republic Corp Insurance Company","Life","67679","3005","true","PO BOX 14510",,"DES MOINES","IA","50306-3510","800-705-9100","601 Sixth Avenue","Des Moines","IA","50309","515-695-2125","Iowa Stock Life - with A & H","Stock",,"POINT (-93.625648 41.590168)"
"American Republic Insurance Company","Life","60836","0204","true","PO BOX 1",,"DES MOINES","IA","50306-0001","800-247-2190","601 Sixth Avenue","Des Moines","IA","50309","515-695-2125","Iowa Stock Life - with A & H","Stock",,"POINT (-93.625648 41.590168)"
"Amerigroup Iowa, Inc.","Health","15807","3194","true","5800 Northampton Blvd",,"Norfolk","VA","23502","7574906900","1300 AMERIGROUP WAY","VIRGINIA BEACH","VA","23464","757-490-6900","Iowa HMO","Stock","POINT (-76.203116 36.874391)","POINT (-76.200392 36.798466)"
"ARAG Insurance Company","Property Casualty","34738","2556","true","500 GRAND AVENUE, SUITE 100",,"DES MOINES","IA","50309","515-246-1200","500 Grand Avenue, Suite 100","Des Moines","IA","50309","515-246-1200","Iowa Stock Fire And Casualty Company","Stock","POINT (-93.624136 41.588011)","POINT (-93.624136 41.588011)"
"Athene Annuity and Life Company","Life","61689","0206","true","7700 MILLS CIVIC PARKWAY",,"WEST DES MOINES","IA","50266","8882668489","7700 MILLS CIVIC PARKWAY","WEST DES MOINES","IA","50266-3862","515-342-3806","Iowa Stock Life - with A & H","Stock","POINT (-93.814591 41.560481)","POINT (-93.814591 41.560481)"
"Benton Mutual Insurance Association","State Mutual","14910","0009","true","101 MAIN ST",,"KEYSTONE","IA","52249","319-442-3413",,,,,,"Iowa State Mutual Insurance Association","Mutual","POINT (-92.198017 41.999279)",
"Berkley Assurance Company","Property Casualty","39462","3100","true","7233 E. BUTHERUS DRIVE",,"SCOTTSDALE","AZ","85260","4809510905","7233 EAST BUTHERUS DRIVE","SCOTTSDALE","AZ","85260-2410","480-922-4045","Iowa Stock Fire And Casualty Company","Stock","POINT (-111.923907 33.622658)","POINT (-111.923907 33.622658)"
"Berkley Casualty Company","Property Casualty","15911","3129","true","3490 INDEPENDENCE DR.",,"BIRMINGHAM","AL","35209","2058703535","ONE METROPLEX DRIVE","BIRMINGHAM","AL","35209","205-874-8226","Iowa Stock Fire And Casualty Company","Stock","POINT (-86.782392 33.471521)",
"Berkley Life and Health Insurance Company","Life","64890","1507","true","2445 KUSER ROAD, SUITE 201",,"HAMILTON SQUARE","NJ","08690","203-542-3800","400 DONALD J. LYNCH BLVD, SUITE 201","MARLBOROUGH","MA","01752","508-573-6085","Iowa Stock Life - with A & H","Stock","POINT (-74.665683 40.203953)","POINT (-71.604333 42.360581)"
"Berkley National Insurance Company","Property Casualty","38911","3032","true","PO BOX 1594",,"DES MOINES","IA","50306-1594","5154733000","1250 E. DIEHL ROAD, SUITE 200","NAPERVILLE","IL","60563-0000","609-689-6648","Iowa Stock Fire And Casualty Company","Stock",,"POINT (-88.123192 41.802059)"
"Berkley Regional Insurance Company","Property Casualty","29580","2474","true","PO BOX 9190",,"DES MOINES","IA","50306","5154733000","1250 E. DIEHL ROAD, SUITE 200","NAPERVILLE","IL","60563-0000","609-689-6648","Iowa Stock Fire And Casualty Company","Stock",,"POINT (-88.123192 41.802059)"
"Bestow Life Insurance Company","Life","62383","1560","true","750 NORTH ST. PAUL, SUITE 1900",,"DALLAS","TX","75201","2147434113","750 NORTH SAINT PAUL STREET, SUITE 1900","DALLAS","TX","75201-3261","260-460-7409","Iowa Stock Life - with A & H","Stock","POINT (-96.799916 32.785891)","POINT (-96.799916 32.785891)"
"BHHC Special Risks Insurance Company","Property Casualty","11014","2834","true","1314 DOUGLAS STREET, SUITE 1300",,"OMAHA","NE","68102-1944","402-393-7255","1314 Douglas Street, Suite 1300","Omaha","NE","68102-1944","402-393-7255","Iowa Stock Fire And Casualty Company","Stock","POINT (-95.93386 41.25863)","POINT (-95.93386 41.25863)"
"BITCO General Insurance Corporation","Property Casualty","20095","0558","true","3700 MARKET SQUARE CIRCLE",,"DAVENPORT","IA","52807-2309","800-475-4477","3700 MARKET SQUARE CIRCLE","DAVENPORT","IA","52807","563-232-0225","Iowa Stock Fire And Casualty Company","Stock",,
"BITCO National Insurance Company","Property Casualty","20109","0559","true","3700 MARKET SQUARE CIRCLE",,"DAVENPORT","IA","52807-2309","800-475-4477","3700 MARKET SQUARE CIRCLE","DAVENPORT","IA","52807","563-232-0225","Iowa Stock Fire And Casualty Company","Stock",,
"Black Hawk Mutual Insurance Association","State Mutual","15322","0012","true","353 E ELDORA RD",,"HUDSON","IA","50643","319-988-4101",,,,,,"Iowa State Mutual Insurance Association","Mutual","POINT (-92.44992 42.409269)",
"Boone Farmers Mutual Insurance Association","County Mutual","15384","0013","true","1500 S STORY ST",,"BOONE","IA","50036","515-432-5167",,,,,,"County Mutual","Mutual","POINT (-93.879615 42.040107)",
"Bremer Mutual Insurance Association","State Mutual","15285","0015","true","111 1ST AVE SE","PO BOX 856","WAVERLY","IA","50677","319-352-1863",,,,,,"Iowa State Mutual Insurance Association","Mutual","POINT (-92.468765 42.724795)",
"Canal Reinsurance Company","Life",,"3283","true","8300 MILLS CIVIC PARKWAY",,"WEST DES MOINES","IA","50266","5154405500",,,,,,"Limited Purpose Subsidiary","Stock","POINT (-93.821788 41.55995)",
"Cape Verity III, Inc.","Life","15473","3159","true","215 10TH STREET, SUITE 1100",,"DES MOINES","IA","50309","5153933572",,,,,,"Limited Purpose Subsidiary","Stock","POINT (-93.629336 41.584413)",
"Cape Verity I, Inc.","Life","15475","3157","true","215 10TH STREET, SUITE 1100",,"DES MOINES","IA","50309","5153933572",,,,,,"Limited Purpose Subsidiary","Stock","POINT (-93.629336 41.584413)",
"CareSource Iowa Co.","Health","17284","3345","true","699 Walnut St Suite 425","HUB Tower","Des Moines","IA","50309","5156663000",,,,,,"Iowa HMO","Stock","POINT (-93.625172 41.58576)",
"Carolina Casualty Insurance Company","Property Casualty","10510","0919","true","5011 GATE PARKWAY, BUILDING 200, SUITE 200",,"JACKSONVILLE","FL","32256","904-363-0900","5011 GATE PARKWAY, BUILDING 200, SUITE 2","JACKSONVILLE","FL","32256","904-363-0900","Iowa Stock Fire And Casualty Company","Stock","POINT (-81.535737 30.246241)","POINT (-81.535737 30.246241)"
"Castle Grove Mutual Insurance Association","County Mutual","15372","0088","true","101 E 10TH ST","PO BOX 67","MONTICELLO","IA","52310","319-465-5481",,,,,,"County Mutual","Mutual","POINT (-91.191794 42.250769)",
"Century Mutual Insurance Association","State Mutual","12869","0114","true","91 S CENTRAL AVE","PO BOX 168","HARTLEY","IA","51346","712-928-2412",,,,,,"Iowa State Mutual Insurance Association","Mutual","POINT (-95.477002 43.180217)",
"Chickasaw Mutual Insurance Association","County Mutual","15389","0035","true","25 W MAIN ST","PO BOX 248","NEW HAMPTON","IA","50659","641-394-2158",,,,,,"County Mutual","Mutual","POINT (-92.316403 43.059306)",
"Chiron Insurance Company","Property Casualty","16356","3257","true","PO BOX 370",,"ALGONA","IA","50511","8002475930","808 HIGHWAY 18 WEST","ALGONA","IA","50511","515-295-2461","Iowa Stock Fire And Casualty Company","Stock",,"POINT (-94.247449 43.08282)"
"Clay Mutual Insurance Association","County Mutual","15390","0036","true","515 GRAND","PO BOX 467","SPENCER","IA","51301","712-262-2240",,,,,,"County Mutual","Mutual","POINT (-95.144782 43.143013)",
"Clermont Insurance Company","Property Casualty","33480","2194","true","301 ROUTE 17 NORTH, SUITE 900",,"RUTHERFORD","NJ","07070","201-518-2500","301 ROUTE 17 NORTH, SUITE 900","RUTHERFORD","NJ","07070","201-518-2500","Iowa Stock Fire And Casualty Company","Stock",,
"Clinton Mutual Plate Glass Association","County Mutual","31623","0162","true","4553 180TH ST","PO BOX 1","CLINTON","IA","52732","563-242-2454",,,,,,"County Mutual","Mutual","POINT (-90.208493 41.917432)",
"CMFG Life Insurance Company","Life","62626","1221","true","PO BOX 391",,"MADISON","WI","53701","608-238-5851","5910 MINERAL POINT ROAD","MADISON","WI","53705","800-356-2644","Iowa Stock Life - with A & H","Stock",,"POINT (-89.483931 43.06086)"
