"geography_id","type","name","variable","variable_description","data_collection_period","date","poverty_status","sex","age","value","location"
"1400000US19153001800","tract","Census Tract 18, Polk County, Iowa","B17001_001E","Total","2011-2015","2015-12-31T00:00:00.000","Total","Both","All Ages","1919.0","POINT (-93.5686706 41.6039873)"
"1400000US19167070500","tract","Census Tract 705, Sioux County, Iowa","B17001_002E","Income at or below poverty level","2014-2018","2018-12-31T00:00:00.000","At or Below Poverty","Both","All Ages","114.0","POINT (-96.0061114 42.9631487)"
"1400000US19111490300","tract","Census Tract 4903, Lee County, Iowa","B17001_010E","Income at or below poverty level - Male - 18 to 24 years","2014-2018","2018-12-31T00:00:00.000","At or Below Poverty","Male","18 to 24 Years","0.0","POINT (-91.2808728 40.6906595)"
"1400000US19113002800","tract","Census Tract 28, Linn County, Iowa","B17001_010E","Income at or below poverty level - Male - 18 to 24 years","2014-2018","2018-12-31T00:00:00.000","At or Below Poverty","Male","18 to 24 Years","25.0","POINT (-91.6240533 41.9612708)"
"1400000US19181021000","tract","Census Tract 210, Warren County, Iowa","B17001_012E","Income at or below poverty level - Male - 35 to 44 years","2014-2018","2018-12-31T00:00:00.000","At or Below Poverty","Male","35 to 44 Years","0.0","POINT (-93.5515667 41.3499198)"
"1400000US19169001100","tract","Census Tract 11, Story County, Iowa","B17001_012E","Income at or below poverty level - Male - 35 to 44 years","2014-2018","2018-12-31T00:00:00.000","At or Below Poverty","Male","35 to 44 Years","0.0","POINT (-93.6441195 42.0128435)"
"1400000US19113001200","tract","Census Tract 12, Linn County, Iowa","B17001_013E","Income at or below poverty level - Male - 45 to 54 years","2014-2018","2018-12-31T00:00:00.000","At or Below Poverty","Male","45 to 54 Years","16.0","POINT (-91.6802439 41.9847439)"
"1400000US19169000300","tract","Census Tract 3, Story County, Iowa","B17001_013E","Income at or below poverty level - Male - 45 to 54 years","2014-2018","2018-12-31T00:00:00.000","At or Below Poverty","Male","45 to 54 Years","0.0","POINT (-93.6296383 42.0514602)"
"1400000US19163013703","tract","Census Tract 137.03, Scott County, Iowa","B17001_013E","Income at or below poverty level - Male - 45 to 54 years","2014-2018","2018-12-31T00:00:00.000","At or Below Poverty","Male","45 to 54 Years","0.0","POINT (-90.5089808 41.5651674)"
"1400000US19111490900","tract","Census Tract 4909, Lee County, Iowa","B17001_014E","Income at or below poverty level - Male - 55 to 64 years","2014-2018","2018-12-31T00:00:00.000","At or Below Poverty","Male","55 to 64 Years","38.0","POINT (-91.3766527 40.401695)"
