"plan_id","carrier","plan_name","plan_type","metal_level","rating_area","age","non_tob","tobacco","exchange","counties","geocoded_column"
"93078IA0070037","Medica Insurance Company","Inspire by Medica  Bronze Copay Preferred Primary Care","EPO","Bronze","Rating Area 2","43","390.77","425.94","true","Dallas, Jasper, Madison, Marion, Polk, and Warren","POINT (-93.54 41.52)"
"93078IA0070013","Medica Insurance Company","Inspire by Medica Catastrophic","EPO","Catastrophic","Rating Area 2","63","594.58","648.09","true","Dallas, Jasper, Madison, Marion, Polk, and Warren","POINT (-93.54 41.52)"
"45819IA0010008","Oscar Insurance Company","Oscar Silver Saver","EPO","Silver","Rating Area 2","32","466.71","490.04","true","Dallas, Jasper, Madison, Marion, Polk, and Warren","POINT (-93.54 41.52)"
"93078IA0070029","Medica Insurance Company","Inspire by Medica Bronze Share Plus","EPO","Bronze","Rating Area 2","54","628.63","685.21","true","Dallas, Jasper, Madison, Marion, Polk, and Warren","POINT (-93.54 41.52)"
"45819IA0010019","Oscar Insurance Company","Oscar Silver $1500 Ded","EPO","Silver","Rating Area 2","50","683.71","745.25","false","Dallas, Jasper, Madison, Marion, Polk, and Warren","POINT (-93.54 41.52)"
"45819IA0010013","Oscar Insurance Company","Oscar Gold Classic","EPO","Gold","Rating Area 2","24","413.01","413.01","true","Dallas, Jasper, Madison, Marion, Polk, and Warren","POINT (-93.54 41.52)"
"45819IA0010017","Oscar Insurance Company","Oscar Silver Classic $0 Ded","EPO","Silver","Rating Area 2","37","525.90","573.23","true","Dallas, Jasper, Madison, Marion, Polk, and Warren","POINT (-93.54 41.52)"
"93078IA0060033","Medica Insurance Company","Medica Insure Bronze Share","EPO","Bronze","Rating Area 2","22","344.64","375.66","true","Dallas, Jasper, Madison, Marion, Polk, and Warren","POINT (-93.54 41.52)"
"93078IA0070037","Medica Insurance Company","Inspire by Medica  Bronze Copay Preferred Primary Care","EPO","Bronze","Rating Area 2","54","614.81","670.14","true","Dallas, Jasper, Madison, Marion, Polk, and Warren","POINT (-93.54 41.52)"
"45819IA0010016","Oscar Insurance Company","Oscar Silver Classic Copay","EPO","Silver","Rating Area 2","28","450.60","473.13","true","Dallas, Jasper, Madison, Marion, Polk, and Warren","POINT (-93.54 41.52)"
"45819IA0010008","Oscar Insurance Company","Oscar Silver Saver","EPO","Silver","Rating Area 2","23","394.52","394.52","true","Dallas, Jasper, Madison, Marion, Polk, and Warren","POINT (-93.54 41.52)"
