"levy_authority_code","levy_authority_name","fiscal_year","urban_renewal_area_number","expenditure_amount","project_description","project_classification","debt_tracking_name","debt_type","fiscal_year_debt_is_paid_in_full","rebate_paid_to","primary_lat_dec"
"25G228","ADEL","2012","25011","12955","Development agreement for minimum improvements","Industrial/manufacturing property","Rebate Agreement - 2000 UB & T","Rebates","2013","United Brick and Tile","POINT (-94.017453 41.6144325)"
"25G228","ADEL","2012","25011","23249","Development agreement for minimum improvements","Industrial/manufacturing property","Rebate Agreement - 2006 UB & T","Rebates","2018","United Brick and Tile","POINT (-94.017453 41.6144325)"
"92G882","AINSWORTH","2012","92010","6971","Urban Renewal Area","Residential property (classified residential)","Dennis & Linda Stout","Rebates","2013","Dennis Stout","POINT (-91.55238380000002 41.2889098)"
"77G713","ALTOONA","2012","77017","49000","PAYMENT TO FRANZEN I-80","Commercial - warehouses and distribution facilities","FRANZEN I-80","Rebates","2020","FRANZEN I-80","POINT (-93.4646571 41.6441557)"
"77G714","ANKENY","2012","77018","5940","Tax Rebate Agreement","Commercial - warehouses and distribution facilities","Carney Industrial Park","Rebates","2012","Dennis L Elwell","POINT (-93.60577340000002 41.7297102)"
"77G714","ANKENY","2012","77018","35005","Tax Rebate Agreement","Industrial/manufacturing property","Twin Oaks Business Park","Rebates","2014","Bresson Real Estate Holdings, LLC","POINT (-93.60577340000002 41.7297102)"
"77G714","ANKENY","2012","77018","184659","Tax Rebate Agreement","Commercial - warehouses and distribution facilities","The Lauridsen Group, Inc.","Rebates","2021","The Lauridsen Group, Inc.","POINT (-93.60577340000002 41.7297102)"
"77G714","ANKENY","2012","77018","37921","Tax Rebate Agreement","Industrial/manufacturing property","Campus Business Park","Rebates","2015","Snyder Greedy, LLC","POINT (-93.60577340000002 41.7297102)"
"82G770","BETTENDORF","2012","82019","14046","Vizient","Industrial/manufacturing property","Vizient","Rebates","2014","Vizient","POINT (-90.51569 41.5244777)"
"82G770","BETTENDORF","2012","82019","34682","QC Area Realtor Assoc","Commercial - office properties","QC Area Realtor Assoc","Rebates","2013","QC Area Realtor Assoc","POINT (-90.51569 41.5244777)"
"82G770","BETTENDORF","2012","82028","79833","Olympic Steel improvements","Industrial/manufacturing property","Olympic Steel improvements","Rebates","2014","Olympic Steel","POINT (-90.51569 41.5244777)"
"82G770","BETTENDORF","2012","82019","100344","State St Redev/Windmiller","Commercial - retail","State St Redev/Windmiller","Rebates","2016","State St Redevelopment","POINT (-90.51569 41.5244777)"
"82G770","BETTENDORF","2012","82019","56162","State St Redev/Windmiller","Commercial - retail","State St Redev/Windmiller","Rebates","2016","Windmiller","POINT (-90.51569 41.5244777)"
"77G715","BONDURANT","2012","77025","100000","Water/Sewer Main reimbursement","Roads, Bridges & Utilities","Wil-Ron Properties","Rebates","2019","Community State Bank","POINT (-93.462157 41.7005441)"
"14","CARROLL COUNTY","2012","14021","34014","Fertilizer storage & distribution facility","Industrial/manufacturing property","Templeton Crop Nutrients Rebate","Rebates","2013","Templeton Crop Nutrients, LLC","POINT (-94.8605593 42.0362382)"
"78G731","CARTER LAKE","2012","78044","12660","Kwik Shop/Dollar General","Roads, Bridges & Utilities","Rebate Agreements - TIF #4","Rebates","2020","Frederick Slegers","POINT (-95.9180689 41.29055340000001)"
"78G731","CARTER LAKE","2012","78044","13327","Kwik Shop/Dollar General","Roads, Bridges & Utilities","Rebate Agreements - TIF #4","Rebates","2020","Jack Schroll","POINT (-95.9180689 41.29055340000001)"
"18","CHEROKEE COUNTY","2012","18013","175830","Little Sioux Corn Processors ethanol plant","Agribusiness","747584","Rebates","2018","Little Sioux Corn Processors","POINT (-95.6238055 42.7356226)"
"18","CHEROKEE COUNTY","2012","18012","12033","County Rebate for commercial expansion","Agribusiness","12033","Rebates","2012","Sand Seed Service","POINT (-95.6238055 42.7356226)"
"23G205","CLINTON","2012","23006","3394","Housing Rebate","Mixed use property (ie: a significant portion in each residential and commercial)","CHI Housing Rebate","Rebates","2014","Community Housing Initiatives","POINT (-90.1887379 41.8444735)"
"23G205","CLINTON","2012","23018","14934","Residential TIF Rebate Agreement","Residential property (classified residential)","Actual Construction or $9.25 mil, whichever less","Rebates","2020","Dan Dolan Homes, Inc.","POINT (-90.1887379 41.8444735)"
"23G205","CLINTON","2012","23010","1207564","TIF Rebate Agreement Valley Bluff","Commercial - retail","Valley Bluff Rebate Agreement","Rebates","2024","Citizen's First Bank c/o Valley Bluff","POINT (-90.1887379 41.8444735)"
"77G716","CLIVE","2012","77060","559894","Developer rebates in Stratford Commons Office Park","Commercial - office properties","Stratford Commons Rebates","Rebates","2014","Stratford Commons Association members","POINT (-93.7241104 41.6030446)"
"77G716","CLIVE","2012","77060","176375","Tax rebates to owner for construction of senior housing","Residential property (classified residential)","Walnut Ridge of Clive","Rebates","2025","Wedum Walnut Ridge","POINT (-93.7241104 41.6030446)"
"78G732","COUNCIL BLUFFS","2012","78048","92833","Rebate TIF","Low and Moderate Income Housing","10 YEAR 60% REBATE","Rebates","2019","CBIA LLLP","POINT (-95.8608333 41.2619444)"
"78G732","COUNCIL BLUFFS","2012","78047","136858","Rebate TIF","Commercial - apartment/condos (residential use, classified commercial)","10 YEAR 65% YEAR I - 50% YEAR 2-10","Rebates","2019","COUNCIL BLUFFS RETIREMENT, LLC","POINT (-95.8608333 41.2619444)"
"78G732","COUNCIL BLUFFS","2012","78049","42639","Extension of sanitary sewer facilities","Water treatment plants, waste treatment plants & lagoons","PUMP STATION OVERRUN","Internal Loans","2016","CITY OF COUNCIL BLUFFS","POINT (-95.8608333 41.2619444)"
"82G773","DAVENPORT","2012","82038","505010","Construction of John Deere Warehouse in the EIIC","Industrial/manufacturing property","Ryan Warehouse Rebate","Rebates","2020","Quad City Consolidation","POINT (-90.5776367 41.5236437)"
"82G773","DAVENPORT","2012","82013","75228","PCT","Industrial/manufacturing property","PCT Rebate","Rebates","2016","PCT","POINT (-90.5776367 41.5236437)"
