"company_name","form_numbers","effective_date","approved","type_of_product","proposed","increase"
"Genworth Life Insurance Company","Form 7030 PCS II 
IIID/INS modified this as a 2-year phase of the original proposal:  
Limited:   18.5% for year 1 and year 2
Lifetime:  26.7% for year 1 and year 2
Average  = 22.6% for year 1 and year 2","2022-10-01T00:00:00.000","Yes","Long Term Care","0.503","0.226"
"Genworth Life Insurance Company","Form 7035 Choice I
IIID/INS modified this as a 2-year phase of the original proposal:  
Limited:   31.5% for year 1 and year 2
Lifetime:  34.4% for year 1 and year 2
Average = 32.67% for year 1 and year 2","2022-10-01T00:00:00.000","Yes","Long Term Care","0.762","0.327"
"Continental General Insurance Company","Forms L-6000 and LTC-020201 -- This is NOT a rate increase, but rather updated projections related to a previous filing","2022-08-02T00:00:00.000","Yes","Long Term Care","0.0","0.0"
"Catholic Order of Foresters","FCLTC-IA -- IID and INS modifided this proposal to be spead out over 2-years, i.e., 17.9% in year 1 followed by 5.34% in year 2.  IID also negotiated a 5-year rate guarantee for this block.",,"Yes","Long Term Care","0.241","0.179"
"CMFG Life Insurance Company","Forms 2002-LTC-FAC(IA),
2002-LTCR-HCC -- This is NOT a rate increase, but rather updated projections related to previous filings","2022-07-28T00:00:00.000","was *filed*","Long Term Care","0.0","0.0"
"CMFG Life Insurance Company","Forms 2006-LTC-COMP(IA) -- This is NOT a rate increase, but rather updated projections related to a previous filing","2022-07-28T00:00:00.000","was *filed*","Long Term Care","0.0","0.0"
"Metropolitan Life Insurance Company","Similar to the extraterritorial rate increases on policies residing in Iowa on groups sitused in another state -- IID has  granted similar exemptions Iowa law/reg.  Rate increase jurisdiction belongs to the issuing state for group policies.",,"was *filed*","Long Term Care","0.0","0.0"
"John Hancock Life Insurance Company","Forms LTC-91 et al --   IID / INS negotiated; the  increase is eliminated if policyholder accepts reduced inflation landing spot.  If not eligible,, a max increase of 44% is spread over 2-years.  (44% is the max -- some are less of course)",,"Yes","Long Term Care","0.328","0.291"
"John Hancock Life Insurance Company","LTC-03 IA (2007) --   IID / INS negotiated a 2-year phase of the increase. The increase is eliminated if the policyholder accepts a reduced inflation landing spot or shared cost option.  Otherwise, 40.67% (the max increase) is spread over 2-years.",,"Yes","Long Term Care","0.221","0.221"
"MedAmerica Insurance Company","Form 14515-IA -- IID/INS mod proposal to 17.9% max in Y1 x 10.2% max in Y2 = 22.6% avg",,"Yes","Long Term Care","0.553","0.179"
"MedAmerica Insurance Company","Form SPL-336 -- IID/INS mod proposal to 17.9% max in Y1 x 10.2% max in Y2 = 22.2% avg",,"Yes","Long Term Care","0.442","0.179"
"MedAmerica Insurance Company","GRP11-342-MA-IA-401  --IID/INS mod proposal to 17.9% max in Y1 x 10.2% max in Y2 = 29.3% avg",,"Yes","Long Term Care","1.64","0.179"
"MedAmerica Insurance Company","Lead SERFF Form LTC-LBP8-MA-IA -- HTQ11-338-MA-IA-401 et al --  IID/INS mod proposal to 17.9% max Y1 x 10.2% max Y2 = 27.8% avg",,"Yes","Long Term Care","2.009","0.179"
"MedAmerica Insurance Company","Forms FC-336-IA et al  -- IID / INS modified this proposal from 7.49% avg (with 20% max) down to 7% avg (with 17.9% max)","2022-07-01T00:00:00.000","Yes","Long Term Care","0.075","0.07"
"Prudential Insurance Company of America","Group LTC 83500 BFW 5005,
GRP 83500 COV 5022 
This is NOT a rate increase, but rather updated projections related to previous filings","2022-06-17T00:00:00.000","*filed*","Long Term Care","0.0","0.0"
"Metropolitan Life Insurance Company","3 rate filings for group long term care -- sitused in Washington D.C. -- IID has no authority and will accept D.C. rates.","2023-01-01T00:00:00.000","was *filed*","Long Term Care","0.1","0.1"
"United Security Assurance Company of Pennsylvania","Forms  PAL-1, PAL-1(02)R, QLT-1, QLT-1(02)R et al --- Original proposal was 56.09% via 3 annual increases of 16%, however, the IID was able to modify this proposal to 17.9% for year 1 followed by 10.26% for year 2",,"Yes","Long Term Care","0.561","0.179"
"Metropolitan Life Insurance Company","Form LTC2-FAC-IA (VIP2_Old), LTC2-VAL-IA, LTC2-IDEAL-IA, LTC2-PREM-IA -- this is *NOT* a rate increase, but simply updated projections from a prior rate filing.","2022-05-27T00:00:00.000","was *filed*","Long Term Care","0.0","0.0"
"Metropolitan Life Insurance Company","Form LTC-FAC-IA (VIP1), LTC-VAL-IA, LTC-IDEAL-IA, LTC-PREM-I A	--
This is NOT a rate increase, but rather updated projections related to a previous rate filing.","2022-05-27T00:00:00.000","was *filed*","Long Term Care","0.0","0.0"
"Metropolitan Life Insurance Company","LTC-E.02 Ed.11-91 -- this is *NOT* a rate increase, but simply updated projections from a prior rate filing.","2022-05-27T00:00:00.000","was *filed*","Long Term Care","0.0","0.0"
"Metropolitan Life Insurance Company","TCL-LTC.04(IA) Ed. 4/00 et al -- 
This is NOT a rate increase, but rather updated projections related to a previous rate filing.","2022-05-27T00:00:00.000","was *filed*","Long Term Care","0.0","0.0"
"Metropolitan Life Insurance Company","Form LTC2007-IA -- IA_LTC2007-IA -- LSAnew_rates -- This is NOT a rate increase, but rather — updated projections related to a previous rate fling.","2022-05-02T00:00:00.000","was *filed*","Long Term Care","0.0","0.0"
"UNUM Life Insurance Company of America","Policy Series GLTC04 --IID/INS mod   proposal from 50% on 5% compound infl policies  down to 17.9%. {Simple inf =12% & no infl =0%}  This generates a new avg of 14.1% avg  vs. 25.45% as filed.  4.31% is the overall avg for ALL policies vs 7.8% as filed","2022-07-01T00:00:00.000","Yes","Long Term Care","0.255","0.141"
"RiverSource Life Insurance Company","30160A-32100 (with endorsement)   IID and INS modifed the proposal to Lifetime:  17.9% for year 1 followed by 17.9% for year 2 -- 
non-lifetime:  17.9% for year 1 followed by 5.77% for year 2",,"Yes","Long Term Care","0.489","0.179"
"RiverSource Life Insurance Company","30225-IA with 1997 revised rates -- IID and INS modifed the proposal to Lifetime:  17.9% for year 1 followed by 17.9% for year 2 and 
Non-lifetime:  17.9% for year 1 followed by 10.26% for year 2 (30%)",,"Yes","Long Term Care","0.707","0.179"
"RiverSource Life Insurance Company","Form 30160-A-IA -- IID and INS modifed the proposal to Lifetime:  17.9% for year 1 followed by 17.9% for year 2 -- Non-lifetime:  17.9% for year 1 followed by 8.48% for year 2",,"Yes","Long Term Care","0.568","0.179"
"RiverSource Life Insurance Company","Form 30225-IA -- IID and INS modifed the proposal to
Lifetime:  17.9% for year 1 followed by 10.26% for year 2
Non-lifetime:  5% for year 1 followed by 4.76% for year 2",,"Yes","Long Term Care","0.296","0.179"
"Principal Life Insurance Company","Forms FR142, FR601 -- IID and INS negotiated the proposal from 65.22% (as filed) down to 17.9% for year 1 followed by 10.26% for year 2","2022-07-01T00:00:00.000","Yes","Long Term Care","0.652","0.179"
"Principal Life Insurance Company","FR1240 and FR406IA-1 --  IID and INS negotiated the proposal from 68.37% (as filed) down to 17.9% for year 1 followed by 10.26% for year 2","2022-07-01T00:00:00.000","Yes","Long Term Care","0.684","0.179"
"Metropolitan Life Insurance Company","Form LTC2007-IA -- IA_LSAOld_rates 
— This is NOT a rate increase, but rather — updated projections related to a previous rate fling.","2022-03-08T00:00:00.000","Yes","Long Term Care","0.0","0.0"
"Metropolitan Life Insurance Company","Form LTC2-FAC-IA (VIP2_New), LTC2-VAL-IA, LTC2-IDEAL-IA, LTC2-PREM-IA — This is NOT a rate increase, but rather — updated projections related to a previous rate fling.","2022-03-08T00:00:00.000","Yes","Long Term Care","0.0","0.0"
"Nassau Life and Annuity Company","Forms 1460, 1490, P30, P35, P39, PLNHO, PLNHOQ -- IID and INS modified this proposal down to 17.9% for year 1 followed by 10.26% for year 2 for benefit periods > 3 years.","2022-07-01T00:00:00.000","Yes","Long Term Care","0.92","0.179"
"Ability Insurance Company","Forms LT691, LT201, LT692, LT694, LT695, LT696, LT698 -- IID/IND MOD to:  17.9% year 1 x 17.9% year 2  x 14.39% year 3  ~ 47.4% over 3-yrs",,"Yes","Long Term Care","0.549","0.179"
"United of Omaha Life Insurance Company","Form LTC06UI-TQ et al -- IID/INS mod to ~ 18.07% for year 1 followed by 15.18% for year 2 followed by 15.04% for year 3.  Overall 3-year MOD ~ 56.5% vs. 97.80% as filed.","2022-06-01T00:00:00.000","Yes","Long Term Care","0.978","0.181"
"Mutual of Omaha Insurance Company","Forms HCA (NH50, LT50, HCAQ, NHA, NHAQ, LTA, LTAQ) -- IID/INS negotiated this to 17.9% for yr 1 followed by 10.26% for yr 2 - for lifetime benefits.  For non-lifetime benefits, IID/INS MOD is 17.9% for yr 1 only.   2-yr MOD = 27.1% vs. 54.9% as filed.","2022-05-01T00:00:00.000","Yes","Long Term Care","0.549","0.179"
"Mutual of Omaha Insurance Company","Policy Series LTC04G -- IID/INS modified this proposal down to approximately 18.41% for year 1 followed by 16.88% for year 2 followed by 14.75% for year 3.  Overall 3-year MOD ~ 58.8% vs. 105% as filed.","2022-06-01T00:00:00.000","Yes","Long Term Care","1.058","0.184"
"CMFG Life Insurance Company","Forms 2002-LTC-FAC(IA),
2002-LTCR-HCC","2022-05-01T00:00:00.000","Yes","Long Term Care","0.074","0.074"
"Metropolitan Life Insurance Company","3 rate filings for group long term care -- sitused in Washington D.C. -- IID has no authority and will accept D.C. rates.  This is NOT a rate increase, but rather updated projections ONLY","2022-01-26T00:00:00.000","was *filed*","Long Term Care","0.0","0.0"
"Allianz Life Insurance Company of North America","Form 7-P-Q-IA (Group 2), 7-P-Q-IA-1, N-4040-P-IA(Q), N-4040-P-IA(NQ)  — This is NOT a rate increase, but rather an updated projection of experience related to previous rate filing.","2021-12-21T00:00:00.000","was *filed*","Long Term Care","0.0","0.0"
"State Farm Mutual Automobile Insurance Company","Form 97058IA -- This is NOT a rate increase, but rather an updated projection of experience related to previous rate filing.","2021-12-03T00:00:00.000","was *filed*","Long Term Care","0.0","0.0"
"Metropolitan Life Insurance Company","Form LTC-FAC-IA (VIP1), LTC-VAL-IA, LTC-IDEAL-IA, LTC-PREM-I A -- this is *NOT* a rate increase, but simply updated projections from a prior rate filing.","2021-11-30T00:00:00.000","Yes","Long Term Care","0.0","0.0"
"Genworth Life Insurance Company","Form series - 7042, 7044, 7042REV and 7044REV --------- Non-AARP polices only -- This is NOT a rate increase but rather updated projections related to a previous rate filing.","2021-11-29T00:00:00.000","was *filed*","Long Term Care","0.0","0.0"
