"title","iowa_code_citation","iowa_admin_code_citation","description","data_source","expenditure_category","_2018_estimated_value","_2018_rank"
"Interstate Sales","Iowa Code 2018 423.3(43)","IAC (2018) 701-17.8","Property or services performed on property which the retailer sends or delivers to a point outside of Iowa are exempt from sales and use tax as long as the property is not returned to Iowa, except in the course of interstate commerce or transportation.  If physical possession of the property occurs in the state of Iowa by the purchaser, consumer, or their agent, the exemption no longer applies.","Internal Data","Administrative","461100000","1"
"Food Sales for Human Consumption","Iowa Code 2018 423.3(57)","IAC (2018) 701-20.1","Sales of food for human consumption are exempt from sales and use tax if those food items are eligible for purchase under the Supplemental Nutrition Assistance Program (SNAP) administered by the United States Department of Agriculture. Food purchased with Supplemental Nutrition Assistance Program benefits are considered in a separate estimate.","Internal Data","Consumer Benefit","456000000","2"
"Transportation Services and Delivery Charges","Iowa Code 2018 423.3(70)","IAC (2018) 701-19.14 & 26.42(4)(a)","Transportation services, including the transportation of people, and delivery charges are exempt from sales and use tax when they are separately contracted in writing. If no written contract exists, the charges are not subject to sales and use tax if the bill itemizes the charges. The exemption does not apply to the services of transporting electrical energy or natural gas or to the rental of recreational vehicles or boats.  Chartered air services are not included in the estimate.","Economic Census","Consumer Benefit","367600000","3"
"Agricultural Feed","Iowa Code 2018 423.3(5)","IAC (2018) 701-17.9(3) & 18.14","Feed for any form of animal life when the product of the animals constitutes food for human consumption and food or medication used in disease control or health promotion of livestock produced as part of agricultural production for market are exempt from the sales and use tax.  Sales tax shall apply on feed sold for consumption by pets.   Feed includes vitamins, minerals, other nutritional food supplements, and hormones sold to promote the growth of livestock.  This estimate does not include feed for sales for farm deer and bison.","USDA","Agricultural Input","242600000","4"
"Items and Services Used in Processing","Iowa Code 2018 423.3(50)(51)","IAC (2018) 230.3","Tangible personal property or taxable services when purchased and used in the processing of tangible personal property intended to be sold ultimately at retail are exempt from sales and use tax. Tangible personal property is used for processing only when it is intended that the property will, by means of fabrication, compounding, manufacturing, or germination, become an integral part of other tangible personal property intended to be sold ultimately at retail; or for generating electric current; or the property is a chemical, solvent, sorbent, or reagent, which is directly used and is consumed, dissipated, or depleted in processing tangible personal property which is intended to be sold at retail or consumed in the maintenance or repair of fabric or clothing and which may not become a component or integral part of the finished product. A taxable service is used in processing only if the service is used in any operation which subjects raw material to some special treatment which changes, by artificial or natural means, the form, context, or condition of the raw material and results in a change of the raw material into marketable tangible personal property intended to be sold ultimately at retail.","Internal Data","Business Input","231400000","5"
"Nonprofit Hospitals","Iowa Code 2018 423.3(27)","IAC (2018) 701-18.24 & 18.59","Sales of tangible personal property to or of services furnished for a nonprofit hospital licensed under Iowa Code 135B are exempt if the property or service purchased is used in the operation of the hospital.    Hospital means a place devoted primarily to the maintenance and operation of facilities for the diagnosis, treatment, or care over a period exceeding 24 hours of two or more unrelated individuals suffering from illness, injury or a medical condition.  Also included in the definition are institutions, places, buildings or agencies providing accommodations for aged or infirm persons requiring or receiving chronic or convalescent care. A hospital is not entitled to claim a refund for tax paid by a contractor on the sale or use of tangible personal property or the performance of services in the fulfillment of a written construction contract with the hospital.","Industry Data","Charitable Organization Support","182300000","6"
"Residential Utility Exemption","Iowa Code 2018 423.3(84)(a)","IAC (2018) 701-17.38 & 231.16","The sale or furnishing of metered gas, electricity, and fuel, including propane and heating oil, to residential customers which is used to provide energy for residential dwellings and units of apartment and condominium complexes used for human occupancy is exempt from sales and use tax.","Internal Data","Consumer Benefit","146700000","7"
"Prescription Drugs and Medical Devices","Iowa Code 2018 423.3(60)","IAC (2018) 701-20.7, 20.8, & 20.9","Prescription drugs and the sale or rental of durable medical equipment, mobility enhancing equipment, prosthetic devices, and other medical devices intended for human use or consumption are exempt from sales and use tax.  Drug means a compound, substance, or preparation, and any component of a compound, substance, or preparation other than food and food ingredients, dietary supplements, or alcoholic beverages. Other medical device means durable medical equipment, mobility enhancing equipment, or prosthetic devices.","Economic Census","Consumer Benefit","139900000","8"
"Industrial Machinery and Equipment","Iowa Code 2018 423.3(47)","IAC (2018) 701-18.58","The sale or rental of machinery, equipment, and computers used by a manufacturer in processing is exempt from sales and use tax.  The sale or rental of a computer used in the processing or storage of data by an insurance company, financial institution, or commercial enterprise is also exempt.  A commercial enterprise includes businesses and manufacturers operated for profit, and includes centers for data processing services for insurance companies, financial institutions, other businesses, and manufacturers, but excludes professions, occupations, and nonprofit organizations.  Occupation means the principal business of an individual and includes the business of farming. This estimate includes Installation of New Industrial Machinery","Economic Census","Business Input","138600000","9"
"Packaging Containers","Iowa Code 2018 423.3(45)","IAC (2018) 701-18.7 & 32.7","Containers, labels, cartons, pallets, packing cases, wrapping paper, twine, bags, bottles, shipping cases, or other similar articles or receptacles are exempt from the sales and use tax when sold to retailers or manufacturers for the purpose of packaging or facilitating the transportation of tangible personal property sold at retail or transferred in association with the maintenance or repair of fabric or clothing.","Economic Census","Business Input","138300000","10"
