"iowa_company_number","naic_number","phone","company_name","address","city","state","zip","geocoded_column"
"2237","41483",,"Farmington Casualty Company","One Tower Square","HARTFORD","CT","06183",
"2001","24678",,"Arrowood Indemnity Company","3600 Arco Corporate Drive","CHARLOTTE","NC","28273","POINT (-80.946656 35.149733)"
"2642","27847",,"Insurance Company of the West","PO BOX 509039","SAN DIEGO","CA","92150-9039",
"2861","42447",,"National General Assurance Company","PO Box 3199","WINSTON-SALEM","NC","27102",
"2889","28860","844-890-6640","Clear Blue Insurance Company","B7 Tabonuco Street Suite 912","GUAYNABO","PR","00968",
"0892","25976",,"Utica Mutual Insurance Company","PO BOX 530","UTICA","NY","13503",
"0419","13773",,"Farm Bureau Property & Casualty Insurance Company","5400 UNIVERSITY AVENUE","WEST DES MOINES","IA","50266-5997","POINT (-93.779306 41.600454)"
"3154","18961",,"Crestbrook Insurance Company","One Nationwide Blvd, FSSC-RR","COLUMBUS","OH","43215",
"3227","16024",,"Federated Reserve Insurance Company","121 East Park Square","OWATONNA","MN","55060","POINT (-93.225466 44.084027)"
"0516","21849",,"American Automobile Insurance Company","225 W. Washington St., Suite 1800","CHICAGO","IL","60606","POINT (-87.634988 41.883208)"
"2778","33006",,"American Physicians Assurance Corporation","1301 N. Hagadorn Road","EAST LANSING","MI","48823","POINT (-84.462341 42.748911)"
"3011","26794",,"Plans' Liability Insurance Company","265 Franklin Street, 9th Floor","BOSTON","MA","02110","POINT (-71.053555 42.356801)"
"1302","25879",,"Fidelity and Guaranty Insurance Underwriters, Inc.","One Tower Square","HARTFORD","CT","06183",
"2027","36463",,"Discover Property & Casualty Insurance Company","One Tower Square","HARTFORD","CT","06183",
"1844","23450","800-543-2644","American Family Home Insurance Company","PO BOX 5323","CINCINNATI","OH","45201-5323",
"2380","40649","800-422-4272","Economy Premier Assurance Company","700 Quaker Lane","WARWICK","RI","02886","POINT (-71.500068 41.678771)"
"3243","10288",,"Integrity Select Insurance Company","671 S. High Street","COLUMBUS","OH","43206","POINT (-82.998044 39.948796)"
"2841","29017",,"Professionals Advocate Insurance Company","225 International Circle","HUNT VALLEY","MD","21030","POINT (-76.665423 39.498843)"
"1105","22063",,"Government Employees Insurance Company","GEICO Plaza","WASHINGTON","DC","20076",
"1803","28401",,"American National Property and Casualty Company","1949 E. Sunshine, Corporate Ctr.","SPRINGFIELD","MO","65899",
"0908","38245",,"BCS Insurance Company","2 Mid America Plaza, Suite 200","OAKBROOK TERRACE","IL","60181","POINT (-87.958747 41.849891)"
"2548","33600",,"LM Insurance Corporation","175 Berkeley Street","BOSTON","MA","02116","POINT (-71.072373 42.349909)"
"1365","15571","800-445-3726","Illinois Casualty Company","PO BOX 5018","ROCK ISLAND","IL","61204-5018",
"2329","22950",,"ACSTAR Insurance Company","30 South Road","FARMINGTON","CT","06032","POINT (-72.800651 41.725873)"
"3006","10051","800-888-2738","Lyndon Southern Insurance Company","10751 Deerwood Park Blvd, Suite 200","JACKSONVILLE","FL","32256","POINT (-81.532878 30.247812)"
"1211","19216","800-777-2249","Southern Insurance Company","PO Box 809076","DALLAS","TX","75380-9076",
"2102","40517","888-595-8750","WCF National Insurance Company","PO Box 571918","SALT LAKE CITY","UT","84157-1918",
"1816","32352",,"LM Property and Casualty Insurance Company","175 Berkeley Street","BOSTON","MA","02116","POINT (-71.072373 42.349909)"
"2908","25585",,"Watford Insurance Company","445 South St., Suite 220","MORRISTOWN","NJ","07962","POINT (-74.467138 40.775805)"
"2649","39136",,"Finial Reinsurance Company","1314 Douglas Street, Suite 1400","OMAHA","NE","68102-1944","POINT (-95.93386 41.25863)"
"2993","10758",,"Colonial Surety Company","123 Tice Boulevard, Suite 250","WOODCLIFF LAKE","NJ","07677","POINT (-74.07781 41.043523)"
"2794","12572",,"Selective Insurance Company of America","40 Wantage Avenue","BRANCHVILLE","NJ","07890","POINT (-74.74656 41.152318)"
"2774","10054",,"Securian Casualty Company","400 Robert Street North","ST. PAUL","MN","55101","POINT (-93.091919 44.94853)"
"2069","40509",,"EMC Reinsurance Company","PO BOX 712","DES MOINES","IA","50306-0712",
"1188","12416",,"Protective Insurance Company","111 Congressional Blvd., Suite 500","CARMEL","IN","46032","POINT (-86.153469 39.958281)"
"0765","25364",,"Swiss Reinsurance America Corporation","175 King Street","ARMONK","NY","10504","POINT (-73.727832 41.100545)"
"3237","36226",,"United Casualty and Surety Insurance Company","233 Needham Street, Suite 440","NEWTON","MA","02464","POINT (-71.214558 42.309839)"
"2648","43974","800-245-2425","21st Century Indemnity Insurance Company","21st Century Plaza, 3 Beaver Valley Road","WILMINGTON","DE","19803",
"1784","13056",,"RLI Insurance Company","9025 North Lindbergh Drive","PEORIA","IL","61614","POINT (-89.609221 40.796768)"
"3149","10127",,"Allied Insurance Company of America","One Nationwide Blvd, FSSC-RR","COLUMBUS","OH","43215",
"1959","22241","800 356-6886","MEDMARC Casualty Insurance Company","4795 Meadow Wood Lane Suite 335 West","CHANTILLY","VA","20151","POINT (-77.440938 38.87114)"
"0918","21687",,"Mid-Century Insurance Company","Farmers Ins Group, Regulatory Affairs Dept.","GRAND RAPIDS","MI","49501",
"1656","20044",,"Berkshire Hathaway Homestate Insurance Company","1314 Douglas Street, Suite 1300","OMAHA","NE","68102-1944","POINT (-95.93386 41.25863)"
"2673","15580","800-423-7675","Scottsdale Indemnity Company","One Nationwide Blvd, FSSC-RR","COLUMBUS","OH","43215",
"2474","29580",,"Berkley Regional Insurance Company","PO BOX 9190","DES MOINES","IA","50306",
