"company_name","mailing_address1","mailing_address2","mailing_city","mailing_state","mailing_zip","business_phone","business_email","physical_location"
"FIDELITY WARRANTY SERVICES, INC.","500 JIM MORAN BLVD.",,"DEERFIELD BEACH","FL","33442","9544203479","shari.campenni@jmagroup.com","POINT (-80.119188 26.323406)"
"PRIME AUTO CARE INC.","PO BOX 1207",,"WILKES BARRE","PA","18703","8002923555","customer.service@primeautocare.com",
"MAGELLAN SERVICE CORPORATION","8220 SAN PEDRO DRIVE NE, SUITE 515",,"ALBUQUERQUE","NM","87113","5053403242","paul@lodestarreinsurance.com","POINT (-106.577541 35.176684)"
"3M COMPANY","3M CENTER, 223-6S-07",,"ST. PAUL","MN","55144-1000","6517337504","eceisenberg@mmm.com",
"HOLZHAUER MOTORS, LTD.","PO BOX 479",,"CHEROKEE","IA","51012","7122255713","danw@holzhauermotors.com",
"UNITED STATES WARRANTY CORPORATION","C/O MEENAN P.A.","PO BOX 11247","TALLAHASSEE","FL","32302","8504254000","kirsten@meenanlawfirm.com",
"NATIONAL AUTO CARE CORPORATION","208 PONTE VEDRA PARK DRIVE",,"PONTE VEDRA BEACH","FL","32082","8005481875","akaelin@nationalautocare.com","POINT (-81.389518 30.247519)"
"ADVANTAGE PLUS, INC.","3401 WEST 41ST STREET",,"SIOUX FALLS","SD","57106","7135803000","gsfslegal@gsfsgroup.com","POINT (-96.76697 43.514833)"
"NWAN, INC.","8370 DOW CIRCLE WEST, SUITE 100",,"STRONGSVILLE","OH","44136","8772221645","legal@naenwan.com","POINT (-81.80613 41.34711)"
"AMERICAN AUTO SHIELD, LTD.","1597 COLE BOULEVARD, SUITE 200",,"LAKEWOOD","CO","80401","3034207488","compliance@americanautoshield.com","POINT (-105.152615 39.743171)"
"DOWC PROVIDER SERVICES LLC","14 COUNTRYSIDE LANE",,"RINGWOOD","NJ","7456","2017771000","danielle.diodato@dowc.com","POINT (-74.262118 41.079467)"
"QC AUTO SALES, INC.","925 W KIMBERLY ROAD",,"DAVENPORT","IA","52806","5633449222","dnelson5@byrider.com","POINT (-90.586389 41.560033)"
"SONSIO INTERNATIONAL, INC.","5630 WARD ROAD",,"ARVADA","CO","80002","3037361100","aalia@sonsio.com","POINT (-105.138002 39.79759)"
"VEHICLE ADMINISTRATIVE SERVICES, LTD","5001 SPRING VALLEY ROAD, SUITE 350W",,"DALLAS","TX","75244","9724551900","compliance@vehicleadminservices.com","POINT (-96.823667 32.939627)"
"WITTROCK MOTOR COMPANY","PO BOX 376",,"CARROLL","IA","51401","7127929234","kevin@wittrockmotors.com",
"COMPREHENSIVE AUTO RESOURCES COMPANY INC.","415 EAGLEVIEW BOULEVARD, SUITE 100",,"EXTON","PA","19341","8779028790","apryl@carcogap.com","POINT (-75.674848 40.060172)"
"BURLINGTON AUTO SALES, L.C.","925 W KIMBERLY ROAD",,"DAVENPORT","IA","52806","3197544220","dnelson5@byrider.com","POINT (-90.586389 41.560033)"
"CLEMONS INC. OF OSKALOOSA","PO BOX 476",,"OSKALOOSA","IA","52577","6416828888","joe@clemonsautogroup.com",
"C.A.R.S. PROTECTION PLUS, INC.","4350 NORTHERN PIKE, SUITE 143",,"MONROEVILLE","PA","15146","8883356838","jason.mcconnell@carspp.com","POINT (-79.747559 40.434305)"
"DENT WIZARD WARRANTY COMPANY, LLC","5630 WARD ROAD",,"ARVADA","CO","80002","5133712373","warrantycompany@dentwizard.com","POINT (-105.138002 39.79759)"
"ASSURANCE EXPRESS, LLC","PO BOX 460",,"O'FALLON","MO","63366","8883456097","cgreen@aegishome.com",
"WESTERN SERVICE CONTRACT CORP.","5515 E LA PALMA AVENUE, SUITE 150",,"ANAHEIM","CA","92807","8005435225","marketing@mcgrawpowersports.com","POINT (-117.795206 33.859971)"
"MOTOR INN, INC.","P.O. BOX 434",,"ESTHERVILLE","IA","51334","7123625834","motorinnautogroup@hotmail.com",
"PABLO CREEK SERVICES, INC.","1776 AMERICAN HERITAGE LIFE DRIVE, BLDG B",,"JACKSONVILLE","FL","32224","8006214871","diana.matthews@allstate.com","POINT (-81.437797 30.255715)"
"THE PENN WARRANTY CORPORATION","PO BOX 1207",,"WILKES BARRE","PA","18703","5702703804","operations@pennwarranty.com",
"AXIOM PRODUCT ADMINISTRATION INC","8561 HIGHWAY NORTH, SUITE 201",,"LAKE SAINT LOUIS","MO","63367","8442520937","svols@axiomadmin.com","POINT (-90.794789 38.761987)"
"CR AUTO SALES, INC.","925 W KIMBERLY ROAD",,"DAVENPORT","IA","52806","3198667179","dnelson5@byrider.com","POINT (-90.586389 41.560033)"
"INTERSTATE NATIONAL DEALER SERVICES, INC.","14755 NORTH OUTER FORTY ROAD, SUITE 400",,"CHESTERFIELD","MO","63017","8009420400","compliance@inds.com","POINT (-90.540448 38.648935)"
"SISKIN ENTERPRISES, INC.","PO BOX 58",,"SALT LAKE CITY","UT","84110","8019745557","diann.pruitt@y2yc.com",
"DRIVESMART AUTO CARE INC","310 MAIN STREET",,"TOMS RIVER","NJ","8753","7325529613","jpanecki@mydrivesmart.com","POINT (-74.198779 39.955944)"
"GLASSPARENCY PRODUCTS, INC.","185 W MONTAUK HWY",,"LINDENHURST","NY","11757","6316033850","diann.pruitt@y2yc.com","POINT (-73.368381 40.676512)"
"CAR CARE NORTH AMERICA, INC.","800 SUPERIOR AVENUE E, 21ST FLOOR",,"CLEVELAND","OH","44114","8007114415","licensing@amtrustgroup.com","POINT (-81.689017 41.502022)"
"TT OF FIRST MILE SERVICES, INC.","505 S. FLAGLER DRIVE, SUITE 700",,"WEST PALM BEACH","FL","33401","8008706856","jblanco@totalwarrantyservices.com","POINT (-80.050611 26.708963)"
"WARRANTY SUPPORT SERVICES LLC.","6010 ATLANTIC BOULEVARD",,"NORCROSS","GA","30071-1303","6782251000","compliance@apcoholdings.com","POINT (-84.228309 33.946562)"
"MOTOR INN OF ALGONA, INC.","1107 NORTH MAIN STREET",,"ALGONA","IA","50511","7123625834","motorinnautogroup@hotmail.com","POINT (-94.217972 43.078654)"
"OLD REPUBLIC INSURED AUTOMOTIVE SERVICES, INC.","PO BOX 35008",,"TULSA","OK","74153-0008","8003313780","licensing@orias.com",
"GUARDIAN MUTUAL, INC.","USWC%PROTECTIVE","14755 NORTH OUTER FORTY ROAD, SUITE 400","CHESTERFIELD","MO","63017-6050","6365365686","nona.schroeder@protective.com",
"SAFE-GUARD PRODUCTS INTERNATIONAL, LLC","TWO CONCOURSE PARKWAY, SUITE 500",,"ATLANTA","GA","30328","8007427896","dwiener@sgintl.com",
"ENTERPRISE FINANCIAL GROUP, INC.","PO BOX 167667",,"IRVING","TX","75016","8005271984","legalteam@efgusa.com",
"PORTFOLIO SERVICES LIMITED, INC.","25541 COMMERCENTRE DRIVE, SUITE 100",,"LAKE FOREST","CA","92630","9497896200","legal@portfolioco.com","POINT (-117.685124 33.664843)"
"HYUNDAI PROTECTION PLAN, INC.","3161 MICHELSON DRIVE, SUITE 1900",,"IRVINE","CA","92612","7143691404","licensing@hcs.com","POINT (-117.843942 33.670766)"
"POWER PROTECT EXTENDED SERVICES, INC.","3161 MICHELSON DRIVE, SUITE 1900",,"IRVINE","CA","92612","7143691404","licensing@hcs.com","POINT (-117.843942 33.670766)"
"NATIONAL WARRANTY CORP.","14755 NORTH OUTER FORTY ROAD, #400",,"CHESTERFIELD","MO","63017","8009240400","compliance@inds.com","POINT (-90.540448 38.648935)"
"A.U.L. CORP.","1250 MAIN STREET, SUITE 300",,"NAPA","CA","94559","8008263207","compliance@aulcorp.com","POINT (-122.286906 38.300964)"
"FIRST SHIELD SERVICE CORPORATION","2345 GRAND BOULEVARD, SUITE 900",,"KANSAS CITY","MO","64108","6782008246","ksampson@archinsurance.com","POINT (-94.581658 39.084886)"
"ALLY SERVICE AGREEMENT CORPORATION","500 WOODWARD AVENUE, 14TH FLOOR",,"DETROIT","MI","48226","3136566139","insurancelicensing@ally.com","POINT (-83.04504 42.329525)"
"ENDURANCE DEALER SERVICES, LLC","C/O MEENAN P.A.","PO BOX 11247","TALLAHASSEE","FL","32302","8504254000","sherry@meenanlawfirm.com",
"NISSAN EXTENDED SERVICES NORTH AMERICA, G.P.","PO BOX 685004  (A-6-G)",,"FRANKLIN","TN","37068-5004","6157251000","todd.drake@nesna.com",
"GWC WARRANTY CORPORATION","6010 ATLANTIC BOULEVARD",,"NORCROSS","GA","30071","6782251000","compliance@apcoholdings.com","POINT (-84.228309 33.946562)"
"MARATHON ADMINISTRATIVE CO., INC.","PO BOX 961",,"O'FALLON","IL","62269","8002058988","cgibson@marathongroup.com",
"CAPITAL PROCESSING SYSTEMS, INC.","PO BOX 241274",,"CHARLOTTE","NC","28224-2773","7045549422","compliance@capital.email",
"CLEMONS INC. OF OTTUMWA","PO BOX 476",,"OTTUMWA","IA","52501","6416828888","joe@clemonsautogroup.com",
"TORQUE GROUP LLC","41 WEST DIVISION STREET, SUITE C",,"EVANSVILLE","IN","47710","8008590590","diann.pruitt@y2yc.com","POINT (-87.565705 37.977419)"
"FIRST ADMINISTRATIVE SERVICES CORP.","PO BOX 29210",,"AUSTIN","TX","78731","5125021496","diann.pruitt@y2yc.com",
"BLACK DIAMOND ADMINISTRATIVE COMPANY LLC","109 E 1ST STREET",,"O'FALLON","IL","62269","6184447392","pkreke@blackdiamondadmin.com",
"PREMIER DEALER SERVICES, INC.","9449 BALBOA AVENUE, SUITE 300",,"SAN DIEGO","CA","92123","8588101504","nfry@pdsadm.com","POINT (-117.126418 32.822226)"
"U.S. AUTO MANAGEMENT LLC","211 MONMOUTH ROAD",,"WEST LONG BRANCH ROAD","NJ","7764","2672914990","diann.pruitt@y2yc.com","POINT (-74.026804 40.292227)"
"CENTURY AUTOMOTIVE SERVICE CORPORATION","6565 AMERICAS PKWY NE, SUITE 1000",,"ALBUQUERQUE","NM","87110","8883380389","compliance@centuryservicecorp.com","POINT (-106.57094 35.100038)"
"INTEGRITY WARRANTY LLC","8822 PRODUCTION LANE, SUITE 106",,"OOLTEWAH","TN","37363","4239109490","diann.pruitt@y2yc.com","POINT (-85.055071 35.10229)"
"EXTENDED PROTECTION ADMINISTRATION, INC.","PO BOX 768",,"WARRENVILLE","IL","60555","6305344114","compliance@agws.com",
"KNOEPFLER CHEVROLET CO.","100 JACKSON STREET",,"SIOUX CITY","IA","51101","7122797100","benk@kchev.com","POINT (-96.401979 42.491858)"
"TAG WARRANTY CORP.","2200 HIGHWAY 121, SUITE 100",,"BEDFORD","TX","76021","8008338801","amynta.licensing@amyntagroup.com","POINT (-97.116727 32.842159)"
"AMERICAN AUTO SHIELD, LLC","1597 COLE BOULEVARD, SUITE 200",,"LAKEWOOD","CO","80401","3034207488","compliance@americanautoshield.com","POINT (-105.152615 39.743171)"
"YAMAHA MOTOR CORPORATION, U.S.A.","6555 KATELLA AVENUE",,"CYPRESS","CA","90630","7145037191","michael_krahelski@yamaha-motor.com","POINT (-118.01799 33.802975)"
"DENT ZONE, INC.","5100 N O'CONNOR BOULEVARD, SUITE100",,"IRVING","TX","75039","5143932220","lgray@nobilisgroup.co","POINT (-96.941978 32.869065)"
