"rec_no","fiscal_year","department","program","expense_category","district","districtname","payment_date","amount","corrected_rec"
"224695014","2016","REVENUE","SAVE-LOCAL OPTION SALES TAX - SCHOOLS","REFUNDS-LOCAL OPTION","0018","ADAIR-CASEY","2015-08-26T00:00:00.000","25206.08",
"226630482","2016","REVENUE","SAVE-LOCAL OPTION SALES TAX - SCHOOLS","REFUNDS-LOCAL OPTION","0018","ADAIR-CASEY","2015-09-28T00:00:00.000","25206.08",
"228355284","2016","REVENUE","SAVE-LOCAL OPTION SALES TAX - SCHOOLS","REFUNDS-LOCAL OPTION","0018","ADAIR-CASEY","2015-10-27T00:00:00.000","25206.09",
"230200864","2016","REVENUE","SAVE-LOCAL OPTION SALES TAX - SCHOOLS","REFUNDS-LOCAL OPTION","0018","ADAIR-CASEY","2015-11-25T00:00:00.000","25965.84",
"228917304","2015","REVENUE","SAVE-LOCAL OPTION SALES TAX - SCHOOLS","REFUNDS-LOCAL OPTION","0018","ADAIR-CASEY","2015-11-06T00:00:00.000","7254.94","TRUE"
"228916226","2015","REVENUE","SAVE-LOCAL OPTION SALES TAX - SCHOOLS","REFUNDS-LOCAL OPTION","0018","ADAIR-CASEY","2015-11-06T00:00:00.000","8943.35","TRUE"
"231898982","2016","REVENUE","SAVE-LOCAL OPTION SALES TAX - SCHOOLS","REFUNDS-LOCAL OPTION","0018","ADAIR-CASEY","2015-12-29T00:00:00.000","25965.84",
"233563360","2016","REVENUE","SAVE-LOCAL OPTION SALES TAX - SCHOOLS","REFUNDS-LOCAL OPTION","0018","ADAIR-CASEY","2016-01-28T00:00:00.000","25965.86",
"235175840","2016","REVENUE","SAVE-LOCAL OPTION SALES TAX - SCHOOLS","REFUNDS-LOCAL OPTION","0018","ADAIR-CASEY","2016-02-25T00:00:00.000","21955.82",
"237009021","2016","REVENUE","SAVE-LOCAL OPTION SALES TAX - SCHOOLS","REFUNDS-LOCAL OPTION","0018","ADAIR-CASEY","2016-03-29T00:00:00.000","21955.82",
"186734002","2014","REVENUE","SAVE-LOCAL OPTION SALES TAX - SCHOOLS","REFUNDS-LOCAL OPTION","0018","ADAIR-CASEY","2013-12-27T00:00:00.000","7342.7",
"206798806","2015","REVENUE","SAVE-LOCAL OPTION SALES TAX - SCHOOLS","REFUNDS-LOCAL OPTION","0018","ADAIR-CASEY","2014-10-29T00:00:00.000","14484.78",
"201363894","2015","REVENUE","SAVE-LOCAL OPTION SALES TAX - SCHOOLS","REFUNDS-LOCAL OPTION","0018","ADAIR-CASEY","2014-08-27T00:00:00.000","10369.25",
"203931988","2015","REVENUE","SAVE-LOCAL OPTION SALES TAX - SCHOOLS","REFUNDS-LOCAL OPTION","0018","ADAIR-CASEY","2014-09-26T00:00:00.000","12780.11",
"207484000","2014","REVENUE","SAVE-LOCAL OPTION SALES TAX - SCHOOLS","REFUNDS-LOCAL OPTION","0018","ADAIR-CASEY","2014-11-06T00:00:00.000","18833.43","TRUE"
"184957896","2014","REVENUE","SAVE-LOCAL OPTION SALES TAX - SCHOOLS","REFUNDS-LOCAL OPTION","0018","ADAIR-CASEY","2013-11-26T00:00:00.000","13185.84",
"191804664","2014","REVENUE","SAVE-LOCAL OPTION SALES TAX - SCHOOLS","REFUNDS-LOCAL OPTION","0018","ADAIR-CASEY","2014-03-27T00:00:00.000","11576.58",
"186732666","2014","REVENUE","SAVE-LOCAL OPTION SALES TAX - SCHOOLS","REFUNDS-LOCAL OPTION","0018","ADAIR-CASEY","2013-12-27T00:00:00.000","13185.84",
"183779802","2014","REVENUE","SAVE-LOCAL OPTION SALES TAX - SCHOOLS","REFUNDS-LOCAL OPTION","0018","ADAIR-CASEY","2013-11-07T00:00:00.000","11101.63",
"190093746","2014","REVENUE","SAVE-LOCAL OPTION SALES TAX - SCHOOLS","REFUNDS-LOCAL OPTION","0018","ADAIR-CASEY","2014-02-26T00:00:00.000","6446.59",
"203933032","2015","REVENUE","SAVE-LOCAL OPTION SALES TAX - SCHOOLS","REFUNDS-LOCAL OPTION","0018","ADAIR-CASEY","2014-09-26T00:00:00.000","10369.25",
"183094260","2014","REVENUE","SAVE-LOCAL OPTION SALES TAX - SCHOOLS","REFUNDS-LOCAL OPTION","0018","ADAIR-CASEY","2013-10-29T00:00:00.000","12744.85",
"193557422","2014","REVENUE","SAVE-LOCAL OPTION SALES TAX - SCHOOLS","REFUNDS-LOCAL OPTION","0018","ADAIR-CASEY","2014-04-28T00:00:00.000","11576.59",
