"district","district_name","fiscal_year","budgeted_enrollment","regular_program","budget_adjustment","district_cost_for_supplementary_weighting","special_education_instrustion_district_cost","teacher_salary_supplement","professional_development_supplement","early_intervention_supplement","preschool","instructional_support_income_surtax","instructional_support_property_tax","educational_improvement","sbrc_modified_supplemental_amount_dropout","management_levy","regular_ppel","voted_ppel_income_surtax","voted_ppel_property_tax","perl","modified_supplemental_amount_sbrc_approved","modified_supplemental_amount_for_special_education_deficit","successful_progression_for_early_readers","teacher_leadership_and_compensation_system_grants","educator_mentoring_and_induction","title_i","title_i_migrant","title_i_neglected","title_i_delinquent","title_ii_part_a","title_iii_english_language_acquisition","_21st_century_learning_centers","title_vi","small_rural_schools_achievement_program_reap","rural_low_income_schools_rlis_program","idea_part_b","carl_d_perkins","total_funding_of_sources_shown","per_pupil_amount_of_funding_sources_shown"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9","AGWSR","2015","596.2","3860991","20723","116859","484793","343638","36970","31903","79575","0","333866","0","94829","100000","109714","387887","57619","0","78013","62381","16814","0","5200","74468","0","0","0","25043","0","0","2665","35162","0","28773","0","6387886","10714"
"18","Adair-Casey","2015","328.4","2090594","118309","134284","289780","207277","20405","22574","38196","76893","106578","0","60406","100000","60316","76893","168025","0","59410","0","14577","0","9100","80749","0","0","0","13009","0","0","1460","21933","0","14854","0","3785622","11527"
"27","Adel DeSoto Minburn","2015","1481.0","9457666","0","109143","1071890","829197","89482","92799","0","0","669603","0","241390","400000","134851","0","408638","0","183012","269926","24204","0","15600","97041","0","0","0","26875","0","0","7895","0","0","66707","0","14195919","9585"
"63","Akron Westfield","2015","520.0","3336840","0","164128","367181","306977","35173","33701","38196","98058","155842","0","141215","250000","57105","0","173045","0","61412","111390","16177","0","6500","49317","0","0","0","13202","0","0","2825","45060","0","24477","0","5487821","10554"
"72","Albert City-Truesdale","2015","202.0","1302294","31942","127399","144735","95247","7838","8096","41379","0","118614","0","0","150000","45099","0","183129","0","54009","9005","13521","0","3900","38787","0","0","0","4763","0","0","480","14600","0","9598","0","2404436","11903"
"81","Albia","2015","1182.6","7528432","0","98221","690902","632360","73309","70507","181431","475081","6513","0","307500","365000","81316","0","0","0","80413","113356","21712","0","5200","185298","0","0","0","56183","0","0","5710","0","0","55724","42498","11076666","9366"
"99","Alburnett","2015","544.5","3466287","0","16482","353822","302709","34973","28684","0","0","267043","0","0","150000","59668","0","121144","0","72012","71442","16382","0","7800","29905","0","0","0","13570","0","0","3185","0","0","24868","0","5039976","9256"
"108","Alden","2015","260.7","1659616","0","135761","189579","154444","14518","19159","89124","128014","9801","0","79787","75000","38090","0","77333","0","49808","0","14012","0","6500","38726","0","0","0","13915","0","0","1200","15122","0","13968","0","2823476","10830"
