"entity_name","email","location","address1","address2","city","state","zip","expiry_date"
"FIAI INC","licensing@crossagency.com",,"PO BOX 1388",,"BANGOR","ME","04402","2025-01-31T00:00:00.000"
"NORTH AMERICAN SENIOR BENEFITS","licensing@nasbcorporate.com",,"PO BOX 492888",,"LAWRENCEVILLE","GA","30049","2025-07-31T00:00:00.000"
"ARVEST INS INC","jparsley@arvest.com",,"PO BOX 333",,"LOWELL","AR","72745","2025-04-30T00:00:00.000"
"ZZZ INSURANCE SERVICES, INC.","christina@zincinsurance.com",,"PO BOX 23129",,"CHAGRIN FALLS","OH","44023","2023-01-31T00:00:00.000"
"NIA, LLC","nelsonagency@mchsi.com",,"PO BOX 279",,"DESOTO","IA","50069","2023-03-31T00:00:00.000"
"INTEGRA FINANCIAL GROUP LTD","mlowery@integrainsuranceservices.com",,"P O BOX 409",,"HUNTINGTON","TX","75949","2024-12-31T00:00:00.000"
"TURNER & ASSOCIATES, INC.","kturner@amfam.com",,"PO BOX 67",,"CRESTON","IA","50801","2023-04-30T00:00:00.000"
"DICK RUPERT INS. AGENCY INC.","dick.rupert.b8gj@statefarm.com","POINT (-95.898475 41.136501)","408 W MISSION AVE",,"BELLEVUE","NE","68005","2025-01-31T00:00:00.000"
"CAREFREE BROKERAGE LLC -000","danielpyle@sbcglobal.net",,"109 N MAIN #205",,"MCPHERSON","KS","67460","2022-11-30T00:00:00.000"
"ELGERSMA AGENCY","jeri@elgersmaagency.com",,"PO BOX 559",,"SANBORN","IA","51248","2023-07-31T00:00:00.000"
"NEW FRONTIER INSURANCE AGENCY, INC.","nfiainc@gmail.com",,"PO BOX 370",,"FORT CALHOUN","NE","68023","2024-12-31T00:00:00.000"
"EUCLID TRANSACTIONAL LLC","jrittberg@euclidtransactional.com",,"ONE PARK   18TH FLOOR",,"NEW YORK","NY","10016","2023-04-30T00:00:00.000"
"MCNERNEY MANAGEMENT GROUP LLC","amy.zellmer@gowithmmg.com","POINT (-92.330132 38.913133)","801 GRAY OAK DR",,"COLUMBIA","MO","65201","2024-11-30T00:00:00.000"
"AFG BROKERAGE LLC","info@afgbrokerage.com",,"PO BOX 430",,"OTHELLO","WA","99344","2025-01-31T00:00:00.000"
"LEAH GRANZOW AGENCY, LLC","lgranzow@amfam.com",,"PO BOX 65",,"BOSCOBEL","WI","53805","2025-10-31T00:00:00.000"
"ETLJ HOLDINGS LLC","FULDAINS@CENTURYTEL.NET",,"PO BOX J",,"FULDA","MN","56131","2024-06-30T00:00:00.000"
"AMERICAN TRUST INS LLC","bwahl@americantrustins.net",,"PO BOX 1657",,"WATERTOWN","SD","57201","2022-11-30T00:00:00.000"
"TJARKS FINANCIAL SERVICE INC","john@aokinsurance.com",,"PO BOX 990",,"PEA RIDGE","AR","72751","2025-03-31T00:00:00.000"
"JENNIFER HAACK AGENCY LLC","jhaack@amfam.com","POINT (-89.355296 43.13021)","3312 PACKERS AVE",,"MADISON","WI","53704","2023-12-31T00:00:00.000"
"LEGACY INSURANCE GROUP -000","djanzen@ligonline.org","POINT (-97.408252 37.278714)","1401 N PARK",,"WELLINGTON","KS","67152","2023-04-30T00:00:00.000"
"SUN VALLEY INSURANCE, INC","millie4svins@hotmail.com",,"PO BOX 5808",,"KETCHUM","ID","83340","2023-02-28T00:00:00.000"
"PREMIER SENIOR MARKETING, LLC","licensing@premiersmi.com",,"PO BOX 41",,"NORFOLK","NE","68701","2025-06-30T00:00:00.000"
"RYZER LLC","info@ryzer.com",,"PO BOX 3868",,"URBANDALE","IA","50323","2024-04-30T00:00:00.000"
"LIGOURI AND ASSOCIATES, INC","ligouri@gmail.com",,"PO BOX 35396",,"DES MOINES","IA","50315","2024-08-31T00:00:00.000"
"DUPACO INSURANCE SERVICES LLC","insurance@dupaco.com",,"PO BOX 179",,"DUBUQUE","IA","52004","2024-12-31T00:00:00.000"
"MARK EMSICK INS AGENCY INC","mark.emsick.g94i@statefarm.com","POINT (-96.228823 41.258814)","109 S 200TH ST",,"ELKHORN","NE","68022","2022-10-31T00:00:00.000"
"NATIONAL CU SERVICES, INC.","tom@finins.net",,"PO BOX 8063",,"MADISON","WI","53708","2023-05-31T00:00:00.000"
"TRAWICK INTERNATIONAL INC","cnolen@trawickinternational.com",,"PO BOX 2284",,"FAIRHOPE","AL","36533","2024-09-30T00:00:00.000"
"KENT INSURANCE AGENCY, INC.","CHRIS@KENT-INSURANCE.COM",,"PO BOX 36451",,"CINCINNATI","OH","45236","2025-08-31T00:00:00.000"
