"company_name","mailing_address1","mailing_address2","mailing_city","mailing_state","mailing_zip","business_phone","business_email","physical_location"
"FIRST AMERICAN HOME WARRANTY CORPORATION","PO BOX 8030",,"WEST HILLS","CA","91309","8183747416","croupe@firstam.com",
"RIPROCK HOLDING, LLC","3460 LOTUS DRIVE, SUITE 150",,"PLANO","TX","75075","2146182211","licensing@stophomerepairs.com","POINT (-96.760198 33.007204)"
"WARRANTY GLOBAL GROUP, INC.","15510 WRIGHT BROTHERS DRIVE",,"ADDISON","TX","75001","8009449069","compliance@globalhomeusa.com","POINT (-96.836748 32.962528)"
"SPHWAZ, INC.","300 MCGAW DRIVE, 2ND FLOOR",,"EDISON","NJ","8837","8005450402","info@serviceplus.com","POINT (-74.334605 40.518821)"
"ONPOINT WARRANTY SOLUTIONS, LLC","9900 CORPORATE CAMPUS DRIVE, SUITE 2050",,"LOUISVILLE","KY","40223","8776684681","diann.pruitt@y2yc.com","POINT (-85.574094 38.265159)"
"SHWP OF VA LLC","7288 HANOVER GREEN DRIVE",,"MECHANICSVILLE","VA","23111","8552673532","mlincer@selecthomewarranty.com","POINT (-77.37593 37.604217)"
"RWS HOME SERVICE CONTRACTS LLC","PO BOX 797",,"CARMEL","IN","46082","3178532088","legal@rwswarranty.com",
"TMI SOLUTIONS, LLC","2200 HIGHWAY 121, SUITE 100",,"BEDFORD","TX","76021","4045664920","amynta.licensing@amyntagroup.com","POINT (-97.116727 32.842159)"
"NRG PROTECTS INC.","910 LOUISIANA STREET, SUITE B200",,"HOUSTON","TX","77002","8884927359","enusinow@nrg.com","POINT (-95.366983 29.759173)"
"TMI HOME WARRANTY, L.L.C.","PO BOX 135",,"BETTENDORF","IA","52722","5633444229","carol@tmihomewarranty.com",
"TWG HOME WARRANTY SERVICES, INC.","11222 QUAIL ROOST DRIVE",,"MIAMI","FL","33157","3123563000","scprenewals@assurant.com","POINT (-80.373759 25.59497)"
"ROADSIDE PROTECT, INC.","1000 W IRVING PARK ROAD, SUITE 150",,"ITASCA","IL","60143","6306225159","servicecontracts@roadsideprotect.com","POINT (-88.028656 41.972551)"
"OLD REPUBLIC HOME PROTECTION COMPANY, INC.","PO BOX 5017",,"SAN RAMON","CA","94583","8004456999","statefilings@orhp.com",
"HSB SECURE SERVICES, INC.","ONE STATE STREET",,"HARTFORD","CT","06102-5410","8607225282","donna_curtis@hsb.com",
"UTILITY SERVICE PARTNERS PRIVATE LABEL, INC.","601 MERRITT 7, 6TH FLOOR",,"NORWALK","CT","6851","8884427349","licensing@homeserveusa.com","POINT (-73.425926 41.149787)"
"FEDERAL WARRANTY SERVICE CORPORATION","11222 QUAIL ROOST DRIVE",,"MIAMI","FL","33157","7707631000","scprenewals@assurant.com","POINT (-80.373759 25.59497)"
"AMERICAN HOME SHIELD OF IOWA, INC.","150 PEABODY PLACE",,"MEMPHIS","TN","38103-3720","8886821043","licensing@ahs.com","POINT (-90.051844 35.14039)"
"TAG WARRANTY CORP.","2200 HIGHWAY 121, SUITE 100",,"BEDFORD","TX","76021","8008338801","amynta.licensing@amyntagroup.com","POINT (-97.116727 32.842159)"
"COMPLETE PROTECTION, INC.","1532 NE 96TH STREET, SUITE A",,"LIBERTY","MO","64068","8009782022","andrea.worley@completehomewarranty.com","POINT (-94.454672 39.266569)"
"4WARRANTY CORPORATION","10751 DEERWOOD PARK BLVD,  SUITE 200",,"JACKSONVILLE","FL","32256","9043509660","legal@fortegra.com","POINT (-81.532878 30.247812)"
"AMERICAN WATER RESOURCES LLC","1 WATER STREET",,"CAMDEN","NJ","8102","6307182788","michele.delacey@amwater.com","POINT (-75.130605 39.948724)"
"BANKERS WARRANTY GROUP, INC.","11101 ROOSEVELT BOULEVARD N.",,"ST. PETERSBURG","FL","33716","8003456282","rlange@centricity.com","POINT (-82.651772 27.873606)"
"HOME BUYERS RESALE WARRANTY CORPORATION","13900 EAST HARVARD AVENUE",,"AURORA","CO","80014","7207476007","liten@2-10.com","POINT (-104.827122 39.671757)"
"NORTH AMERICAN WARRANTY, INC.","11222 QUAIL ROOST DRIVE",,"MIAMI","FL","33157","3123563000","scprenewals@assurant.com","POINT (-80.373759 25.59497)"
"HOME SECURITY ASSOCIATION, INC.","150 PEABODY PLACE",,"MEMPHIS","TN","38103","8003671448","licensing@onlinehsa.com","POINT (-90.051844 35.14039)"
"CNA WARRANTY SERVICES, INC.","151 NORTH FRANKLIN STREET",,"CHICAGO","IL","60606","3128222201","Anthony.Recchia@cna.com","POINT (-87.635367 41.884568)"
"HOMESURE OF AMERICA, INC.","4700 EXCHANGE COURT, SUITE 300",,"BOCA RATON","FL","33431","9548452474","gcross@cinchhs.com","POINT (-80.105894 26.387425)"
"ACHOSA HOME WARRANTY, LLC","5438 LOCKWOOD RIDGE ROAD, SUITE 301",,"BRADENTON","FL","34203","8885092916","info@achosahw.com","POINT (-82.505493 27.444067)"
"AMERICA'S PREFERRED HOME WARRANTY, INC.","5775 ANN ARBOR ROAD",,"JACKSON","MI","49201","8006485006","pwest@aphw.com","POINT (-84.316322 42.276732)"
"HOME WARRANTY OF THE MIDWEST, INC.","PO BOX 1",,"ROCK RAPIDS","IA","51246","7124724949","accounting@homewarrantyinc.com",
"NORTHCOAST WARRANTY SERVICES, INC.","3925 BROOKSIDE PARKWAY",,"ALPHARETTA","GA","30022","2163286100","licensing@amtrustgroup.com","POINT (-84.24793 34.060595)"
"GENERALI WARRANTY SERVICES, LLC","7 WORLD TRADE CENTER",,"NEW YORK","NY","10007","2126027600","skirby@auw.com","POINT (-74.01256 40.71312)"
"LIBERTY HOME GUARD LLC","4101A  AVENUE U",,"BROOKLYN","NY","11234","6465618855","charles@libertyhomeguard.com","POINT (-73.924 40.608863)"
"AUTOGUARD ADVANTAGE CORPORATION","5500 FRANTZ ROAD, SUITE 120",,"DUBLIN","OH","43017","3802047890","compliance@dimtpa.net","POINT (-83.122732 40.077613)"
"CGA SC PROVIDER SERVICES, INC","1776 N SCOTTSDALE ROAD, #2827",,"SCOTTSDALE","AZ","85252","8889080870","licensing@carguardadmin.com","POINT (-111.926315 33.46699)"
"ADVANCE CORE CAPITAL INC.","2248 CENTRAL DRIVE, SUITE 107-290",,"BEDFORD","TX","76021-5843","8004811533","brandon@everythingbreaks.com","POINT (-97.133537 32.843327)"
"IRONWOOD WARRANTY, LLC","400 MISSOURI AVENUE, SUITE 120",,"JEFFERSONVILLE","IN","47130","8337750249","jmesser@ironwoodwarranty.com","POINT (-85.750334 38.271672)"
"LKL PROTECTION COMPANY LLC","3333 BEVERLY ROAD",,"HOFFMAN ESTATES","IL","60179",,"sheila.dunaway@transformco.com","POINT (-88.223536 42.077703)"
"ELITE HOME WARRANTY LLC","533 KINGS HIGHWAY, 2ND FLOOR",,"BROOKLYN","NY","11223","8883548398","regulations@werelite.com","POINT (-73.969683 40.604482)"
"GUARDSMAN US LLC","2200 HIGHWAY 121, SUITE 100",,"BEDFORD","TX","76021","8005160195","amynta.licensing@amyntagroup.com","POINT (-97.116727 32.842159)"
"HOME WARRANTY ADMINISTRATOR OF IOWA, INC.","90 WASHINGTON VALLEY ROAD",,"BEDMINSTER","NJ","7921","8666813656","info@homewarrantyadministrators.com","POINT (-74.634256 40.646901)"
"CAPITAL AUTO PROTECTION SERVICES L.L.C.","812 NORWOOD STREET",,"FORT WORTH","TX","76107","8177517273","diann.pruitt@y2yc.com","POINT (-97.360185 32.75104)"
"ARMIS, LLC","1597 COLE BOULEVARD, SUITE 200",,"LAKEWOOD","CO","80401","3034207488","compliance@americanautoshield.com","POINT (-105.152615 39.743171)"
