"company_name","mailing_address1","mailing_city","mailing_state","mailing_zip","business_phone","business_email","physical_location"
"WESLEY RETIREMENT SERVICES INC","5508 NW 88TH STREET","JOHNSTON","IA","50131","6417915000","cflanagan@wesleylife.org","POINT (-93.740399 41.660247)"
"AASE HAUGEN HOMES, INC.","4 OHIO STREET","DECORAH","IA","52101","5633823603","rose.beardmore@aasehaugen.com","POINT (-91.802838 43.302964)"
"ATHENS WOODS ESTATES INC","1250 HIGHWAY 175 EAST","STRATFORD","IA","50249","5158382080","athens@globalccs.net","POINT (-93.921577 42.267755)"
"BRIO OF JOHNSTON, LLC","5508 NW 88TH STREET","JOHNSTON","IA","50131","5152532500","cflanagan@wesleylife.org","POINT (-93.740399 41.660247)"
"STRAWBERRY POINT LUTHERAN HOME FOR THE AGED","313 ELKADER STREET","STRAWBERRY POINT","IA","52076","5639336037","jdegenford@splh.org","POINT (-91.534232 42.686832)"
"MAYFLOWER HOMES, INC.","616 BROAD STREET","GRINNELL","IA","50112","6412366151","info@mayflowerhomes.com","POINT (-92.724126 41.739584)"
"FAITH LUTHERAN HOME CORPORATION","914 DAVIDSON DRIVE","OSAGE","IA","50461","6417325511","shalbach@faithlutheranhomeosage.com","POINT (-92.807309 43.276647)"
"KEYSTONE NURSING CARE CENTER INC.","250 5TH STREET","KEYSTONE","IA","52249","3194423234","tbruns@keystonecare.org","POINT (-92.198424 42.003636)"
"FRIENDSHIP HAVEN, INC.","420 KENYON ROAD","FORT DODGE","IA","50501","5155736018","kengels@friendshiphaven.org","POINT (-94.205353 42.48546)"
"SIMPSON MEMORIAL HOME, INC.","1000 NORTH MILLER STREET","WEST LIBERTY","IA","52776","3196274775","cthomas@simpsonhome.org","POINT (-91.259056 41.578496)"
"CEDARVIEW RETIREMENT COMMUNITY, INC.","502 N 9TH AVENUE","VINTON","IA","52349","3194726375","rmartin@vghinc.com","POINT (-92.013385 42.173674)"
"EDGEWATER, A WESLEY ACTIVE LIFE COMMUNITY, LLC","5508 NW 88TH STREET","JOHNSTON","IA","50131","5159782400","cflanagan@wesleylife.org","POINT (-93.740399 41.660247)"
"PHS WALNUT RIDGE, LLC","1703 CAMPUS DRIVE","CLIVE","IA","50325","5154571111","abass@preshomes.org","POINT (-93.772157 41.606505)"
"SUNRISE MANOR","5501 GORDON DRIVE","SIOUX CITY","IA","51106","7122763821","kleinj@sunriseretirement.com","POINT (-96.332619 42.475703)"
