"company_name","acronym","phone","license_expiration","contact_name","email_address"
"AMERICAN ASSOCIATION OF INSURANCE SERVICES","AAIS","6304573240","2025-03-01T00:00:00.000",,"kellyg@aaisonline.com"
"AMERICAN NUCLEAR INSURERS","ANI","8606831353","2025-03-01T00:00:00.000",,"bcarvell@nuclearinsurance.com"
"Anywhere Insurance Services, LLC",,"2392878091","2025-03-01T00:00:00.000",,"cassi@sureapp.com"
"ARITY, LLC",,"3123835161","2025-03-01T00:00:00.000",,"ArityRatingServices@arity.com"
"AUTOMOBILE INSURANCE PLANS SERVICE OFFICE","AIPSO","4015281366","2023-03-01T00:00:00.000",,"kelly.harrington@aipso.com"
"CAMBRIDGE MOBILE TELEMATICS INC",,"8606552324","2023-03-01T00:00:00.000",,"npaventi@cmtelematics.com"
"CyberAcuView LLC",,"4066984251","2023-03-01T00:00:00.000",,"monica.lindeen@cyberacuview.com"
"GRINNELL ADVISORY COMPANY L.L.C.","GAC","6412698000","2025-03-01T00:00:00.000",,"rochell.sutfin@grinnellmutual.com"
"HIGHWAY LOSS DATA INSTITUTE","HLDI","7032471611","2025-03-01T00:00:00.000",,"elofton@iihs.org"
"INDEPENDENT STATISTICAL SERVICE, INC.","ISS","8475533614","2025-03-01T00:00:00.000",,"susan.miller@pciaa.com"
"INSURANCE SERVICES OFFICE, INC.","ISO","2014692017","2025-03-01T00:00:00.000",,"Ldalbero@iso.com"
"ISO DATA, INC.",,"2014692017","2025-03-01T00:00:00.000",,"Ldalbero@iso.com"
"Location Inc. Group Corporation",,"8163912754","2025-03-01T00:00:00.000",,"lexi.janssen@firstconsulting.com"
"MILLIMAN APPLESEED LLC",,"4153943726","2023-03-01T00:00:00.000",,"peggy.brinkmann@milliman.com"
"MSOÂ® INC aka THE MUTUAL SERVICE OFFICE INC","MSO","8009356900","2025-03-01T00:00:00.000",,"triggio@msonet.com"
"NATIONAL COUNCIL ON COMPENSATION INS (rating organization)","NCCI","5618931000","2023-03-01T00:00:00.000",,"ncciannualreports@ncci.com"
"NATIONAL CROP INSURANCE SERVICES","NCIS","9136852767","2025-03-01T00:00:00.000",,"thereses@ag-risk.org"
"NATIONAL INDEPENDENT STATISTICAL SERVICES","NISS","3178764321","2025-03-01T00:00:00.000",,"jsams@niss-stat.org"
"OCTO ANALYTICS LLC","OCTO","6193950156","2025-03-01T00:00:00.000",,"Bonny.Sizelove@octotelematics.com"
"On The Money Analytics LLC","OTMA","7149331100","2025-03-01T00:00:00.000",,"sheri.scott@milliman.com"
"ROOT ENTERPRISE, LLC",,"8478485218","2023-03-01T00:00:00.000",,"legal@root-enterprise.com"
"SURETY & FIDELITY ASSOCIATION OF AMERICA","SAA","2024630600","2023-03-01T00:00:00.000",,"pshade@surety.org"
"TNEDICCA, Inc.",,"8168863276","2025-03-01T00:00:00.000",,"Drew.Malcolm@firstconsulting.com"
"West Publishing Company","ODEN","6518483460","2025-03-01T00:00:00.000",,"deborah.rainey@thomsonreuters.com"
