"company_name","company_type","naic_number","iowa_license_number","iowa_domiciled","address1","address2","company_city","company_state","company_zip","telephone","alternate_address1","alternate_address2","alternate_city","alternate_state","alternate_zip","alternate_telephone","business_license_type","ownership_type","fdba","location","alternate_location"
"1891 Financial Life","Fraternal","57568","0394","false","320 South School Street",,"MOUNT PROSPECT","IL","60056-3334","847-342-4500-218","320 South School Street",,"Mount Prospect","IL","60056-3334","847-342-4500-204","Non Iowa Fraternal","Mutual","National Catholic Society of Foresters, Womens Catholic Order of Foresters","POINT (-87.931146 42.059638)","POINT (-87.931146 42.059638)"
"1st Auto & Casualty Insurance Company","Property Casualty","44725","2894","false","PO Box 7988",,"MADISON","WI","53707-7988","608-441-3183","2810 CITY VIEW DRIVE",,"MADISON","WI","53718","608-720-2927","Non Iowa Stock Fire And Casualty Company","Stock",,,"POINT (-89.287816 43.133776)"
"21st Century Casualty Company","Property Casualty","36404","2988","false","21st Century Plaza, 3 Beaver Valley Road",,"WILMINGTON","DE","19803","800-245-2425","3 BEAVER VALLEY ROAD",,"WILMINGTON","DE","19803-1115","818-965-0433","Non Iowa Stock Fire And Casualty Company","Stock",,,"POINT (-75.545273 39.829049)"
"21st Century Centennial Insurance Company","Property Casualty","34789","2093","false","21st Century Plaza, 3 Beaver Valley Road",,"WILMINGTON","DE","19803","800-245-2425","3 BEAVER VALLEY ROAD",,"WILMINGTON","DE","19803-1115","818-965-0433","Non Iowa Stock Fire And Casualty Company","Stock","AIG Centennial Insurance Company, Colonial Penn Insurance Company, Colonial Penn Insurance Company of Philadelphia, GE Property & Casualty Insurance Company",,"POINT (-75.545273 39.829049)"
"21st Century Indemnity Insurance Company","Property Casualty","43974","2648","false","21st Century Plaza, 3 Beaver Valley Road",,"WILMINGTON","DE","19803","800-245-2425","3 BEAVER VALLEY ROAD",,"WILMINGTON","DE","19803-1115","818-965-0433","Non Iowa Stock Fire And Casualty Company","Stock","AIG Indemnity Insurance Company, Colonial Penn Madison Insurance Company, Madison Assurance Company, GE Indemnity Insurance Company",,"POINT (-75.545273 39.829049)"
"21st Century Insurance Company","Property Casualty","12963","2989","false","21st Century Plaza, 3 Beaver Valley Road",,"WILMINGTON","DE","19803","800-245-2425","3 BEAVER VALLEY ROAD",,"WILMINGTON","DE","19803-1115","818-965-0433","Non Iowa Stock Fire And Casualty Company","Stock",,,"POINT (-75.545273 39.829049)"
"21st Century North America Insurance Company","Property Casualty","32220","1962","false","3 Beaver Valley Road",,"WILMINGTON","DE","19803","800-245-2425","6301 OWENSMOUTH AVE",,"WOODLAND HILLS","CA","91367","818-965-0433","Non Iowa Stock Fire And Casualty Company","Stock","American International Insurance Company, Belgian General Insurance Co.","POINT (-75.545273 39.829049)","POINT (-118.601532 34.184535)"
"21st Century Pacific Insurance Company","Property Casualty","23795","1434","false","21st Century Plaza, 3 Beaver Valley Road",,"WILMINGTON","DE","19803-1115","800-245-2425","3 BEAVER VALLEY ROAD",,"WILMINGTON","DE","19803-1115","818-965-0433","Non Iowa Stock Fire And Casualty Company","Stock","American International Pacific Insurance Company, American Fidelity Company",,"POINT (-75.545273 39.829049)"
"21st Century Premier Insurance Company","Property Casualty","20796","0745","false","21st Century Plaza, 3 Beaver Valley Road",,"WILMINGTON","DE","19803","800-245-2425","6301 OWENSMOUTH AVE",,"WOODLAND HILLS","CA","91367","818-965-0433","Non Iowa Stock Fire And Casualty Company","Stock","AIG Premier Insurance Company, Colonial Penn Franklin Insurance Company, National-Ben Franklin Fire Insurance Co., National Insurance Company, National Ben Franklin Insurance Company, GE Casualty Insurance Company",,"POINT (-118.601532 34.184535)"
"4 Ever Life Insurance Company","Life","80985","0902","false","2 Mid America Plaza, Suite 200",,"OAKBROOK TERRACE","IL","60181","630-472-7719","2 Mid America Plaza, Suite 200",,"Oakbrook Terrace","IL","60181","630-472-7749","Non Iowa Stock Life - with A & H","Stock","BCS Life Insurance Company, Health Service, Incorporated","POINT (-87.958747 41.849891)","POINT (-87.958747 41.849891)"
