"company","deviation","effective_date"
"Acadia Insurance Company","-15.00","2013-08-01T00:00:00.000"
"Accident Fund General Ins Co","15.00","2006-10-15T00:00:00.000"
"Accident Fund Ins Co of Am","0.0","2017-01-01T00:00:00.000"
"Accident Fund National Ins Co","-15.00","2012-01-01T00:00:00.000"
"ACE American Insurance Company","0.0","2020-01-01T00:00:00.000"
"ACE Fire Underwriters Insurance Company","-10.0","2016-01-01T00:00:00.000"
"ACE Property and Casualty Insurance Company","0.0","2020-01-01T00:00:00.000"
"Acuity, A Mutual Ins. Co.","-12.500","2009-01-01T00:00:00.000"
"Addison Ins. Co.","15.00","2014-01-01T00:00:00.000"
"Advantage Workers Compensation Ins Co","-15.00","2011-03-01T00:00:00.000"
"AIG Assurance Co","-15.00","2016-01-01T00:00:00.000"
"AIG Property Casualty Co","-7.500","2016-01-01T00:00:00.000"
"AIU Insurance Company","-15.00","1995-10-01T00:00:00.000"
"Allmerica Financial Alliance Insurance Company","15.00","2021-01-01T00:00:00.000"
"Allmerica Financial Benefit Insurance Company","-15.00","2021-01-01T00:00:00.000"
"Allstate Indemnity Co.","-15.00","1984-02-23T00:00:00.000"
"AMCO Insurance Company","15.00","2011-01-01T00:00:00.000"
"American Business & Mercantile Insurance Mutual, Inc.","10.0","2018-01-01T00:00:00.000"
"American Casualty Company of Reading, PA","-7.500","2021-01-01T00:00:00.000"
"American Compensation Ins Co","15.00","2011-01-01T00:00:00.000"
"American Economy Ins. Co.","10.200","2017-01-01T00:00:00.000"
"American Family Ins Co","-10.0","2019-01-01T00:00:00.000"
"American Family Home Ins Co","-15.00","2013-01-01T00:00:00.000"
"American Family Mutual Ins Co","15.00","2019-01-01T00:00:00.000"
"American Fire & Casualty Co.","-15.00","2015-01-01T00:00:00.000"
"American Guarantee & Liability Insurance Company","-15.00","2019-01-01T00:00:00.000"
"American Home Assurance Co.","-7.500","2012-11-01T00:00:00.000"
"American Interstate Insurance Company","15.00","2019-01-01T00:00:00.000"
"American Manufacturers Mutual Ins. Co.","-15.00","1987-02-01T00:00:00.000"
"American Mercury Ins Co","-15.00","1995-03-03T00:00:00.000"
"American Mining Ins Co","-10.0","2014-01-01T00:00:00.000"
"American Modern Home Ins Co","15.00","2013-01-01T00:00:00.000"
"American National Property & Casualty Company","4.00","2021-01-01T00:00:00.000"
"American Physicians Assurance Corp","8.00","2003-03-15T00:00:00.000"
"American Select Insurance Company","15.00","2021-04-01T00:00:00.000"
"American States Ins Co","15.00","2017-01-01T00:00:00.000"
"American Zurich Insurance Company","-15.00","2019-01-01T00:00:00.000"
"Amerisure Ins Co","0.0","2013-03-01T00:00:00.000"
"Amerisure Mutual Ins Co","15.00","2013-03-01T00:00:00.000"
"Amerisure Partners Ins Co","-15.00","2013-03-01T00:00:00.000"
"American Select Insurance Company","15.00","2019-01-01T00:00:00.000"
"AmGUARD Ins Co","-4.00","2014-01-01T00:00:00.000"
"Arch Indemnity Insurance Company","-15.00","2020-09-01T00:00:00.000"
"Arch Property & Casualty Insurance Company","15.00","2020-09-01T00:00:00.000"
"Argonaut Great Central Ins. Co.","-15.00","1995-12-01T00:00:00.000"
"Argonaut-Midwest Ins. Co.","-15.00","1995-10-15T00:00:00.000"
"Assurance Company of America","15.00","2013-01-01T00:00:00.000"
"Atlantic States Ins Co","-15.00","2014-05-01T00:00:00.000"
"Bankers Standard Insurance Company","15.00","2009-01-01T00:00:00.000"
"BancInsure Inc.","-5.00","2012-01-01T00:00:00.000"
"Bearing Midwest Casualty Company","15.00","2018-01-01T00:00:00.000"
"Benchmark Insurance Company","-5.00","2019-10-01T00:00:00.000"
"Berkley Casualty Company","10.0","2020-01-01T00:00:00.000"
"Berkley National Ins Co","-15.00","2010-09-15T00:00:00.000"
"Berkley Regional Ins Co","15.00","2010-09-15T00:00:00.000"
"BITCO National Ins Co","-15.00","2014-12-31T00:00:00.000"
"Bituminous Fire & Marine Ins Co","-15.00","1997-04-01T00:00:00.000"
"BrickStreet Mutual Insurance Company","-5.00","2016-07-01T00:00:00.000"
"Brotherhood Mutual Ins. Co.","3.500","2020-01-01T00:00:00.000"
"California Insurance Company","0.0","2005-10-01T00:00:00.000"
"Camden Fire Ins. Assoc.","-15.00","1996-05-01T00:00:00.000"
"Carolina Casualty Ins. Co.","15.00","2009-08-01T00:00:00.000"
"Celina Mutual Insurance Company (The)","-5.00","2022-01-01T00:00:00.000"
"Chartis Casualty Co.","-13.500","2012-05-01T00:00:00.000"
"Chartis Property Casualty Co.","7.500","2012-11-01T00:00:00.000"
"Chiron Insurance Company","-15.00","2020-01-01T00:00:00.000"
"Chubb Indemnity Insurance Company","-9.00","2022-01-01T00:00:00.000"
"Chubb National Ins Co.","15.00","2022-01-01T00:00:00.000"
"Church Mutual Insurance Company","0.0","2022-01-01T00:00:00.000"
"The Cincinnati Casualty Company","0.0","2021-01-01T00:00:00.000"
"The Cincinnati Indemnity Company","15.00","2014-01-01T00:00:00.000"
"The Cincinnati Insurance Company","-15.00","2005-07-01T00:00:00.000"
"Citizens Insurance Company of America","0.0","2021-01-01T00:00:00.000"
"Colonial American Casualty & Surety Co.","-10.0","2019-01-01T00:00:00.000"
"Columbia Ins. Co.","-15.00","1984-08-15T00:00:00.000"
"Columbia Mutual Ins Co","-15.00","1999-09-01T00:00:00.000"
"Commerce & Industry Ins. Co.","15.00","2009-01-01T00:00:00.000"
"Consolidated Ins Co","10.200","2015-01-01T00:00:00.000"
"Continental Casualty Company","15.00","2012-01-01T00:00:00.000"
"The Continental Insurance Company","-15.00","2021-01-01T00:00:00.000"
"Continental Indemnity Company","0.0","2010-01-01T00:00:00.000"
"Continental Western Ins Co","15.00","2014-03-01T00:00:00.000"
"CorePointe Insurance Company","-10.0","2021-07-01T00:00:00.000"
"Crestbrook Insurance Company","15.00","2020-01-01T00:00:00.000"
"Crum & Forster Ind Co","15.00","2005-07-15T00:00:00.000"
"Cumis Ins. Society Inc","10.0","2002-12-01T00:00:00.000"
"Dakota Truck Underwriters","0.0","2013-01-01T00:00:00.000"
"Deerfield Ins Co","10.0","2013-04-01T00:00:00.000"
"Depositors Insurance Company","-15.00","2005-01-01T00:00:00.000"
"Diamond Ins. Co.","-5.00","2019-01-01T00:00:00.000"
"Diamond State Ins. Co.","10.0","2010-07-15T00:00:00.000"
"Donegal Mutual Ins Co","0.0","2015-01-01T00:00:00.000"
"EastGUARD Ins Co","-11.00","2014-01-01T00:00:00.000"
"Electric Ins. Co.","-15.00","2009-01-01T00:00:00.000"
"EMCASCO Ins Co","-10.0","2018-01-01T00:00:00.000"
"EMC Property & Casualty Co","15.00","2018-01-01T00:00:00.000"
"Employers Assurance Company","-5.00","2021-01-01T00:00:00.000"
"Employers Compensation Insurance Company","5.00","2021-01-01T00:00:00.000"
"Employers Insurance Company of Nevada","-15.00","2019-08-08T00:00:00.000"
"Employers Ins. of Wausau","15.00","2009-01-01T00:00:00.000"
"Employers Mutual Casualty Company","0.0","2018-01-01T00:00:00.000"
"Employers Preferred Ins Co","15.00","2021-01-01T00:00:00.000"
"Executive Risk Indemnity Inc.","-12.00","2019-01-01T00:00:00.000"
"Explorer Ins. Co.","15.00","2017-02-01T00:00:00.000"
"Fairmont Specialty Ins. Co.","-15.00","1998-02-01T00:00:00.000"
