"contract_name","county","city","status","program","primary_funding_agreement","award_date","total_project_cost","capital_investment","direct_assistance_awarded","tax_benefits_awarded","projected_jobs_created","projected_jobs_retained","projected_jobs_other","projected_jobs_total","projected_qualifying_wage","contracted_jobs_created","contracted_jobs_retained","contracted_jobs_other","contracted_jobs_total","contracted_qualifying_wage","verified_total_project_cost","project_completion_date","final_jobs_created","final_jobs_retained","final_jobs_other_created","final_jobs_total","project_maintenance_date","city_location"
"GMT Corporation","Bremer","Waverly","Closed Contracts - Partial","130% Component","11-130-034","2011-06-16T00:00:00.000","32367625","29862625","250000","1591050","32","0","2","34","20.00","32","0","2","34","20.00","35172679","2018-06-30T00:00:00.000","0","0","0","0","2020-06-30T00:00:00.000","POINT (-92.475648 42.725714)"
"Weiler, Inc.","Marion","Knoxville","Closed Contracts - Successful","High Quality Jobs Program","15-HQJDF-051","2015-04-17T00:00:00.000","9155000","6590000","600000","400000","106","0","0","106","18.95","106","0","0","106","18.95","10571726","2018-04-30T00:00:00.000","106","0","0","106","2020-04-30T00:00:00.000","POINT (-93.109494 41.320727)"
"VTI Architectural Products, Inc. dba Creative Composites","Butler","Clarksville","Closed Contracts - Successful","High Quality Jobs Program","16-HQJDF-011","2015-07-17T00:00:00.000","2878000","2878000","18000","126090","6","0","10","16","15.12","6","0","10","16","15.12","12514787","2018-07-31T00:00:00.000","6","0","10","16","2020-07-31T00:00:00.000","POINT (-92.667762 42.784706)"
"UNVERFERTH MANUFACTURING CO., INC.","Butler","Shell Rock","Closed Contracts - Full","High Quality Jobs Program","13-HQJDF-009","2012-09-21T00:00:00.000","8920000","5920000","200000","400000","75","0","0","75","18.36","75","0","0","75","18.36","0","2015-09-30T00:00:00.000","0","0","0","0","2017-09-15T00:00:00.000","POINT (-92.583205 42.710068)"
"Van Meter Inc.","Polk","Urbandale","Closed Contracts - Full","High Quality Jobs Program","12-HQJP-060","2012-06-22T00:00:00.000","6400000","6400000","0","222000","9","0","0","9","23.75","9","0","2","11","23.75","7105146","2016-06-30T00:00:00.000","0","0","0","0","2018-06-30T00:00:00.000","POINT (-93.736522 41.630343)"
"East Iowa Machine Company, Inc. (EIMco, Inc.)","Dubuque","Farley","Closed Contracts - Successful","High Quality Jobs Program","12-HQJP-057","2012-06-22T00:00:00.000","3950000","3950000","0","188000","11","0","0","11","20.52","11","0","0","11","20.52","4867300","2015-06-30T00:00:00.000","11","0","0","11","2017-06-30T00:00:00.000","POINT (-91.006179 42.442761)"
"New Heaven Chemicals Inc.","Worth","Manly","Closed Contracts - Full","High Quality Jobs Program","15-HQJDF-001","2014-07-18T00:00:00.000","8850000","8850000","128000","402000","16","0","0","16","14.79","16","0","0","16","14.79","0","2017-07-31T00:00:00.000","0","0","0","0","2019-07-31T00:00:00.000","POINT (-93.201091 43.284017)"
"Hirschbach Motor Lines, Inc.","Sioux","Sioux City","Closed Contracts - Successful","Targeted Jobs","14-TJWTC-006","2014-04-18T00:00:00.000","850000","850000","0","144000","25","0","0","25","16.14","16","0","0","16","16.14","864260","2017-04-30T00:00:00.000","16","0","0","16","2019-04-30T00:00:00.000","POINT (-96.406436 42.496323)"
"3M Company","Marion","Knoxville","Closed Contracts - Successful","High Quality Jobs Program","16-HQJDF-013","2015-08-21T00:00:00.000","25875000","25875000","360000","2411300","9","52","0","61","19.49","9","52","0","61","19.49","28108527","2018-08-31T00:00:00.000","9","52","0","61","2020-08-31T00:00:00.000","POINT (-93.109494 41.320727)"
"Global Aquaculture Supply Company LLC","Sioux","Alton","Closed Contracts - Full","High Quality Jobs Program","17-HQJDF-052","2017-05-19T00:00:00.000","3322000","3262000","64000","184020","8","0","0","8","19.60","8","0","0","8","19.60","0","2020-05-31T00:00:00.000","0","0","0","0","2022-05-31T00:00:00.000","POINT (-96.010439 42.987123)"
"Seaberg Industries, Inc.","Scott","Davenport","Closed Contracts - Successful","130% Component","11-130-036","2011-06-16T00:00:00.000","3318000","2960000","176000","149000","20","0","92","112","22.07","20","0","92","112","22.07","3717713","2014-06-30T00:00:00.000","20","0","27","47","2016-06-30T00:00:00.000","POINT (-90.577036 41.523527)"
"Jacobson Warehouse Company, Inc.","Polk","Clive","Closed Contracts - Partial","High Quality Jobs Program","14-HQJDF-002","2013-09-20T00:00:00.000","2300000","2200000","250000","0","10","98","0","108","24.32","10","98","0","108","24.32","2458072","2016-09-30T00:00:00.000","0","88","0","88","2018-09-30T00:00:00.000","POINT (-93.774947 41.607094)"
"ACP Inc.","Linn","Cedar Rapids","Closed Contracts - Successful","Enterprise Zone","07-EZ-033","2006-12-21T00:00:00.000","16595050","11560000","300000","873195","58","0","54","112","0.00","106","0","0","106","13.40","20907000","2009-12-31T00:00:00.000","106","0","0","106","2019-12-31T00:00:00.000","POINT (-91.669808 41.978122)"
