"company_name","closedon","form_numbers","effective_date","approved","approvedyn","negotiated","negotiated_1","type_of_product","proposed","increase"
"Genworth Life Insurance Company","2022-08-09T00:00:00.000","Form 7030 PCS II 
IIID/INS modified this as a 2-year phase of the original proposal:  
Limited:   18.5% for year 1 and year 2
Lifetime:  26.7% for year 1 and year 2
Average  = 22.6% for year 1 and year 2","2022-10-01T00:00:00.000","Yes","Approved","0.226","true","Long Term Care","0.503","0.226"
"Genworth Life Insurance Company","2022-08-09T00:00:00.000","Form 7035 Choice I
IIID/INS modified this as a 2-year phase of the original proposal:  
Limited:   31.5% for year 1 and year 2
Lifetime:  34.4% for year 1 and year 2
Average = 32.67% for year 1 and year 2","2022-10-01T00:00:00.000","Yes","Approved","0.327","true","Long Term Care","0.762","0.327"
"Continental General Insurance Company","2022-08-02T00:00:00.000","Forms L-6000 and LTC-020201 -- This is NOT a rate increase, but rather updated projections related to a previous filing","2022-08-02T00:00:00.000","Yes","Approved","0.0","false","Long Term Care","0.0","0.0"
"Catholic Order of Foresters","2022-07-28T00:00:00.000","FCLTC-IA -- IID and INS modifided this proposal to be spead out over 2-years, i.e., 17.9% in year 1 followed by 5.34% in year 2.  IID also negotiated a 5-year rate guarantee for this block.",,"Yes","Approved","0.179","true","Long Term Care","0.241","0.179"
"CMFG Life Insurance Company","2022-07-28T00:00:00.000","Forms 2002-LTC-FAC(IA),
2002-LTCR-HCC -- This is NOT a rate increase, but rather updated projections related to previous filings","2022-07-28T00:00:00.000","was *filed*","was *filed*","0.0","false","Long Term Care","0.0","0.0"
"CMFG Life Insurance Company","2022-07-28T00:00:00.000","Forms 2006-LTC-COMP(IA) -- This is NOT a rate increase, but rather updated projections related to a previous filing","2022-07-28T00:00:00.000","was *filed*","was *filed*","0.0","false","Long Term Care","0.0","0.0"
"Metropolitan Life Insurance Company","2022-07-25T00:00:00.000","Similar to the extraterritorial rate increases on policies residing in Iowa on groups sitused in another state -- IID has  granted similar exemptions Iowa law/reg.  Rate increase jurisdiction belongs to the issuing state for group policies.",,"was *filed*","was *filed*","0.0","false","Long Term Care","0.0","0.0"
"John Hancock Life Insurance Company","2022-07-22T00:00:00.000","Forms LTC-91 et al --   IID / INS negotiated; the  increase is eliminated if policyholder accepts reduced inflation landing spot.  If not eligible,, a max increase of 44% is spread over 2-years.  (44% is the max -- some are less of course)",,"Yes","Approved","0.291","true","Long Term Care","0.328","0.291"
"John Hancock Life Insurance Company","2022-07-22T00:00:00.000","LTC-03 IA (2007) --   IID / INS negotiated a 2-year phase of the increase. The increase is eliminated if the policyholder accepts a reduced inflation landing spot or shared cost option.  Otherwise, 40.67% (the max increase) is spread over 2-years.",,"Yes","Approved","0.221","true","Long Term Care","0.221","0.221"
"MedAmerica Insurance Company","2022-07-21T00:00:00.000","Form 14515-IA -- IID/INS mod proposal to 17.9% max in Y1 x 10.2% max in Y2 = 22.6% avg",,"Yes","Approved","0.179","true","Long Term Care","0.553","0.179"
"MedAmerica Insurance Company","2022-07-21T00:00:00.000","Form SPL-336 -- IID/INS mod proposal to 17.9% max in Y1 x 10.2% max in Y2 = 22.2% avg",,"Yes","Approved","0.179","true","Long Term Care","0.442","0.179"
"MedAmerica Insurance Company","2022-07-21T00:00:00.000","GRP11-342-MA-IA-401  --IID/INS mod proposal to 17.9% max in Y1 x 10.2% max in Y2 = 29.3% avg",,"Yes","Approved","0.179","true","Long Term Care","1.64","0.179"
"MedAmerica Insurance Company","2022-07-21T00:00:00.000","Lead SERFF Form LTC-LBP8-MA-IA -- HTQ11-338-MA-IA-401 et al --  IID/INS mod proposal to 17.9% max Y1 x 10.2% max Y2 = 27.8% avg",,"Yes","Approved","0.179","true","Long Term Care","2.009","0.179"
"MedAmerica Insurance Company","2022-07-18T00:00:00.000","Forms FC-336-IA et al  -- IID / INS modified this proposal from 7.49% avg (with 20% max) down to 7% avg (with 17.9% max)","2022-07-01T00:00:00.000","Yes","Approved","0.07","true","Long Term Care","0.075","0.07"
"Prudential Insurance Company of America","2022-06-17T00:00:00.000","Group LTC 83500 BFW 5005,
GRP 83500 COV 5022 
This is NOT a rate increase, but rather updated projections related to previous filings","2022-06-17T00:00:00.000","*filed*","*filed*","0.0","false","Long Term Care","0.0","0.0"
"Metropolitan Life Insurance Company","2022-06-14T00:00:00.000","3 rate filings for group long term care -- sitused in Washington D.C. -- IID has no authority and will accept D.C. rates.","2023-01-01T00:00:00.000","was *filed*","was *filed*","0.1","false","Long Term Care","0.1","0.1"
"Wellmark Blue Cross Blue Shield of Iowa","2022-06-10T00:00:00.000","Rate filing proposal applies to all pre-ACA compliant SG grandfathered and transitional business with effective renewal dates of 10/01/2022, 11/01/2022 and 12/01/2022","2022-10-01T00:00:00.000","Yes","Approved","0.08","false","Small Group","0.08","0.08"
"Wellmark Health Plan of Iowa","2022-06-10T00:00:00.000","Rate filing proposal applies to all pre-ACA compliant SG grandfathered and transitional business with effective renewal dates of 10/01/2022, 11/01/2022 and 12/01/2022","2022-10-01T00:00:00.000","Yes","Approved","0.05","false","Small Group","0.05","0.05"
