"company_name","form_numbers","effectivedate","a","b","c","d","e","f","g","h","i","j","hdf","hdg","hdj","k","l","m","n"
"Guarantee Trust Life Insurance Company","9242A et al","2022-08-10T00:00:00.000",,,,"0.0",,,,,,,"0.0",,,,,,
"Sterling Investors Life Insurance Company","Modernized MIPPA plans SIMSAA2010IA","2022-12-01T00:00:00.000","0.075","0.075","0.075","0.075",,"0.075","0.075",,,,"0.075",,,,,"0.075","0.075"
"Garden State Life Insurance Company","MACRA Medicare supplement -- Form GSL-2020","2023-01-01T00:00:00.000","0.06",,,,,"0.06","0.06",,,,,"0.06",,,,"0.06","0.06"
"Independence American Insurance Company","Modernized MIPPA plans IACMSP19G et al","2022-10-01T00:00:00.000","0.129",,,,,"0.129","0.129",,,,,,,,,,"0.08"
"United of Omaha Life Insurance Company","1992 Legacy:  UM1, UM4, and UM5","2022-10-01T00:00:00.000","0.0",,,,,"0.06","0.12",,,,,,,,,,
"United of Omaha Life Insurance Company","2010 MIPPA plans:  UM20, UM23, UM24, UM30","2022-10-01T00:00:00.000","0.0",,,,,"0.06","0.12",,,,,,,,,"0.0","0.045"
"Wellmark Blue Cross Blue Shield of Iowa","Modernized MIPPA & Preferred  (A, D, F, HDF, G, and N)","2023-01-01T00:00:00.000","0.067",,,"0.063",,"0.065","0.059",,,,"0.065",,,,,,"0.086"
"Wellmark Blue Cross Blue Shield of Iowa","Plan A et al","2023-01-01T00:00:00.000","0.063",,"0.061",,"0.081","0.047",,,,"0.061",,,,,"0.061",,
"Gerber Life Insurance Company","MTG20, MTG24, MTG25, MTG1, MTG4, MTG5","2022-10-01T00:00:00.000","0.02",,,,,"0.02","0.02",,,,,,,,,,
"Medico Insurance Company","2010 Individual MIPPA plans: MMS2021G et al","2023-02-01T00:00:00.000","0.07",,,,,"0.07","0.07",,,,"0.07","0.07",,,,,"0.07"
"Sterling Life Insurance Company","2011 MIPPA SEL F (09/11) et al","2023-02-04T00:00:00.000","0.065","0.065","0.065",,,"0.065","0.065",,,,,,,"0.065",,,"0.065"
"Sterling Life Insurance Company","2011 MIPPA STD F (09/11) et al","2023-02-04T00:00:00.000","0.065","0.065","0.065",,,"0.065","0.065",,,,,,,"0.065",,,"0.065"
"Central States Indemnity Co. of Omaha","* MIPPA plans -- CSMSFA2010IA - Plan F et al","2022-11-01T00:00:00.000","0.169","0.169","0.169",,,"0.169","0.169",,,,,,,,,,"0.169"
"ManhattanLife Insurance and Annuity Company","MIPPA --  MCMSAGIA et al","2022-08-01T00:00:00.000","0.09",,,,,"0.1","0.09",,,,,,,,,,"0.02"
"Combined Insurance Company of America","14971 et al","2022-10-01T00:00:00.000",,,"0.06","0.06",,"0.06",,,,,,,,,,,
"Combined Insurance Company of America","2010 MIPPA - Forms 14903, 14905, and 14906 (A, F, and N)","2022-10-01T00:00:00.000",,,,,,"0.09",,,,,,,,,,,
"Bankers Fidelity Assurance Company","2010 MIPPA B 21492 et al","2023-03-01T00:00:00.000","0.119",,,,,"0.119","0.119",,,,,"0.0",,"0.0",,,"0.119"
"Mutual of Omaha Insurance Company","M181 (Agency)","2022-09-01T00:00:00.000","0.0",,"0.025","0.025",,"0.025",,,"0.0",,,,,,,,
"Mutual of Omaha Insurance Company","M500 (Group)","2022-09-01T00:00:00.000","0.0",,,"0.0",,"0.01",,,,,,,,,,,
"United World Life Insurance Company","WM1 et al","2022-09-01T00:00:00.000","0.033","0.033","0.033","0.033",,"0.08","0.033",,,,,,,,,,
"Loyal American Life Insurance Company","Modernized MIPPA --Loyal-MS-AA-A et al","2023-01-01T00:00:00.000","0.065","0.065","0.065","0.065",,"0.065","0.065",,,,,,,,,,"0.065"
"Everest Reinsurance Company","Modernized MIPPA plans EVMSFA2016GN - Plan F et al","2022-10-01T00:00:00.000",,,"0.155",,,"0.155","0.155",,,,,,,,,,"0.155"
"Great American Life Insurance Company","1MSPA0001 et al","2023-01-19T00:00:00.000",,,,,,"0.065","0.065",,,,,,,,,,
"Government Personnel Mutual Life Insurance Company","Modernized Forms MTP20 (Plan A) et al","2022-08-01T00:00:00.000","0.09",,"0.09",,,"0.09","0.09",,,,,,,,,,"0.09"
"Cigna National Health Insurance Company (PKA Central Reserve Life)","3MA et al","2023-01-19T00:00:00.000",,,,,,"0.065","0.065",,,"0.065",,,,,,,
"Forethought Life Insurance Company","Forms MSF10-01 et al (A, C, F, G, and N)","2022-10-01T00:00:00.000","0.095",,"0.095",,,"0.095","0.095",,,,,,,,,,"0.095"
"Epic Life Insurance Company (The)","2010  MIPPA plans (open) 28147-088-1601 (Plan F) et al","2023-01-01T00:00:00.000","0.0",,"0.0",,,"0.0",,,,,,,,"0.0","0.0","0.0","0.0"
"Epic Life Insurance Company (The)","2010 MIPPA plans (E10524-1101 (closed)","2023-01-01T00:00:00.000","0.0",,"0.0",,,"0.0",,,,,,,,"0.0","0.0","0.0","0.0"
"Sentinel Security Life Insurance Company","SSLA10ST-OT etl al","2022-11-01T00:00:00.000","0.09","0.09","0.09","0.09",,"0.115","0.09",,,,,,,,,,"0.09"
"Sanford Health Plan","Select & Standard Plans (MIPPA Plans)","2023-01-01T00:00:00.000","0.0","0.0","0.0","0.0",,"0.0","0.0",,,,"0.0",,,"0.0","0.0","0.0","0.0"
"UniCare Life & Health Insurance Company","Standard F IA0001F et al","2022-09-01T00:00:00.000","0.025",,,,,"0.025",,,,,"0.025",,,,"0.025",,
"Manhattan Life Insurance Company (The)","2010 MIPPA_Plans MLMSAAIA et al","2022-10-01T00:00:00.000","0.15",,"0.15",,,"0.15","0.15",,,,,,,,,,"0.15"
"Bankers Life & Casualty Company","GP-A11, GP-A12","2023-01-01T00:00:00.000",,,"0.0","0.0",,"0.0","0.04",,,,,,,,,,
"Provident American Life and Health Insurance Company","3PA(IA) et al","2022-12-06T00:00:00.000","0.05",,,"0.05",,"0.05","0.05","0.05","0.05","0.05","0.05",,,,,,
"Globe Life and Accident Insurance Company","GGRMSP","2022-07-01T00:00:00.000","0.05","0.05","0.05",,,"0.05",,,,,,,,,,,
"Medico Insurance Company","2010 Individual MIPPA plans: MSA70F-C et al (A, F, G, N)","2022-11-01T00:00:00.000",,,,,,"0.06",,,,,,,,,,,"0.06"
"American Retirement Life Insurance Company","MIPPA *agent* plans:  AR-MS-AA-F-AI et al","2022-10-01T00:00:00.000",,,,,,"0.15","0.15",,,,,,,,,,"0.15"
"American Retirement Life Insurance Company","MIPPA *direct* plans:  AR-MSD-AA-F-IA et al","2022-10-01T00:00:00.000",,,,,,"0.15","0.15",,,,,,,,,,"0.15"
"National Guardian Life Insurance Company","NGLMEDF10ST-OT et al (MIPPA A, F, G, and N)","2022-07-01T00:00:00.000","0.07",,,,,"0.07","0.07",,,,,,,,,,"0.07"
"Liberty Bankers Life Insurance Company","2010 MIPPA plans LBL-MSF-POL-0416 et al","2022-09-01T00:00:00.000","0.129",,,,,"0.129","0.149",,,,,,,,,,"0.125"
"United Insurance Company of America","2010 MIPPA U-MCS-20-G-IA et al","2022-08-01T00:00:00.000","0.1",,,"0.1",,"-0.16","0.07",,,,,"-0.224",,,,,"-0.131"
"Central States Health & Life Co. of Omaha","Group - S48 C","2022-07-01T00:00:00.000","0.0","0.0","0.0","0.0",,"0.0",,,,,,,,,,,
"Central States Health & Life Co. of Omaha","Individual S25","2022-07-01T00:00:00.000","0.06","0.06","0.06","0.06",,"0.06","0.06",,,,"0.06",,,,,,
"Philadelphia American Life Insurance Company","2010 Standardized MIPPA -- MS.F.PAL.IA et al","2022-09-01T00:00:00.000","0.06",,"0.06",,,"0.08","0.06",,,,"0.0",,,,,,"0.08"
"Great Southern Life Insurance Company","MIPPA GAA500-A, F, High-F, G, and N","2022-08-01T00:00:00.000","0.149",,,,,"0.13","0.149",,,,"0.0",,,,,,"0.149"
"Standard Life and Accident Insurance Company","124A-192B","2022-11-01T00:00:00.000","0.0","0.0","0.0","0.0","0.0","0.0","0.0",,,,"0.066",,,,,,
"Capitol Life Insurance Company","MIPPA CAPMSP19G et al","2022-08-01T00:00:00.000","0.08",,,,,"0.07","0.08",,,,,,,,,,"0.06"
"Omaha Insurance Company","2010 MIPPA --  	NM20, NM23, NM24","2022-07-01T00:00:00.000","0.0",,,,,"0.05","0.15",,,,"0.068",,,,,,"0.1"
"State Mutual Insurance Company","2010 MIPPA plans  (Direct and Brokerage)","2022-07-01T00:00:00.000",,,,,,"0.045","0.045",,,,"0.045",,,,,,"0.045"
"Bankers Fidelity Life Insurance Company","2010 MIPPA B 21092","2022-05-04T00:00:00.000","0.149",,,,,"0.149","0.149",,,,"0.049",,,,,,"0.149"
"Bankers Fidelity Life Insurance Company","B 9200 et al","2022-05-04T00:00:00.000",,,,,"0.0","0.09","0.0",,"0.09",,,,,,,,
"Elips Life Insurance Company","Forms ELI-MSG-A-2021-001 et al","2022-08-01T00:00:00.000","0.04",,,,,"0.02","0.04",,,,,"0.0",,,,,"0.0"
