"record_id","offender_number","prison_start_date","prison_admit_type","supervising_intitution","supervision_status","sex","race_ethnicity","education_category","education","age","offense_code","offense_class","offense_description","offense_type","offense_subtype","months_served","record_date"
"0","20843990","2016-01-28T00:00:00.000","New Admit New Sentence","Iowa Medical & Classification Center","Prison","Male","White","HS Diploma or Equivelent","HiSET/GED","25.78781656","711.2","B Felony","ROBBERY 1ST DEGREE, 85%","Violent","Robbery","78.39344262","2022-08-15T12:12:28.000"
"1","20644829","2019-08-09T00:00:00.000","Return No New Sentence","Iowa Medical & Classification Center","Prison","Male","White","HS Diploma or Equivelent","HiSET/GED","28.96646133","124.401(1)(b)(7)","B Felony","Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg","Drug","Trafficking","36.13114754","2022-08-15T12:12:28.000"
"2","240149","1993-05-18T00:00:00.000","New Admit New Sentence","Iowa Medical & Classification Center","Prison","Male","White","HS Diploma or Equivelent","HiSET/GED","50.7871321","707.2","A Felony","MURDER 1ST DEGREE","Violent","Murder/Manslaughter","350.1967213","2022-08-15T12:12:28.000"
"3","20779931","2021-12-21T00:00:00.000","New Admit New Sentence","Iowa Correctional Institution for Women","Prison","Female","White","Post-Secondary","Bachelor's Degree","36.98562628","712.3","C Felony","ARSON 2ND DEGREE","Property","Arson","7.770491803","2022-08-15T12:12:28.000"
"4","3056576","2022-02-24T00:00:00.000","New Admit New Sentence","Iowa Medical & Classification Center","Prison","Male","White","HS Diploma or Equivelent","HiSET/GED","58.02600958","716.4","D Felony","CRIMINAL MISCHIEF 2ND DEGREE","Property","Vandalism","5.639344262","2022-08-15T12:12:28.000"
"5","19401488","2022-06-21T00:00:00.000","New Admit New Sentence","Iowa Medical & Classification Center","Prison","Male","White",,,"30.65297741","709.11(3)","Aggravated Misdemeanor","Asslt. to Commit Sex Abuse/No Inj.-10 Yr. Special Sentence","Violent","Sex","1.803278689","2022-08-15T12:12:28.000"
"6","19297604","2022-06-16T00:00:00.000","New Admit New Sentence","Iowa Medical & Classification Center","Prison","Male","Black","No HS Diploma","Tenth","21.81519507","710.10(4)","Aggravated Misdemeanor","Attempt to Entice Away a Minor","Violent","Kidnap","1.967213115","2022-08-15T12:12:28.000"
"7","19545419","2022-03-15T00:00:00.000","New Admit New Sentence","Iowa Correctional Institution for Women","Prison","Female","White","HS Diploma or Equivelent","HiSET/GED","44.34223135","124.401(1)(b)(7)","B Felony","Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg","Drug","Trafficking","5.016393443","2022-08-15T12:12:28.000"
"8","19218293","2022-05-27T00:00:00.000","Return No New Sentence","Iowa Medical & Classification Center","Prison","Male","Hispanic","No HS Diploma","Eighth","37.28405202","714.2(1)","C Felony","THEFT 1ST DEGREE","Property","Theft","2.62295082","2022-08-15T12:12:28.000"
"9","19297343","2021-08-25T00:00:00.000","New Admit New Sentence","Iowa Medical & Classification Center","Prison","Male","White","HS Diploma or Equivelent","High School Diploma","30.08898015","714.2(2)","D Felony","THEFT 2ND DEGREE","Property","Theft","11.63934426","2022-08-15T12:12:28.000"
"10","20332526","2022-06-07T00:00:00.000","New Admit New Sentence","Iowa Medical & Classification Center","Prison","Male","Black","HS Diploma or Equivelent","HiSET/GED","38.73511294","124.401(5)(c)","D Felony","Possession of a Controlled Substance - 3rd and subsequent","Drug","Drug Possession","2.262295082","2022-08-15T12:12:28.000"
"11","20450261","2021-11-15T00:00:00.000","Return No New Sentence","Iowa Medical & Classification Center","Prison","Male","White","HS Diploma or Equivelent","HiSET/GED","39.52635181","713.6A","D Felony","BURGLARY 3RD DEGREE","Property","Burglary","8.950819672","2022-08-15T12:12:28.000"
"12","19122548","2021-05-27T00:00:00.000","Return No New Sentence","Iowa Medical & Classification Center","Prison","Male","Black","HS Diploma or Equivelent","HiSET/GED","28.49007529","908.5(2)B","D Felony","SPECIAL SENTENCE REVOCATION - 2ND/SUB.","Other","Other Criminal","14.59016393","2022-08-15T12:12:28.000"
"13","19670924","2021-02-02T00:00:00.000","New Admit New Sentence","Iowa Medical & Classification Center","Prison","Male","White","HS Diploma or Equivelent","HiSET/GED","20.58042437","709.8(1)","C Felony","Lascivious Acts With A Child - Life Special Sentence","Violent","Sex","18.32786885","2022-08-15T12:12:28.000"
"14","19737287","2020-06-01T00:00:00.000","New Admit New Sentence","Iowa Correctional Institution for Women","Prison","Female","Asian or Pacific Islander","HS Diploma or Equivelent","High School Diploma","28.13689254","707.6A(2)","C Felony","VEH. HOMICIDE/U-INF. OR RECKLESS","Violent","Murder/Manslaughter","26.39344262","2022-08-15T12:12:28.000"
"15","2416883","2011-05-19T00:00:00.000","New Admit New Sentence","Iowa Medical & Classification Center","Prison","Male","White","HS Diploma or Equivelent","HiSET/GED","51.90965092","711.3","C Felony","ROBBERY 2ND DEGREE, 85%","Violent","Robbery","134.6229508","2022-08-15T12:12:28.000"
"16","3432839","2022-02-16T00:00:00.000","New Admit New Sentence","Iowa Medical & Classification Center","Prison","Male","Black","HS Diploma or Equivelent","HiSET/GED","57.77138946","707.3","B Felony","MURDER - 2ND DEGREE,  85%","Violent","Murder/Manslaughter","5.901639344","2022-08-15T12:12:28.000"
"17","19272656","2021-10-19T00:00:00.000","Return No New Sentence","Iowa Correctional Institution for Women","Prison","Female","White","HS Diploma or Equivelent","High School Diploma","37.28952772","124.401(5)(c)","D Felony","Possession of a Controlled Substance - 3rd and subsequent","Drug","Drug Possession","9.836065574","2022-08-15T12:12:28.000"
"18","20873732","2020-07-20T00:00:00.000","New Admit New Sentence","Iowa Medical & Classification Center","Prison","Male","White","HS Diploma or Equivelent","HiSET/GED","41.07323751","713.6A","D Felony","BURGLARY 3RD DEGREE","Property","Burglary","24.78688525","2022-08-15T12:12:28.000"
"19","18650195","2022-07-12T00:00:00.000","New Admit New Sentence","Iowa Medical & Classification Center","Prison","Male","White","HS Diploma or Equivelent","HiSET/GED","30.92402464","709.4(1)(a)","C Felony","Sex Abuse 3rd-By Force, 1st Off-Life Special Sentence","Violent","Sex","1.114754098","2022-08-15T12:12:28.000"
"20","20470955","2021-09-20T00:00:00.000","Return No New Sentence","Iowa Medical & Classification Center","Prison","Male","White","Post-Secondary","Vocational Program/Technical Certificate","43.27720739","908.5(2)B","D Felony","SPECIAL SENTENCE REVOCATION - 2ND/SUB.","Other","Other Criminal","10.78688525","2022-08-15T12:12:28.000"
"21","3430589","2006-04-25T00:00:00.000","New Admit New Sentence","Iowa Medical & Classification Center","Prison","Male","White","HS Diploma or Equivelent","High School Diploma","42.16290212","707.11","B Felony","ATTEMPTED MURDER, 85%","Violent","Murder/Manslaughter","195.2786885","2022-08-15T12:12:28.000"
"22","19129889","2021-08-03T00:00:00.000","Return No New Sentence","Iowa Medical & Classification Center","Prison","Male","White","HS Diploma or Equivelent","HiSET/GED","23.52635181","708.4(2)","D Felony","WILLFUL INJURY - CAUSING BODILY INJURY","Violent","Assault","12.03278689","2022-08-15T12:12:28.000"
"23","18552185","2017-03-31T00:00:00.000","New Admit New Sentence","Iowa Medical & Classification Center","Prison","Male","White","Post-Secondary","Associate's Degree","36.73374401","709.2","A Felony","Sex Abuse 1st Degree- Life Special Sentence","Violent","Sex","64.36065574","2022-08-15T12:12:28.000"
"24","19575716","2022-07-29T00:00:00.000","New Admit New Sentence","Iowa Medical & Classification Center","Prison","Male","White","No HS Diploma","Unknown","26.59548255","714.2(3)","Aggravated Misdemeanor","THEFT 3RD DEGREE","Property","Theft","0.5573770492","2022-08-15T12:12:28.000"
"25","3204938","2007-04-06T00:00:00.000","New Admit New Sentence","Iowa Medical & Classification Center","Prison","Male","White","HS Diploma or Equivelent","High School Diploma","52.04654346","707.6A(1)","B Felony","HOMICIDE BY VEH-31.261(3), 85%","Violent","Murder/Manslaughter","183.9344262","2022-08-15T12:12:28.000"
"26","20145896","2022-02-02T00:00:00.000","Return No New Sentence","Iowa Medical & Classification Center","Prison","Male","White","No HS Diploma","Eighth","31.9835729","714.2(2)","D Felony","THEFT 2ND DEGREE","Property","Theft","6.360655738","2022-08-15T12:12:28.000"
"27","18513068","2012-12-26T00:00:00.000","New Admit New Sentence","Iowa Medical & Classification Center","Prison","Female","Black","HS Diploma or Equivelent","High School Diploma","60.38603696","713.3","B Felony","BURGLARY 1ST DEGREE","Violent","Other Violent","115.3770492","2022-08-15T12:12:28.000"
"28","20304914","2021-07-19T00:00:00.000","Return No New Sentence","Iowa Medical & Classification Center","Prison","Male","White","HS Diploma or Equivelent","HiSET/GED","49.9192334","714.2(1)","C Felony","THEFT 1ST DEGREE","Property","Theft","12.85245902","2022-08-15T12:12:28.000"
"29","18593399","2022-07-14T00:00:00.000","New Admit New Sentence","Iowa Medical & Classification Center","Prison","Male","White","No HS Diploma","Eighth","20.21629021","708.4(2)","D Felony","WILLFUL INJURY - CAUSING BODILY INJURY","Violent","Assault","1.049180328","2022-08-15T12:12:28.000"
"30","165647","2019-10-02T00:00:00.000","Return No New Sentence","Iowa Correctional Institution for Women","Prison","Female","Black","HS Diploma or Equivelent","HiSET/GED","60.53661875","715A.2(2)(a)","D Felony","FORGERY","Property","Forgery/Fraud","34.36065574","2022-08-15T12:12:28.000"
"31","19261967","2018-07-12T00:00:00.000","New Admit New Sentence","Iowa Medical & Classification Center","Prison","Male","White","No HS Diploma","Eleventh","23.81382615","710.10(1)","C Felony","ENTICING AWAY A MINOR","Violent","Kidnap","49.01639344","2022-08-15T12:12:28.000"
