"record_id","offender_number","record_date","fiscal_year_revoked","revocation_type","status_revoked","sex","race_ethnicity","age","offense_code","offense_class","offense_description","offense_type","offense_subtype"
"10075","20541680","2016-12-16T00:00:00.000","2017","4. Revoked - New Arrest ICON","Parole","Male","White","34","706A.4","B Felony","VIOLATION OF 706A.2 - ONGOING CRIMINAL CONDUCT","Other","Other Criminal"
"10074","18594236","2013-08-06T00:00:00.000","2014","4. Revoked - New Arrest ICON","Parole","Female","Black","21","714.2(2)","D Felony","THEFT 2ND DEGREE","Property","Theft"
"10073","18705182","2021-11-10T00:00:00.000","2022","1. Revoked - New Felony/Aggravated Misdemeanor Conviction","Parole","Male","White","36","124.401(1)(b)(7)","B Felony","Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg","Drug","Trafficking"
"10072","618935","2019-11-26T00:00:00.000","2020","3. Revoked - New Arrest Pending or Found Not Guilty","Parole","Male","White","53","124.401(5)(c)","D Felony","Possession of a Controlled Substance - 3rd and subsequent","Drug","Drug Possession"
"10071","18276179","2016-10-10T00:00:00.000","2017","5. Revoked - Other Violation (No New Arrest)","Parole","Male","Black","26","711.3","C Felony","ROBBERY 2ND DEGREE, 85%","Violent","Robbery"
"10070","247430","2019-12-05T00:00:00.000","2020","1. Revoked - New Felony/Aggravated Misdemeanor Conviction","Parole","Male","White","48","902.8,B","Felony - Enhancement to Original Penalty","HABITUAL OFFENDER (PROPERTY)","Other","Other Criminal"
"10069","20315291","2021-02-09T00:00:00.000","2021","1. Revoked - New Felony/Aggravated Misdemeanor Conviction","Special Sentence","Male","White","23","903B.2","Special Sentence 2005","Special Supervision Sentence-D Felony or Misdemeanors/10 years parole","Violent","Sex"
"10068","3400949","2015-08-18T00:00:00.000","2016","4. Revoked - New Arrest ICON","Parole","Female","White","32","124.411","Felony - Enhancement to Original Penalty","Cont Subst-2nd or Subseq-not to exceed 3X Penalty Enh","Drug","Trafficking"
"10067","3477272","2012-07-11T00:00:00.000","2013","5. Revoked - Other Violation (No New Arrest)","Parole","Female","White","29","715A.2(2)(a)","D Felony","FORGERY","Property","Forgery/Fraud"
"10066","18274445","2019-08-16T00:00:00.000","2020","3. Revoked - New Arrest Pending or Found Not Guilty","Parole","Male","American Indian or Alaska Native","30","714.2(1)","C Felony","THEFT 1ST DEGREE","Property","Theft"
"10065","20453243","2020-11-17T00:00:00.000","2021","1. Revoked - New Felony/Aggravated Misdemeanor Conviction","Parole","Male","Black","33","902.8,B","Felony - Enhancement to Original Penalty","HABITUAL OFFENDER (PROPERTY)","Other","Other Criminal"
"10064","20321789","2019-08-20T00:00:00.000","2020","5. Revoked - Other Violation (No New Arrest)","Parole","Male","White","36","321J.2(C)","D Felony","OPER VEH WH INT (OWI)/CLASS D FEL/3RD AND SUBSEQUENT OFF","Public Order","OWI"
"10063","18357128","2014-01-28T00:00:00.000","2014","4. Revoked - New Arrest ICON","Parole","Male","Black","18","708.4(1)","C Felony","WILLFUL INJURY - CAUSING SERIOUS INJURY","Violent","Assault"
"10062","20731760","2018-11-30T00:00:00.000","2019","1. Revoked - New Felony/Aggravated Misdemeanor Conviction","Parole","Male","Black","37","708.4(1)","C Felony","WILLFUL INJURY - CAUSING SERIOUS INJURY","Violent","Assault"
"10061","98846","2012-11-01T00:00:00.000","2013","1. Revoked - New Felony/Aggravated Misdemeanor Conviction","Parole","Male","White","43","321J.2(C)","D Felony","OPER VEH WH INT (OWI)/CLASS D FEL/3RD AND SUBSEQUENT OFF","Public Order","OWI"
"10060","18145670","2016-05-13T00:00:00.000","2016","3. Revoked - New Arrest Pending or Found Not Guilty","Parole","Female","Black","30","124.401(1)(c)(6)","C Felony","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm","Drug","Trafficking"
"10059","19719422","2020-11-06T00:00:00.000","2021","4. Revoked - New Arrest ICON","Parole","Male","White","38","713.5","C Felony","BURGLARY 2ND DEGREE","Property","Burglary"
"10058","3150875","2019-06-03T00:00:00.000","2019","2. Revoked - Serious Misdemeanor New Conviction","Special Sentence","Male","White","42","903B.2","Special Sentence 2005","Special Supervision Sentence-D Felony or Misdemeanors/10 years parole","Violent","Sex"
"10057","2103353","2018-10-09T00:00:00.000","2019","5. Revoked - Other Violation (No New Arrest)","Parole","Male","White","58","902.8,B","Felony - Enhancement to Original Penalty","HABITUAL OFFENDER (PROPERTY)","Other","Other Criminal"
"10056","20839700","2021-12-10T00:00:00.000","2022","1. Revoked - New Felony/Aggravated Misdemeanor Conviction","Parole","Male","White","49","124.401(4)(b)","D Felony","Proh Acts-Poss Prod Int for Mfg Cont Subst-Pseudoephedrine","Drug","Trafficking"
"10055","19157819","2017-09-22T00:00:00.000","2018","3. Revoked - New Arrest Pending or Found Not Guilty","Parole","Male","White","31","124.401(5)(c)","D Felony","Possession of a Controlled Substance - 3rd and subsequent","Drug","Drug Possession"
"10054","3259844","2012-07-17T00:00:00.000","2013","1. Revoked - New Felony/Aggravated Misdemeanor Conviction","Parole","Female","White","38","124.401(1)(c)(6)","C Felony","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm","Drug","Trafficking"
"10053","19691213","2019-04-09T00:00:00.000","2019","1. Revoked - New Felony/Aggravated Misdemeanor Conviction","Parole","Male","White","27","713.6A","D Felony","BURGLARY 3RD DEGREE","Property","Burglary"
"10052","3363080","2016-02-03T00:00:00.000","2016","1. Revoked - New Felony/Aggravated Misdemeanor Conviction","Parole","Male","White","36","124.411","Felony - Enhancement to Original Penalty","Cont Subst-2nd or Subseq-not to exceed 3X Penalty Enh","Drug","Trafficking"
"10051","131576","2017-12-05T00:00:00.000","2018","1. Revoked - New Felony/Aggravated Misdemeanor Conviction","Parole","Male","White","48","713.3","B Felony","BURGLARY 1ST DEGREE","Violent","Other Violent"
"10050","2415179","2012-07-09T00:00:00.000","2013","9. Other","Parole","Male","White","46","713.5","C Felony","BURGLARY 2ND DEGREE","Property","Burglary"
"10049","20025869","2016-03-07T00:00:00.000","2016","4. Revoked - New Arrest ICON","Parole","Male","White","27","124.401(1)(c)(8)","C Felony","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Other Subst Sched I, II, III","Drug","Trafficking"
