"record_id","offender_number","start_date","supervision_type","supervising_judicial_district","supervising_facility","supervision_status","sex","race_ethnicity","education_category","education","age","offense_code","offense_class","offense_description","offense_type","offense_subtype","months_served","report_date"
"0","18809618","2022-02-23T00:00:00.000","CBC Field","Sixth Judicial District","Self-Supervised","Probation","Male","Unknown",,,"33.2073922","321J.2(2)(a)","Serious Misdemeanor","OPERATING WHILE UNDER THE INFLUENCE 1ST OFFENSE","Public Order","OWI","5.672131148","2022-08-15T12:07:15.000"
"1","19296203","2020-09-23T00:00:00.000","CBC Field","Second Judicial District","Fort Dodge Probation/Parole Office","Probation","Male","White","HS Diploma or Equivelent","High School Diploma","33.08692676","124.401(1)(c)(6)","C Felony","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm","Drug","Trafficking","22.6557377","2022-08-15T12:07:15.000"
"2","20045555","2020-11-17T00:00:00.000","CBC Field","Sixth Judicial District","Self-Supervised","Probation","Male","Hispanic",,,"63.6550308","321J.2(2)(b)","Aggravated Misdemeanor","OPERATING WHILE UNDER THE INFLUENCE 2ND OFFENSE","Public Order","OWI","20.85245902","2022-08-15T12:07:15.000"
"3","19566992","2019-03-22T00:00:00.000","CBC Field","Seventh Judicial District","Scott County Field Services I","Probation","Male","Black","HS Diploma or Equivelent","High School Diploma","29.81793292","155A.23-E","C Felony","Prohibited Acts, Sched I, II, III Controlled Substance","Drug","Drug Possession","40.72131148","2022-08-15T12:07:15.000"
"4","18293729","2022-06-26T00:00:00.000","CBC Field","Sixth Judicial District","Johnson County Field Services","Pretrial Release With Supervision","Female","Black",,,"23.90965092","708.7(2)","Aggravated Misdemeanor","HARASSMENT / 1ST DEG.","Violent","Assault","1.639344262","2022-08-15T12:07:15.000"
"5","19428830","2018-05-18T00:00:00.000","CBC Field","First Judicial District","Oelwein Field Services","Parole","Male","White","HS Diploma or Equivelent","HiSET/GED","49.80150582","124.401(1)(b)(7)","B Felony","Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg","Drug","Trafficking","50.81967213","2022-08-15T12:07:15.000"
"6","20631647","2022-06-22T00:00:00.000","CBC Field","Second Judicial District","Marshalltown Probation/Parole Office","Probation","Male","White","HS Diploma or Equivelent","High School Diploma","25.01300479","321J.2(2)(b)","Aggravated Misdemeanor","OPERATING WHILE UNDER THE INFLUENCE 2ND OFFENSE","Public Order","OWI","1.770491803","2022-08-15T12:07:15.000"
"7","18613631","2022-07-12T00:00:00.000","CBC Field","Fifth Judicial District","Polk County Court House","Probation","Female","White","HS Diploma or Equivelent","Special Education Diploma","32.76112252","124.401(5)(d)","Serious Misdemeanor","Possession of a Controlled Substance - Marijuana - 1st Offense","Drug","Drug Possession","1.114754098","2022-08-15T12:07:15.000"
"8","18345773","2022-07-29T00:00:00.000","CBC Field","Fifth Judicial District","SOTP Unit","Probation","Male","White","HS Diploma or Equivelent","High School Diploma","21.28952772","709.8(2)","C Felony","Lascivious Acts With Child-Life Special Sentence","Violent","Sex","0.5573770492","2022-08-15T12:07:15.000"
"9","19354316","2021-12-22T00:00:00.000","CBC Field","Second Judicial District","Mason City Probation/Parole Office","Interstate Compact Probation","Male","Hispanic","HS Diploma or Equivelent","High School Diploma","43.27173169","7099","NCIC Virtual Code","NCIC - CRIMES AGAINST PERSON","Other","Other Criminal","7.737704918","2022-08-15T12:07:15.000"
