"contract_name","county","city","status","program","primary_funding_agreement","award_date","total_project_cost","capital_investment","direct_assistance_awarded","tax_benefits_awarded","projected_jobs_created","projected_jobs_retained","projected_jobs_other","projected_jobs_total","projected_qualifying_wage","contracted_jobs_created","contracted_jobs_retained","contracted_jobs_other_created","contracted_jobs_total","contracted_qualifying_wage","project_completion_jobs_created","project_completion_jobs_retained","project_completion_jobs_other_created","project_completion_jobs_total","total_project_cost_project_completion","project_completion_date","reported_jobs_created","reported_jobs_retained","reported_jobs_other_created","reported_jobs_total","date_reported","project_maintenance_date","city_location"
"Eagle Engineering","Iowa","Eldridge","Under contract - In Performance","High Quality Jobs Program","19-HQJTC-009","2018-10-19T00:00:00.000","7000000","7000000","0","442500","30","0","20","50","19.30","30","0","20","50","19.30","0","0","0","0","7000000","2021-10-31T00:00:00.000","0","0","0","0","2021-10-31T00:00:00.000","2023-10-31T00:00:00.000","POINT (-90.583004 41.654668)"
"Kunkel & Associates, Inc.","Dubuque","Dubuque","Under contract - In Maintenance","High Quality Jobs Program","15-HQJDF-014","2014-10-17T00:00:00.000","2450000","2400000","128000","173000","16","0","2","18","20.06","16","0","2","18","20.06","16","0","2","18","2450000","2018-10-31T00:00:00.000","16","0","2","18","2018-10-31T00:00:00.000","2020-10-31T00:00:00.000","POINT (-90.667314 42.505512)"
"Harbor Group Inc.","Sioux","Sioux Center","Under contract - In Performance","High Quality Jobs Program","18-HQJDF-033","2018-01-19T00:00:00.000","14130000","14130000","375000","969100","50","0","0","50","19.85","50","0","0","50","19.85","0","0","0","0","14130000","2021-01-31T00:00:00.000","0","0","0","0","2021-01-31T00:00:00.000","2023-01-31T00:00:00.000","POINT (-96.175468 43.075969)"
"WebFilings, LLC","Story","Ames","Under contract - In Maintenance","High Quality Jobs Program","14-HQJDF-009","2013-10-18T00:00:00.000","78240000","15500000","5000000","500000","700","0","0","700","22.01","111","0","0","111","22.01","111","0","0","111","78240000","2018-10-31T00:00:00.000","111","0","0","111","2018-10-31T00:00:00.000","2020-10-31T00:00:00.000","POINT (-93.620181 42.026802)"
"3M Company","Marion","Knoxville","Under contract - In Performance","High Quality Jobs Program","18-HQJDF-030","2018-01-19T00:00:00.000","63100000","63100000","220000","2610000","30","21","0","51","20.76","45","21","0","66","20.76","0","0","0","0","63100000","2021-05-31T00:00:00.000","0","0","0","0","2021-05-31T00:00:00.000","2023-05-31T00:00:00.000","POINT (-93.109494 41.320727)"
"Frontier Natural Products Co-op","Benton","Norway","Under contract - In Performance","High Quality Jobs Program","18-HQJTC-020","2017-10-20T00:00:00.000","3380000","3180000","0","185700","1","7","1","9","24.91","1","7","1","9","24.91","1","7","1","9","3380000","2020-10-31T00:00:00.000","1","7","1","9","2020-10-31T00:00:00.000","2022-10-31T00:00:00.000","POINT (-91.919516 41.902886)"
"Norman Scott Inc. dba In Tolerance Contract Manufacturing","Linn","Cedar Rapids","Under contract - In Performance","High Quality Jobs Program","21-HQJTC-013","2020-11-20T00:00:00.000","3447000","3425000","0","160500","6","0","0","6","23.20","6","0","0","6","23.20","0","0","0","0","3447000","2023-11-30T00:00:00.000","0","0","0","0","2023-11-30T00:00:00.000","2025-11-30T00:00:00.000","POINT (-91.669808 41.978122)"
"Hy-Vee, Inc.","Polk","Ankeny","Under contract - In Performance","High Quality Jobs Program","18-HQJTC-003","2017-07-21T00:00:00.000","64390000","64390000","0","2130325","9","0","200","209","27.92","9","0","200","209","27.92","0","0","0","0","64390000","2020-07-31T00:00:00.000","0","0","0","0","2020-07-31T00:00:00.000","2022-07-31T00:00:00.000","POINT (-93.600414 41.72508)"
"TrueNorth Companies, LC & TrueNorth Real Estate, LC","Linn","Cedar Rapids","Under contract - In Maintenance","High Quality Jobs Program","16-HQJTC-022","2015-10-16T00:00:00.000","3938327","3735327","0","205676","57","0","0","57","23.62","39","0","0","39","23.62","39","0","0","39","3938327","2018-10-31T00:00:00.000","39","0","0","39","2018-10-31T00:00:00.000","2020-10-31T00:00:00.000","POINT (-91.669808 41.978122)"
"Ajinomoto Heartland, Inc. and Ajinomoto Health & Nutrition North America, Inc.","Monroe","Eddyville","Under contract - In Maintenance","High Quality Jobs Program","16-HQJTC-019","2015-10-16T00:00:00.000","42000000","42000000","0","1770000","10","0","0","10","15.73","10","0","0","10","15.73","10","0","0","10","42000000","2018-10-31T00:00:00.000","10","0","0","10","2018-10-31T00:00:00.000","2020-10-31T00:00:00.000","POINT (-92.630188 41.158178)"
