"budget_line_code","fiscal_year","function","dept_name","fund","appropriation","budget_unit_code","budget_unit","object_class","gov_recommendation","dept_request","adopted_budget"
"2010-0295-064H-00964HA-05A","2010","Agriculture and Natural Resources","Agriculture and Land Stewardship","0295 - Environment First Fund","064H - Southern Iowa Conservation Authority","00964HA","Southern Iowa Conservation Authority","05A - Appropriation","300000","300000","300000"
"2010-0295-066H-01266HA-05A","2010","Agriculture and Natural Resources","Agriculture and Land Stewardship","0295 - Environment First Fund","066H - Loess Hills Dev/Cons Auth FY02","01266HA","Loess Hills Conservation Authority","05A - Appropriation","600000","600000","600000"
"2010-0295-070H-00970HA-05A","2010","Agriculture and Natural Resources","Agriculture and Land Stewardship","0295 - Environment First Fund","070H - Agricultural Drainage Wells","00970HA","Agricultural Drainage Wells","05A - Appropriation","1500000","1500000","1500000"
"2010-0295-071H-00971HA-05A","2010","Agriculture and Natural Resources","Agriculture and Land Stewardship","0295 - Environment First Fund","071H - Watershed Protection Fund","00971HA","Flood Water Erosion Control","05A - Appropriation","2550000","2550000","2550000"
"2010-0295-072H-00972HA-05A","2010","Agriculture and Natural Resources","Agriculture and Land Stewardship","0295 - Environment First Fund","072H - Farm Management Demonstration","00972HA","Farm Management Demonstration","05A - Appropriation","850000","1700000","800000"
"2010-0295-075H-00975HA-05A","2010","Agriculture and Natural Resources","Agriculture and Land Stewardship","0295 - Environment First Fund","075H - Cost Share","00975HA","Soil Cost Share","05A - Appropriation","7000000","7000000","7000000"
"2010-0295-076H-00976HA-05A","2010","Agriculture and Natural Resources","Agriculture and Land Stewardship","0295 - Environment First Fund","076H - Conservation Reserve Program","00976HA","Conservation Reserve Program","05A - Appropriation","1500000","3000000","1500000"
"2010-0295-079H-00979HA-05A","2010","Agriculture and Natural Resources","Agriculture and Land Stewardship","0295 - Environment First Fund","079H - Conservation Reserve Enhance","00979HA","Conservation Reserve Enhance","05A - Appropriation","1500000","2000000","1500000"
"2010-0295-003H-54303HA-05A","2010","Capital","Natural Resources Capital","0295 - Environment First Fund","003H - GIS Information for Watershed","54303HA","Gis Information For Watershed","05A - Appropriation","195000","195000","195000"
"2010-0295-004H-54304HA-05A","2010","Capital","Natural Resources Capital","0295 - Environment First Fund","004H - Water Quality Monitoring","54304HA","Water Quality Monitoring","05A - Appropriation","2955000","2955000","2955000"
"2010-0295-005H-54305HA-05A","2010","Capital","Natural Resources Capital","0295 - Environment First Fund","005H - Volunteers and Keepers of Land","54305HA","Volunteers  & Keepeers Of Land","05A - Appropriation","100000","100000","100000"
"2010-0295-016H-54316HA-05A","2010","Capital","Natural Resources Capital","0295 - Environment First Fund","016H - Animal Feeding Operations","54316HA","Animal Feeding Operations","05A - Appropriation","360000","360000","360000"
"2010-0295-017H-54317HA-05A","2010","Capital","Natural Resources Capital","0295 - Environment First Fund","017H - Air Quality Monitoring - ambient","54317HA","Air Quality Monitoring -Livestock","05A - Appropriation","625000","325000","425000"
"2010-0295-032H-54332HA-05A","2010","Capital","Natural Resources Capital","0295 - Environment First Fund","032H - Water Quality Protection","54332HA","Water Quality Protection","05A - Appropriation","500000","500000","500000"
"2010-0295-041H-54341HA-05A","2010","Capital","Natural Resources Capital","0295 - Environment First Fund","041H - REAP","54341HA","Reap","05A - Appropriation","18000000","18000000","18000000"
"2010-0295-048H-54348HA-05A","2010","Capital","Natural Resources Capital","0295 - Environment First Fund","048H - Water Quantity","54348HA","Water Quantity","05A - Appropriation","495000","495000","495000"
"2010-0295-049G-54349GA-05A","2010","Capital","Natural Resources Capital","0295 - Environment First Fund","049G - Global Climate Change","54349GA","Global Climate Change Council","05A - Appropriation","0","150000","0"
"2010-0295-050H-54350HA-05A","2010","Capital","Natural Resources Capital","0295 - Environment First Fund","050H - Resource Conservation and Development","54350HA","Resource Conservation & Development","05A - Appropriation","0","150000","250000"
"2010-0295-052H-54352HA-05A","2010","Capital","Natural Resources Capital","0295 - Environment First Fund","052H - Park Operations & Maintenance","54352HA","Park Operations & Maintain.","05A - Appropriation","2470000","2470000","2470000"
"2010-0295-0F58-269F580-05A","2010","Economic Development","Economic Development Authority","0295 - Environment First Fund","0F58 - Env DED Brownfields","269F580","Env Ded Brownfields","05A - Appropriation","500000","500000","500000"
"2011-0295-064H-00964HA-05A","2011","Agriculture and Natural Resources","Agriculture and Land Stewardship","0295 - Environment First Fund","064H - Southern Iowa Conservation Authority","00964HA","Southern Iowa Conservation Authority","05A - Appropriation","250000","300000","250000"
"2011-0295-066H-01266HA-05A","2011","Agriculture and Natural Resources","Agriculture and Land Stewardship","0295 - Environment First Fund","066H - Loess Hills Dev/Cons Auth FY02","01266HA","Loess Hills Conservation Authority","05A - Appropriation","500000","600000","500000"
"2011-0295-070H-00970HA-05A","2011","Agriculture and Natural Resources","Agriculture and Land Stewardship","0295 - Environment First Fund","070H - Agricultural Drainage Wells","00970HA","Agricultural Drainage Wells","05A - Appropriation","1000000","1500000","1250000"
"2011-0295-071H-00971HA-05A","2011","Agriculture and Natural Resources","Agriculture and Land Stewardship","0295 - Environment First Fund","071H - Watershed Protection Fund","00971HA","Flood Water Erosion Control","05A - Appropriation","1500000","2550000","1500000"
"2011-0295-072H-00972HA-05A","2011","Agriculture and Natural Resources","Agriculture and Land Stewardship","0295 - Environment First Fund","072H - Farm Management Demonstration","00972HA","Farm Management Demonstration","05A - Appropriation","750000","800000","750000"
"2011-0295-075H-00975HA-05A","2011","Agriculture and Natural Resources","Agriculture and Land Stewardship","0295 - Environment First Fund","075H - Cost Share","00975HA","Soil Cost Share","05A - Appropriation","7000000","7000000","1050000"
"2011-0295-076H-00976HA-05A","2011","Agriculture and Natural Resources","Agriculture and Land Stewardship","0295 - Environment First Fund","076H - Conservation Reserve Program","00976HA","Conservation Reserve Program","05A - Appropriation","1221600","1500000","1300000"
