"contract_name","county","status","primary_funding_agreement","award_date","total_project_cost","capital_investment","direct_assistance_awarded","tax_benefits_awarded","projected_jobs_created","projected_jobs_retained","projected_jobs_other","projected_jobs_total","projected_qualifying_wage","contracted_jobs_created","contracted_jobs_retained","contracted_jobs_other","contracted_jobs_total","contracted_qualifying_wage","project_completion_date","final_jobs_created","final_jobs_retained","final_jobs_other_created","final_jobs_total","project_maintenance_date","city_location"
"ACP Inc.","Linn","Closed Contracts - Successful","07-EZ-033","2006-12-21T00:00:00.000","16595050","11560000","300000","873195","58","0","54","112","0.00","106","0","0","106","13.40","2009-12-31T00:00:00.000","106","0","0","106","2019-12-31T00:00:00.000","POINT (-91.669808 41.978122)"
"Cargill Kitchen Solutions","Cerro Gordo","Closed Contracts - Successful","11-EZ-030","2011-05-19T00:00:00.000","12450000","12400000","0","562600","20","0","0","20","13.62","20","0","0","20","13.62","2014-05-31T00:00:00.000","20","0","0","20","2016-05-31T00:00:00.000","POINT (-93.201042 43.153621)"
"Custom-Pak, Inc.","Clinton","Closed Contracts - Partial","05-EZ-029","2005-05-20T00:00:00.000","1812720","1700000","98000","197500","30","0","0","30","0.00","30","0","0","30","11.19","2008-10-31T00:00:00.000","0","0","0","0","2018-10-31T00:00:00.000","POINT (-90.190747 41.838935)"
"Revstone Casting Fairfield (RCF), LLC","Jefferson","Closed Contracts - Successful","11-EZ-023","2011-02-17T00:00:00.000","1515000","1515000","0","347317","52","0","0","52","12.79","52","0","0","52","12.79","2014-05-31T00:00:00.000","52","0","0","52","2016-05-31T00:00:00.000","POINT (-91.965049 41.006634)"
"Liebovich/PDM Steel & Aluminum Company","Linn","Closed Contracts - Successful","06-EZ-015","2005-10-20T00:00:00.000","3855800","3775000","0","466208","12","0","0","12","0.00","12","0","0","12","13.07","2008-10-31T00:00:00.000","12","0","0","12","2018-10-31T00:00:00.000","POINT (-91.669808 41.978122)"
"Mid-American Glass, Inc.","Scott","Closed Contracts - Successful","13-EZ-013","2013-03-22T00:00:00.000","4080000","4000000","0","400000","13","3","0","16","15.17","13","3","0","16","15.17","2016-03-31T00:00:00.000","13","3","0","16","2018-03-31T00:00:00.000","POINT (-90.577036 41.523527)"
"Data Dimensions Corporation","Clinton","Closed Contracts - Successful","13-EZ-012","2013-03-22T00:00:00.000","6218700","5901350","0","162000","10","0","120","130","14.03","10","0","120","130","14.03","2016-03-31T00:00:00.000","10","0","100","110","2018-03-31T00:00:00.000","POINT (-90.190747 41.838935)"
"HNI Corporation","Muscatine","Closed Contracts - Successful","13-EZ-004","2012-09-21T00:00:00.000","20860000","20160000","0","293400","10","0","0","10","14.31","10","0","0","10","14.31","2016-09-30T00:00:00.000","10","0","0","10","2018-09-30T00:00:00.000","POINT (-91.044853 41.420448)"
"Cambrex Charles City, Inc.","Floyd","Closed Contracts - Successful","07-EZ-012","2006-09-21T00:00:00.000","11161154","3145000","165000","1171866","22","11","0","33","0.00","21","0","0","21","11.27","2009-09-30T00:00:00.000","21","11","0","32","2019-09-30T00:00:00.000","POINT (-92.672524 43.066415)"
"REG Mason City, LLC","Cerro Gordo","Closed Contracts - Successful","14-EZ-001","2013-07-19T00:00:00.000","20998086","20998086","0","1609710","18","0","0","18","13.25","18","0","0","18","13.25","2016-07-31T00:00:00.000","18","0","0","18","2018-07-31T00:00:00.000","POINT (-93.201042 43.153621)"
"Rousselot Dubuque, Inc.","Dubuque","Closed Contracts - Successful","13-EZ-001","2012-08-17T00:00:00.000","16300000","16300000","0","165562","10","0","0","10","14.48","10","0","0","10","14.48","2016-12-31T00:00:00.000","10","0","0","10","2018-12-31T00:00:00.000","POINT (-90.667314 42.505512)"
"Grain Millers, Inc.","Mitchell","Closed Contracts - Successful","13-EZ-007","2012-11-16T00:00:00.000","23900000","21900000","0","550000","10","0","0","10","13.44","10","0","0","10","13.44","2015-11-30T00:00:00.000","10","0","0","10","2017-11-30T00:00:00.000","POINT (-92.919105 43.378505)"
"Menard, Inc.","Shelby","Closed Contracts - Successful","11-EZ-032","2011-05-19T00:00:00.000","11268832","10918832","0","1116370","28","0","20","48","12.34","26","0","22","48","12.34","2014-05-31T00:00:00.000","26","0","22","48","2016-05-31T00:00:00.000","POINT (-95.449684 41.517114)"
"Hydrite Chemical Company, Inc.","Black Hawk","Closed Contracts - Successful","13-EZ-008","2012-12-27T00:00:00.000","15368221","15318221","0","412956","9","1","0","10","13.69","10","1","0","11","13.69","2015-12-30T00:00:00.000","10","1","0","11","2017-12-30T00:00:00.000","POINT (-92.34364 42.493469)"
"A to Z Drying, Inc.","Mitchell","Closed Contracts - Successful","14-EZ-008","2014-06-20T00:00:00.000","5665316","5443540","0","603966","10","0","7","17","13.71","10","0","7","17","13.71","2017-06-30T00:00:00.000","10","0","7","17","2019-06-30T00:00:00.000","POINT (-92.811156 43.284136)"
"Bomgaars Supply, Inc. & Confluent Enterprises, LLC","Woodbury","Closed Contracts - Successful","14-EZ-002","2013-10-18T00:00:00.000","17000000","17000000","0","2051200","0","49","15","64","14.60","0","49","15","64","14.60","2016-10-31T00:00:00.000","0","49","15","64","2018-10-31T00:00:00.000","POINT (-96.406436 42.496323)"
"Platinum Ethanol LLC","Ida","Closed Contracts - Successful","07-EZ-029","2006-12-21T00:00:00.000","176350000","158000000","0","11175000","41","0","0","41","0.00","41","0","0","41","11.85","2009-12-31T00:00:00.000","41","0","0","41","2019-12-31T00:00:00.000","POINT (-95.346051 42.333932)"
"Valley of the Moon Commercial Poults, Inc.","Clark","Closed Contracts - Successful","11-EZ-025","2011-02-17T00:00:00.000","17000000","17000000","0","1994744","11","0","22","33","10.56","11","0","22","33","11.98","2014-02-28T00:00:00.000","11","0","22","33","2016-02-28T00:00:00.000","POINT (-93.777005 41.030524)"
"Winegard Company","Des Moines","Closed Contracts - Successful","12-EZ-012","2012-02-17T00:00:00.000","25829861","13313861","0","1417171","16","0","55","71","14.50","16","0","55","71","14.50","2015-02-28T00:00:00.000","16","0","55","71","2017-02-28T00:00:00.000","POINT (-91.101278 40.81059)"
"Alfagomma America","Des Moines","Closed Contracts - Successful","13-EZ-006","2012-10-19T00:00:00.000","1362000","1362000","0","132200","14","0","0","14","13.68","14","0","0","14","13.68","2015-10-31T00:00:00.000","14","0","0","14","2017-10-31T00:00:00.000","POINT (-91.101278 40.81059)"
"Transco Railway Products, Inc.","Fayette","Closed Contracts - Successful","12-EZ-001","2011-07-21T00:00:00.000","1657000","1630000","0","184155","10","0","0","10","12.15","10","0","0","10","12.15","2014-07-31T00:00:00.000","10","0","0","10","2016-07-31T00:00:00.000","POINT (-91.911989 42.678527)"
"Divine Engineering, Inc","Linn","Closed Contracts - Successful","11-EZ-020","2011-01-20T00:00:00.000","500000","500000","0","62180","0","10","6","16","15.09","0","10","6","16","15.09","2014-06-30T00:00:00.000","0","10","4","14","2016-06-30T00:00:00.000","POINT (-91.669808 41.978122)"
"CNH America, LLC","Des Moines","Closed Contracts - Full","13-EZ-015","2013-07-19T00:00:00.000","10900000","9300000","0","751160","36","0","0","36","13.68","40","0","0","40","13.68","2018-07-31T00:00:00.000","0","0","0","0","2020-07-31T00:00:00.000","POINT (-91.101278 40.81059)"
"Genesis Systems Group","Scott","Closed Contracts - Successful","14-EZ-004","2013-11-22T00:00:00.000","4145000","4145000","0","162600","9","2","0","11","15.48","9","2","0","11","15.48","2016-11-30T00:00:00.000","9","2","0","11","2018-11-30T00:00:00.000","POINT (-90.577036 41.523527)"
"HUSCO International, Inc.","Jackson","Closed Contracts - Partial","08-EZ-029","2008-03-26T00:00:00.000","21397163","12800000","810000","1302125","71","0","49","120","0.00","81","0","0","81","9.70","2012-03-31T00:00:00.000","98","0","0","98","2017-12-31T00:00:00.000","POINT (-90.662925 42.069219)"
"Rail.One USA Corp","Clinton","Closed Contracts - Partial","13-EZ-014","2013-03-22T00:00:00.000","22020000","19907500","0","2157500","62","0","0","62","14.03","62","0","0","62","14.03","2016-03-31T00:00:00.000","42","0","0","42","2018-03-31T00:00:00.000","POINT (-90.190747 41.838935)"
"CRST International","Linn","Closed Contracts - Successful","14-EZ-007","2014-05-16T00:00:00.000","36542100","36542100","0","1757430","12","0","18","30","17.20","12","0","18","30","17.20","2017-05-30T00:00:00.000","12","0","18","30","2019-05-31T00:00:00.000","POINT (-91.669808 41.978122)"
"AMPC, Inc. d/b/a Proliant Meat Ingredients","Shelby","Closed Contracts - Successful","12-EZ-004","2011-07-21T00:00:00.000","9550000","9550000","0","508530","10","3","0","13","0.00","10","3","0","13","12.34","2014-07-31T00:00:00.000","10","3","0","13","2016-07-31T00:00:00.000","POINT (-95.325555 41.645668)"
"Flint Hills Resources f/k/a Hawkeye Renewables LLC","Guthrie","Closed Contracts - Successful","07-EZ-022","2006-10-19T00:00:00.000","135585000","128285000","0","12387000","44","0","0","44","0.00","44","0","0","44","11.65","2009-10-31T00:00:00.000","44","0","0","44","2019-10-31T00:00:00.000","POINT (-94.407803 41.518262)"
"Von Maur, Inc.","Scott","Closed Contracts - Successful","12-EZ-018","2012-06-22T00:00:00.000","15500000","15500000","0","1500000","10","0","0","10","15.60","10","0","0","10","15.60","2015-06-30T00:00:00.000","10","0","0","10","2017-06-30T00:00:00.000","POINT (-90.577036 41.523527)"
"Alter Trading Corporation","Pottawattamie","Closed Contracts - Full","13-EZ-011","2013-03-22T00:00:00.000","20313544","20313544","0","887000","15","0","0","15","13.91","15","0","0","15","13.91","2016-03-31T00:00:00.000","0","0","0","0","2018-03-31T00:00:00.000","POINT (-95.85436 41.258963)"
