"year","county","pathogen","case_count","outbreak_count","geocoded_column"
"2012-12-31T00:00:00.000","Warren","Salmonella x3","7.75","3","POINT (-93.5613594 41.3343735)"
"2013-12-31T00:00:00.000","Butler","Cyclospora, Multiple, Norovirus","36.6","3","POINT (-92.7901934 42.7315661)"
"2014-12-31T00:00:00.000","Cass","Influenza, Norovirus","15","2","POINT (-94.9278266 41.3314876)"
"2013-12-31T00:00:00.000","Clayton","Multiple","1.6","1","POINT (-91.34143280000002 42.8447493)"
"2012-12-31T00:00:00.000","Des Moines","Norovirus","12","1","POINT (-91.1814707 40.9231829)"
"2014-12-31T00:00:00.000","Cherokee","Norovirus","5.5","1","POINT (-95.6238055 42.7356226)"
"2013-12-31T00:00:00.000","Emmet","Norovirus","20","1","POINT (-94.6784803 43.37802250000001)"
"2015-12-31T00:00:00.000","Ida","Influenza, Norovirus","42","2","POINT (-95.5134962 42.3868747)"
"2014-12-31T00:00:00.000","Plymouth","Norovirus","5.5","1","POINT (-96.2140431 42.7378346)"
"2013-12-31T00:00:00.000","Allamakee","Cyclospora, Multiple","2.6","2","POINT (-91.3780923 43.2842838)"
"2013-12-31T00:00:00.000","Clinton","Unknown","38","1","POINT (-90.5319724 41.8980358)"
"2012-12-31T00:00:00.000","Sioux","Norovirus, Salmonella","133","2","POINT (-96.1778827 43.0826174)"
"2015-12-31T00:00:00.000","Kossuth","Influenza x2, Norovirus","32","3","POINT (-94.2067199 43.20413)"
"2012-12-31T00:00:00.000","Fayette","Norovirus","27","1","POINT (-91.8443207 42.8625919)"
"2014-12-31T00:00:00.000","Muscatine","Influenza, Norovirus","39","2","POINT (-91.1127562 41.4839221)"
"2013-12-31T00:00:00.000","Lucas","Cyclospora","1","1","POINT (-93.3277207 41.0293738)"
"2015-12-31T00:00:00.000","Humboldt","Influenza, Norovirus, Unknown","26","3","POINT (-94.2071868 42.7764686)"
"2014-12-31T00:00:00.000","Clinton","Norovirus, Scabies x2","79","3","POINT (-90.5319724 41.8980358)"
"2015-12-31T00:00:00.000","Boone","Influenza, Norovirus","13","2","POINT (-93.931671 42.0365493)"
"2013-12-31T00:00:00.000","Poweshiek","Cyclospora, Norovirus","10","2","POINT (-92.53146840000001 41.6864422)"
"2015-12-31T00:00:00.000","Story","Influenza","6","1","POINT (-93.4650448 42.0362415)"
"2015-12-31T00:00:00.000","Washington","Cryptosporidium","8","1","POINT (-91.7178676 41.335591)"
"2014-12-31T00:00:00.000","Hamilton","Influenza","12","1","POINT (-93.7068085 42.3837722)"
"2015-12-31T00:00:00.000","Buchanan","Influenza, Norovirus x3, Ringworm","42","5","POINT (-91.8378392 42.4707777)"
"2013-12-31T00:00:00.000","Washington","Cryptosporidium, Cyclospora","6","2","POINT (-91.7178676 41.335591)"
"2015-12-31T00:00:00.000","Madison","Influenza, Norovirus x2","44","3","POINT (-94.01556190000001 41.33071420000001)"
"2013-12-31T00:00:00.000","Keokuk","Cyclospora","1","1","POINT (-92.1786426 41.336465)"
"2014-12-31T00:00:00.000","Jasper","Norovirus, Unknown","37","2","POINT (-93.053765 41.6860394)"
"2011-12-31T00:00:00.000","Plymouth","Salmonella x2","2","2","POINT (-96.2140431 42.7378346)"
"2013-12-31T00:00:00.000","Dickinson","Cyclospora","1","1","POINT (-95.1508301 43.3779848)"
"2015-12-31T00:00:00.000","Page","Influenza","3","1","POINT (-95.1501747 40.7391444)"
"2013-12-31T00:00:00.000","Delaware","Multiple, Norovirus x3","31.6","4","POINT (-91.3673502 42.471211)"
"2015-12-31T00:00:00.000","Scott","Influenza, Norovirus x2, Shigella, Unknown","76","5","POINT (-90.6232428 41.6370978)"
"2011-12-31T00:00:00.000","Marshall","Salmonella","3","1","POINT (-92.9987706 42.0358499)"
"2013-12-31T00:00:00.000","Marshall","Cyclospora","1","1","POINT (-92.9987706 42.0358499)"
"2014-12-31T00:00:00.000","Black Hawk","Norovirus x2","68","2","POINT (-92.3088197 42.4700957)"
"2015-12-31T00:00:00.000","Pottawattamie","Influenza, Norovirus x2","18","3","POINT (-95.5423935 41.3366123)"
"2014-12-31T00:00:00.000","Scott","Norovirus x2","109","2","POINT (-90.6232428 41.6370978)"
"2013-12-31T00:00:00.000","Madison","Unknown","11","1","POINT (-94.01556190000001 41.33071420000001)"
"2013-12-31T00:00:00.000","Tama","Norovirus","20","1","POINT (-92.5325425 42.07981170000001)"
"2011-12-31T00:00:00.000","Pottawattamie","Norovirus x2, Unknown","117","3","POINT (-95.5423935 41.3366123)"
"2012-12-31T00:00:00.000","Clinton","Unknown","8","1","POINT (-90.5319724 41.8980358)"
"2015-12-31T00:00:00.000","Clinton","Influenza","29","1","POINT (-90.5319724 41.8980358)"
"2014-12-31T00:00:00.000","Tama","Norovirus","23","1","POINT (-92.5325425 42.07981170000001)"
"2013-12-31T00:00:00.000","Wright","Cyclospora","1","1","POINT (-93.7351465 42.7331189)"
"2011-12-31T00:00:00.000","Dubuque","E.coli x2","2","2","POINT (-90.8824564 42.468832)"
