"business_name","category","geolocation_formatted_address","phone","website","delivery","takeout","curbside","cashless","how_to_order","geocoded_column"
"A Pizza House","Food and Drink","2625 Colby Ave, Suite 6, Everett, WA","425-252-5555","http://www.everettpizzahouse.com/","true","true",,"true","Call","POINT (-122.208561 47.982462)"
"Amante Pizza and Pasta","Food and Drink","1409 Hewitt Ave, Everett, WA 98201","425-512-8803","http://www.amantepizzaeverett.com/","true","true","true","true","Website, Call, Social Media","POINT (-122.210873 47.97934)"
"Brooklyn Bros. Pizzeria","Food and Drink","1919 Hewitt Ave, Everett, WA, 98201","425 258 6900","http://www.brooklynbros.com",,"true",,"true","Website, Call","POINT (-122.203264 47.979261)"
"The Valley Organic Deli","Food and Drink","2805 Colby Ave, Everett, WA 98201","425-512-8577","http://ValleyOrganicDeli.com",,"true","true","true","Website, Call, UberEATS, DoorDash,","POINT (-122.208604 47.980326)"
"Scuttlebutt Brewing Company","Food and Drink","3310 Cedar St, Everett, WA 98201","425-252-2829","http://orderscuttlebutt.square.site/","true","true","true","true","Website, Call","POINT (-122.193969 47.973746)"
"Gracies Cuisine","Food and Drink","607 SE Everett Mall Way, Suite KL, Everett, WA 98208","206-822-0308","http://Www.graciescuisine.com","true","true","true","true","Call, Text, Social Media, GrubHub, DoorDash","POINT (-122.223453 47.90954)"
"Noodle nation","Food and Drink","2814 Hewitt Ave, Everett, WA 98201","4253224412","http://www.noodlenationeverett.com/","true","true","true","true","Website, Call, Social Media, DoorDash ,UberEats, GrubHub","POINT (-122.192951 47.979091)"
"Ivar's Seafood Bar","Food and Drink","1520 41st St, Everett, WA 98201","425-252-9292","http://www.ivars.com","true","true","true","true","Call, ChowNow, DoorDash and UberEats","POINT (-122.208352 47.96329)"
"The Cakewalk Shop","Food and Drink","2934 Colby Ave, Everett, WA 98201","425-770-1128","http://Www.thecakewalkshop.com","true","true","true","true","Website","POINT (-122.208645 47.978268)"
"Cafe Wylde","Food and Drink","2918 Hoyt Ave, #101, Everett, WA 98201","425-374-3877","http://squareup.com/gift/10VNAMNSGNYWS/order",,"true","true","true","Call","POINT (-122.210047 47.978582)"
"El Paraiso Mexican Grill","Food and Drink","11014 19th Ave SE, Everett, WA 98208","425-338-7621","http://Elparaisomexicangrill.com",,"true",,"true","Call","POINT (-122.206777 47.898166)"
"Subway","Food and Drink","1620 Hewitt Ave, Everett, WA 98201","425-252-4371",,"true","true",,"true","Call","POINT (-122.207479 47.979217)"
"The Vintage Cafe","Food and Drink","1510 Hewitt Ave, Everett, WA 98201","425-252-8224",,"true","true","true","true","Website, Call, Text, Social Media","POINT (-122.209418 47.97924)"
"Karl's Bakery & Cafe","Food and Drink","2814 Wetmore Ave, Everett, WA 98201","425-252-1774","http://karls-bakery.com","true","true","true","true","Call","POINT (-122.207216 47.980061)"
"Venture Kitchen","Food and Drink","3105 Pine Street, Everett, WA 98201","425-339-2000",,,"true","true","true","Call","POINT (-122.192514 47.97559)"
"Aesir Meadery","Food and Drink","2625 Colby Ave, Everett, WA 98201","360-965-5382","http://www.aesirmeadery.com",,,"true","true","Website, Call, Text, Social Media","POINT (-122.208561 47.982462)"
