Date,Start Time,End Time,Event Title,Description,Location,County,Contact,Contact Title,Phone,Email,Calendar Type,Directions,Registration Link,Location 1,Counties,Zip Codes
01/01/2018 12:00:00 AM,1899-12-31T07:00:00.000,1899-12-31T19:00:00.000,Holiday,New Year's Day - LWD closed,ALL,ALL,,,,,ALL,,,,,
01/15/2018 12:00:00 AM,1899-12-31T07:00:00.000,1899-12-31T19:00:00.000,Holiday,Martin Luther King Day - LWD closed,ALL,ALL,,,,,ALL,,,,,
02/19/2018 12:00:00 AM,1899-12-31T07:00:00.000,1899-12-31T19:00:00.000,Holiday,Presidents Day - LWD closed,ALL,ALL,,,,,ALL,,,,,
03/30/2018 12:00:00 AM,1899-12-31T07:00:00.000,1899-12-31T19:00:00.000,Holiday,Good Friday - LWD closed,ALL,ALL,,,,,ALL,,,,,
05/28/2018 12:00:00 AM,1899-12-31T07:00:00.000,1899-12-31T19:00:00.000,Holiday,Memorial Day - LWD closed,ALL,ALL,,,,,ALL,,,,,
07/04/2018 12:00:00 AM,1899-12-31T07:00:00.000,1899-12-31T19:00:00.000,Holiday,Independence Day - LWD closed,ALL,ALL,,,,,ALL,,,,,
08/22/2018 12:00:00 AM,1899-12-31T08:30:00.000,1899-12-31T16:30:00.000,Testing Calendar,Description of test,Somerville OSCC,Somerset,Richard Peterson,JJC Coordinator,908-704-3000,richard.peterson@dol..nj.gov,OSCC,,,,,
09/03/2018 12:00:00 AM,1899-12-31T07:00:00.000,1899-12-31T19:00:00.000,Holiday,Labor Day - LWD closed,ALL,ALL,,,,,ALL,,,,,
10/08/2018 12:00:00 AM,1899-12-31T07:00:00.000,1899-12-31T19:00:00.000,Holiday,Columbus Day - LWD closed,ALL,ALL,,,,,ALL,,,,,
11/06/2018 12:00:00 AM,1899-12-31T07:00:00.000,1899-12-31T19:00:00.000,Holiday,Election Day - LWD closed,ALL,ALL,,,,,ALL,,,,,
11/12/2018 12:00:00 AM,1899-12-31T07:00:00.000,1899-12-31T19:00:00.000,Holiday,Veterans Day - LWD closed,ALL,ALL,,,,,ALL,,,,,
11/22/2018 12:00:00 AM,1899-12-31T07:00:00.000,1899-12-31T19:00:00.000,Holiday,Thanksgiving Day - LWD closed,ALL,ALL,,,,,ALL,,,,,
12/25/2018 12:00:00 AM,1899-12-31T07:00:00.000,1899-12-31T19:00:00.000,Holiday,Christmas Holiday - LWD closed,ALL,ALL,,,,,ALL,,,,,
01/01/2019 12:00:00 AM,1899-12-31T07:00:00.000,1899-12-31T19:00:00.000,Holiday,New Year's Day - LWD closed,ALL,ALL,,,,,ALL,,,,,
01/21/2019 12:00:00 AM,1899-12-31T07:00:00.000,1899-12-31T19:00:00.000,Holiday,Martin Luther King Day - LWD closed,ALL,ALL,,,,,ALL,,,,,
02/18/2019 12:00:00 AM,1899-12-31T07:00:00.000,1899-12-31T19:00:00.000,Holiday,Presidents Day - LWD closed,ALL,ALL,,,,,ALL,,,,,
04/19/2019 12:00:00 AM,1899-12-31T07:00:00.000,1899-12-31T19:00:00.000,Holiday,Good Friday - LWD closed,ALL,ALL,,,,,ALL,,,,,
05/27/2019 12:00:00 AM,1899-12-31T07:00:00.000,1899-12-31T19:00:00.000,Holiday,Memorial Day - LWD closed,ALL,ALL,,,,,ALL,,,,,
07/04/2019 12:00:00 AM,1899-12-31T07:00:00.000,1899-12-31T19:00:00.000,Holiday,Independence Day - LWD closed,ALL,ALL,,,,,ALL,,,,,
09/02/2019 12:00:00 AM,1899-12-31T07:00:00.000,1899-12-31T19:00:00.000,Holiday,Labor Day - LWD closed,ALL,ALL,,,,,ALL,,,,,
10/14/2019 12:00:00 AM,1899-12-31T07:00:00.000,1899-12-31T19:00:00.000,Holiday,Columbus Day - LWD closed,ALL,ALL,,,,,ALL,,,,,
11/05/2019 12:00:00 AM,1899-12-31T07:00:00.000,1899-12-31T19:00:00.000,Holiday,Election Day - LWD closed,ALL,ALL,,,,,ALL,,,,,
11/11/2019 12:00:00 AM,1899-12-31T07:00:00.000,1899-12-31T19:00:00.000,Holiday,Veterans Day - LWD closed,ALL,ALL,,,,,ALL,,,,,
11/28/2019 12:00:00 AM,1899-12-31T07:00:00.000,1899-12-31T19:00:00.000,Holiday,Thanksgiving Day - LWD closed,ALL,ALL,,,,,ALL,,,,,
12/25/2019 12:00:00 AM,1899-12-31T07:00:00.000,1899-12-31T19:00:00.000,Holiday,Christmas Holiday - LWD closed,ALL,ALL,,,,,ALL,,,,,
