"as_of_date","federal_agency","funding_source","program_description","project_name","project_description","project_type","county","municipality","applicant_name","obligated_amount","obligated_date","disbursed_amount","disbursed_date"
"2022-06-30T00:00:00.000","US HUD","CDBG-DR","Community Development Block Grant - Disaster Recovery Program. HUD provides flexible grants to help cities, counties, and States recover from Presidentially declared disasters, especially in low-income areas, subject to availability of supplemental appropriations.","HMFA Administrative Costs","Administrative Cost associated with NJ HMFA to execute and deliver Community Development Block Grant - Disaster Recovery Program for Superstorm Sandy Recovery and Rebuilding efforts.","Administration DEP Environmental Reviews","STATEWIDE","STATEWIDE","HMFA Administration","8370.84",,"8370.84","2018-11-13T00:00:00.000"
"2022-06-30T00:00:00.000","US HUD","CDBG-DR","Community Development Block Grant - Disaster Recovery Program. HUD provides flexible grants to help cities, counties, and States recover from Presidentially declared disasters, especially in low-income areas, subject to availability of supplemental appropriations.","HMFA Administrative Costs","Administrative Cost associated with NJ HMFA to execute and deliver Community Development Block Grant - Disaster Recovery Program for Superstorm Sandy Recovery and Rebuilding efforts.","Administration Personnel/Personnel-Related","STATEWIDE","STATEWIDE","HMFA Administration","110000.00",,"110000.00","2015-12-10T00:00:00.000"
"2022-06-30T00:00:00.000","US HUD","CDBG-DR","Community Development Block Grant - Disaster Recovery Program. HUD provides flexible grants to help cities, counties, and States recover from Presidentially declared disasters, especially in low-income areas, subject to availability of supplemental appropriations.","HMFA Administrative Costs","Administrative Cost associated with NJ HMFA to execute and deliver Community Development Block Grant - Disaster Recovery Program for Superstorm Sandy Recovery and Rebuilding efforts.","Administration Personnel/Personnel-Related","STATEWIDE","STATEWIDE","HMFA Administration","511398.12",,"511398.12","2018-03-08T00:00:00.000"
"2022-06-30T00:00:00.000","US HUD","CDBG-DR","Community Development Block Grant - Disaster Recovery Program. HUD provides flexible grants to help cities, counties, and States recover from Presidentially declared disasters, especially in low-income areas, subject to availability of supplemental appropriations.","HMFA Administrative Costs","Administrative Cost associated with NJ HMFA to execute and deliver Community Development Block Grant - Disaster Recovery Program for Superstorm Sandy Recovery and Rebuilding efforts.","Administration Personnel/Personnel-Related","STATEWIDE","STATEWIDE","HMFA Administration","509903.82",,"509903.82","2014-12-31T00:00:00.000"
"2022-06-30T00:00:00.000","US HUD","CDBG-DR","Community Development Block Grant - Disaster Recovery Program. HUD provides flexible grants to help cities, counties, and States recover from Presidentially declared disasters, especially in low-income areas, subject to availability of supplemental appropriations.","HMFA Administrative Costs","Administrative Cost associated with NJ HMFA to execute and deliver Community Development Block Grant - Disaster Recovery Program for Superstorm Sandy Recovery and Rebuilding efforts.","Administration Personnel/Personnel-Related","STATEWIDE","STATEWIDE","HMFA Administration","598698.42",,"598698.42","2019-08-28T00:00:00.000"
"2022-06-30T00:00:00.000","US HUD","CDBG-DR","Community Development Block Grant - Disaster Recovery Program. HUD provides flexible grants to help cities, counties, and States recover from Presidentially declared disasters, especially in low-income areas, subject to availability of supplemental appropriations.","HMFA Administrative Costs","Administrative Cost associated with NJ HMFA to execute and deliver Community Development Block Grant - Disaster Recovery Program for Superstorm Sandy Recovery and Rebuilding efforts.","Administration Personnel/Personnel-Related","STATEWIDE","STATEWIDE","HMFA Administration","350000.00",,"350000.00","2018-04-25T00:00:00.000"
"2022-06-30T00:00:00.000","US HUD","CDBG-DR","Community Development Block Grant - Disaster Recovery Program. HUD provides flexible grants to help cities, counties, and States recover from Presidentially declared disasters, especially in low-income areas, subject to availability of supplemental appropriations.","HMFA Administrative Costs","Administrative Cost associated with NJ HMFA to execute and deliver Community Development Block Grant - Disaster Recovery Program for Superstorm Sandy Recovery and Rebuilding efforts.","Administration Personnel/Personnel-Related","STATEWIDE","STATEWIDE","HMFA Administration","767593.03",,"767593.03","2017-05-15T00:00:00.000"
"2022-06-30T00:00:00.000","US HUD","CDBG-DR","Community Development Block Grant - Disaster Recovery Program. HUD provides flexible grants to help cities, counties, and States recover from Presidentially declared disasters, especially in low-income areas, subject to availability of supplemental appropriations.","HMFA Administrative Costs","Administrative Cost associated with NJ HMFA to execute and deliver Community Development Block Grant - Disaster Recovery Program for Superstorm Sandy Recovery and Rebuilding efforts.","Administration Professional Services","STATEWIDE","STATEWIDE","HMFA Administration","14129.85",,"14129.85","2017-02-10T00:00:00.000"
"2022-06-30T00:00:00.000","US HUD","CDBG-DR","Community Development Block Grant - Disaster Recovery Program. HUD provides flexible grants to help cities, counties, and States recover from Presidentially declared disasters, especially in low-income areas, subject to availability of supplemental appropriations.","HMFA Fund for Restoration of Multifamily Housing (FRM) LMI","The New Jersey Housing and Mortgage Finance Agency (HMFA) administers the Large Multi-family Housing program, which provides funding to facilitate the creation of quality, affordable housing units to help New Jersey recover from the loss of multi-family housing following Superstorm Sandy. Community Development Block Grant Disaster Recovery (CDBG-DR) funds are provided as zero- and low-interest loans to qualified developers to leverage 9% and 4% low income housing tax credits, tax-exempt bonds and stand-alone financing to support developers. Development may include new construction, conversion of vacant commercial/ industrial buildings, or substantial rehabilitation of uninhabitable dwellings.","Large Multifamily LMI","HUDSON","JERSEY CITY","Ocean Green Senior Apartments","2925000.00","2014-01-27T00:00:00.000","2925000.00","2015-02-23T00:00:00.000"
"2022-06-30T00:00:00.000","US HUD","CDBG-DR","Community Development Block Grant - Disaster Recovery Program. HUD provides flexible grants to help cities, counties, and States recover from Presidentially declared disasters, especially in low-income areas, subject to availability of supplemental appropriations.","HMFA Fund for Restoration of Multifamily Housing (FRM) LMI","The New Jersey Housing and Mortgage Finance Agency (HMFA) administers the Large Multi-family Housing program, which provides funding to facilitate the creation of quality, affordable housing units to help New Jersey recover from the loss of multi-family housing following Superstorm Sandy. Community Development Block Grant Disaster Recovery (CDBG-DR) funds are provided as zero- and low-interest loans to qualified developers to leverage 9% and 4% low income housing tax credits, tax-exempt bonds and stand-alone financing to support developers. Development may include new construction, conversion of vacant commercial/ industrial buildings, or substantial rehabilitation of uninhabitable dwellings.","Large Multifamily LMI","ESSEX","CITY OF ORANGE TOWNSHIP","Walter G. Alexander Village Phase III","3150746.00","2013-05-15T00:00:00.000","3150746.00","2016-06-29T00:00:00.000"
