"pub_district_name","pub_school_name","pub_adrs","pub_city","pub_state","pub_zip","s_pledge_dt","pledge_yr","geocoded_column","website"
"Medford Driving School, LLC","Medford Driving School, LLC","180 Tuckerton Road","Medford","NJ","08055","April 15","2022","POINT (-74.813297 39.850516)","https://medford-driving-school-llc.business.site/"
"Lopatcong Township School District","Lopatcong Elementary School","263 ROUTE 57","PHILLIPSBURG","NJ","08865-9410","February 18","2020","POINT (-75.154059 40.700332)",
"Lopatcong Township School District","Lopatcong Township Middle School","321 STONEHENGE DRIVE","PHILLIPSBURG","NJ","08865-9410","February 18","2020","POINT (-75.1659 40.717095)",
"Right Way Business Center & Driving School","Right Way Business Center & Driving School","1090 Braodway","WEST LONG BRANCH","NJ","07764","April 11","2022","POINT (-74.021145 40.299357)","http://www.rightwaydrive.com/"
"Gramon Family of Schools","Gramon Family of Schools","20 Just Rd","FAIRFIELD","NJ","07004","November 9","2017","POINT (-74.2879 40.875963)",
"Howell Township Public School District","Ramtown Elementary School","216 RAMTOWN -GREENVILLE ROAD","HOWELL","NJ","07731-0216","February 19","2020","POINT (-74.153417 40.114038)",
"Alpha Driving School","Alpha Driving School","603 First Ave","RARITAN","NJ","08869","April 20","2022","POINT (-74.638797 40.574792)","https://thealphadrivingschool.com/"
"Winsor Tractor Trailer Driving School","Winsor Tractor Trailer Driving School","3106 South Wood Ave","LINDEN","NJ","07036","April 12","2022","POINT (-74.225576 40.613024)","https://www.winsorsdriving.com/"
"Bound Brook School District","Lafayette Elementary School","60 West High Street","Bound Brook","NJ","08805","September 24","2020","POINT (-74.53663 40.564659)","https://bbel.bbrook.org/"
"Egg Harbor City School District","Charles L. Spragg School","601 BUFFALO AVE","EGG HARBOR CITY","NJ","08215-2105","February 13","2017","POINT (-74.637614 39.534054)",
"Medford Township School District","Cranberry Pines Elementary","400 FAIRVIEW ROAD","MEDFORD","NJ","08055-9172","September 8","2017","POINT (-74.845135 39.855032)",
"Medford Township School District","Taunton Forge Elementary School","32 EVERGREEN TRAIL","MEDFORD","NJ","08055","September 8","2017","POINT (-74.842162 39.880926)",
"West Windsor-Plainsboro Regional School District","Millstone River School","75 GROVERS MILL ROAD","PLAINSBORO","NJ","08536","May 2","2017","POINT (-74.595793 40.323261)",
"West Windsor-Plainsboro Regional School District","Thomas R Grover Middle School","10 SOUTHFIELD ROAD","West Windsor","NJ","08550","May 2","2017","POINT (-74.595996 40.273411)",
"Winslow Township School District","Winslow Township Elementary School Five","130 OAK LEAF ROAD","BERLIN","NJ","08009","March 16","2021","POINT (-74.91829 39.720752)","https://school5.winslow-schools.com/"
"West Windsor-Plainsboro Regional School District","Community Middle School","95 GROVERS MILL ROAD","PLAINSBORO","NJ","08536","May 2","2017","POINT (-74.599288 40.323972)",
"West Windsor-Plainsboro Regional School District","West Windsor-Plainsboro High School South","346 CLARKSVILLE ROAD","West Windsor","NJ","08550","May 2","2017","POINT (-74.619519 40.307517)",
"Egg Harbor City School District","Egg Harbor City Community School","730 Havana Avenue","EGG HARBOR CITY","NJ","08215-1547","February 13","2017","POINT (-74.631329 39.532741)",
"Medford Township School District","Haines Sixth Grade Center","162 STOKES ROAD","MEDFORD","NJ","08055","September 8","2017","POINT (-74.822839 39.890703)",
